Parameter,Optimized Value
model_type,VAE
num_epochs,100
model_type,VAE
input_size,77
num_classes,9
hidden_size,692
latent_size,5
sample_len,40
scoring_method,f1_dist_ldj:ff
score_rate,100
init_t,0
actions,"[""bend_down"", ""soccer_kick"", ""jump"", ""breaststroke"", ""flystroke"", ""jump_side"", ""left_front_kick"", ""left_lunges"", ""left_punches""]"
people,[0]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze
0,1000000,63100.44921875,"[[2, 4, 4, 2, 5, 4, 6, 2, 6, 6, 2, 2, 7, 7, 6, 6, 6, 7], [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8]]",0,1000000,1000000
0,0.26156183667976857,63100.44921875,"[[6, 8, 2, 6, 4, 4, 4, 4, 4, 6, 2, 2, 6, 4, 4, 2, 2, 2, 4, 4, 2, 4, 2, 6, 6, 7, 4], [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8]]",0.031746031746031744,-0.21824113919510385,2.9026855166607253
100,0.1457439150357751,272.2950744628906,"[[0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8], [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8]]",1.0,-0.3674034249158833,1.1448145810441916
