init,type,geometry,geo params,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
kernel pca:rbf,kernel geo,fourier_basis,9,10,0.155987084,0.017465602,0.923651682,0.043661543,0.900894641,0.02180432,1.155441031,0.146565781,11,0.168880854,0.195131868,0.175793254
kernel pca:rbf,kernel geo,fourier_basis,11,10,0.168115928,0.026693935,0.913969142,0.045321416,0.954022435,0.029543225,1.106546207,0.08873454,11,0.183940485,0.203538647,0.194180435
kernel pca:rbf,kernel geo,fourier_basis,10,10,0.163263565,0.019320708,0.902955378,0.063006716,0.926990842,0.038604213,1.128962309,0.108015821,11,0.180810225,0.204127929,0.189224721
kernel pca:rbf,kernel geo,fourier_basis,8,10,0.157002584,0.018428482,0.900868909,0.059375222,0.898768694,0.022259564,1.193268649,0.200849134,11,0.174279057,0.207961735,0.186909497
kernel pca:rbf,kernel geo,fourier_basis,7,10,0.151476218,0.014608876,0.903154623,0.05451222,0.894546355,0.020030039,1.241210975,0.14508834,11,0.167719031,0.208174702,0.186221921
umap:euclidean,kernel geo,fourier_basis,5,10,0.140112519,0.012161737,0.914140859,0.048801529,0.857230026,0.031561613,1.60272739,0.343520521,1,0.153272351,0.245653795,0.210581809
kernel pca:rbf,kernel geo,fourier_basis,6,9,0.154425619,0.013111684,0.927708094,0.054827144,0.876561622,0.015052801,1.480581991,0.224106268,1,0.166459277,0.246456608,0.216034404
kernel pca:rbf,linear geo,toroid,,10,0.169332519,0.036120583,0.962878788,0.034570144,0.767977937,0.021431571,1.671146801,0.280103929,11,0.175860681,0.293889014,0.225700279
kernel pca:rbf,kernel geo,ellipse,,10,0.166083551,0.016900814,0.940545566,0.0485061,0.82217025,0.017965011,1.698278189,0.330456241,11,0.176582143,0.299885602,0.24655702
PCA,kernel geo,fourier_basis,9,10,0.182802367,0.01758635,0.904138639,0.057791387,0.869188235,0.024215477,1.57963639,0.183745743,41,0.202184,0.319377204,0.277598908
kernel pca:rbf,mlp geo,cocentric_circles,,5,0.187113219,0.026047662,0.925757576,0.016947436,0.892264633,0.03439286,1.603821252,0.170671486,1,0.202119026,0.324162789,0.289238992
PCA,kernel geo,fourier_basis,8,10,0.193761298,0.019416578,0.902895438,0.048255866,0.86706372,0.023128671,1.570962274,0.182655271,51,0.21459993,0.337128395,0.2923118
kernel pca:rbf,kernel geo,fourier_basis,5,10,0.191171583,0.037688437,0.898644467,0.088298086,0.900140356,0.023324759,1.586300949,0.243158893,21,0.212733278,0.337459001,0.303760466
kernel pca:rbf,linear geo,cocentric_circles,,10,0.186683017,0.040758252,0.945651571,0.050009884,0.835982893,0.020801706,1.712895978,0.407529545,11,0.197412052,0.338146309,0.28268453
kernel pca:rbf,linear geo,fourier_basis,5,10,0.188628032,0.028628271,0.959090909,0.040918443,0.768534359,0.018983886,1.774006047,0.307487878,11,0.196673777,0.34890047,0.268141999
PCA,kernel geo,fourier_basis,11,10,0.183027283,0.018279178,0.844110556,0.106361428,0.832699443,0.016767645,1.610541302,0.076287514,51,0.216828568,0.349211364,0.290788108
umap:cosine,kernel geo,fourier_basis,6,10,0.200322875,0.026358343,0.900306027,0.058354042,0.891107987,0.018414573,1.618446196,0.186616661,31,0.222505314,0.360112879,0.320899463
umap:cosine,kernel geo,fourier_basis,11,10,0.186086415,0.029154971,0.826980435,0.109659095,0.902835943,0.032677214,1.651275258,0.208641116,21,0.225019127,0.371568516,0.335465412
umap:cosine,kernel geo,fourier_basis,5,10,0.196372976,0.02063075,0.891697747,0.064523317,0.91366645,0.026336623,1.693858813,0.191182171,21,0.220223699,0.373027853,0.340823035
PCA,kernel geo,fourier_basis,10,10,0.198666289,0.04242261,0.85830969,0.078360532,0.846889474,0.018702751,1.621708071,0.153307234,51,0.231462246,0.375364193,0.317891984
PCA,kernel geo,ellipse,,10,0.196966308,0.024516046,0.940545566,0.0485061,0.925414446,0.035236127,1.803030845,0.20618302,41,0.209417082,0.377585459,0.349423038
kernel pca:rbf,kernel geo,cocentric_circles,,10,0.183317175,0.024268058,0.844643422,0.180106978,0.922757551,0.142702152,1.74850698,0.632029744,11,0.217034988,0.379487191,0.350174671
PCA,kernel geo,fourier_basis,7,10,0.204129306,0.026469734,0.89140404,0.077772274,0.876346009,0.020325467,1.669814842,0.239509322,41,0.22899751,0.382383441,0.335100203
umap:euclidean,kernel geo,fourier_basis,9,10,0.202850972,0.020971704,0.864596737,0.058734007,0.907913731,0.019932751,1.643014426,0.211478911,21,0.234619174,0.385482687,0.349985024
umap:euclidean,linear geo,fourier_basis,5,10,0.168177083,0.027006841,0.932212232,0.044575043,0.862658946,0.022757536,2.15320683,1.239730082,11,0.180406432,0.388452362,0.335101905
umap:euclidean,kernel geo,fourier_basis,6,10,0.192842148,0.021348073,0.913481962,0.057660435,0.953651887,0.016158288,1.850237809,0.207494778,11,0.211106684,0.390597568,0.372494108
umap:cosine,kernel geo,fourier_basis,9,10,0.192134518,0.021797241,0.904770674,0.050878196,0.946152273,0.028622399,1.867802777,0.281088051,11,0.212357145,0.396641266,0.375283035
