init,geometry,geo params,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
kernel pca:rbf,fourier_basis,11,10,0.152102729,0.012749182,0.941050616,0.040948105,0.942857944,0.012072408,1.103846573,0.077256899,54,0.161630763,0.178415563,0.168220531
kernel pca:rbf,fourier_basis,10,10,0.151867456,0.016398094,0.911954712,0.048602962,0.932588576,0.011601987,1.098464628,0.086020885,40,0.166529603,0.182926879,0.170595517
kernel pca:rbf,fourier_basis,9,10,0.153450028,0.012967481,0.932464757,0.040659068,0.925119137,0.014067012,1.112679222,0.08411728,54,0.16456389,0.183106821,0.169395624
kernel pca:rbf,fourier_basis,8,10,0.153420088,0.014501251,0.945904096,0.034364725,0.91735622,0.013580411,1.129847119,0.109717638,58,0.162194126,0.183254566,0.168109716
kernel pca:rbf,fourier_basis,6,10,0.15306493,0.016805202,0.94509102,0.044424458,0.877617706,0.013607009,1.140990155,0.07916482,33,0.161957871,0.184792337,0.162177026
kernel pca:rbf,fourier_basis,7,10,0.153157609,0.018490161,0.940798091,0.044887173,0.887590112,0.013249185,1.137960203,0.07511025,77,0.162795408,0.185254695,0.164430236
kernel pca:rbf,fourier_basis,12,10,0.159983936,0.013940121,0.936838495,0.044800669,0.996652196,0.048051755,1.101110312,0.076664663,48,0.170770028,0.188036638,0.187407129
umap:cosine,fourier_basis,8,10,0.141729059,0.015842036,0.904523255,0.063081656,0.890518548,0.036479878,1.211121443,0.111219197,25,0.156689237,0.189769695,0.168993433
umap:euclidean,fourier_basis,9,10,0.139622651,0.0178637,0.889873793,0.054250694,0.905840204,0.0210588,1.231456673,0.155807279,31,0.156901633,0.193217563,0.175024236
kernel pca:rbf,fourier_basis,13,10,0.167385506,0.029668598,0.932212232,0.044575043,1.016908011,0.053023686,1.099278459,0.088827626,50,0.179557294,0.197383465,0.200720827
kernel pca:rbf,spiral,,10,0.146913377,0.014618654,0.931457431,0.048588132,0.845426789,0.013200758,1.266620866,0.148854224,18,0.157724199,0.199776761,0.168896626
umap:cosine,fourier_basis,9,10,0.145661978,0.013995498,0.898029748,0.048559953,0.904132437,0.020429438,1.237239932,0.165872694,13,0.162201729,0.200682456,0.181443518
umap:euclidean,fourier_basis,7,10,0.136677434,0.016686755,0.909376734,0.052654069,0.89044834,0.026121107,1.335688927,0.249409744,13,0.150297922,0.200751271,0.178758636
kernel pca:rbf,fourier_basis,5,10,0.149907312,0.016118185,0.952417027,0.053615915,0.851882038,0.018398013,1.281059056,0.225410221,28,0.157396716,0.201634488,0.171768798
umap:cosine,fourier_basis,7,10,0.13785715,0.015199554,0.905417138,0.050158358,0.890193186,0.026281846,1.325246161,0.189628612,23,0.152258162,0.201779545,0.179622776
umap:cosine,fourier_basis,10,10,0.144846925,0.017627145,0.879708625,0.058772898,0.89265881,0.028897674,1.23090799,0.134711096,13,0.164653296,0.202673058,0.180917891
umap:euclidean,fourier_basis,10,10,0.148635446,0.010030528,0.888260628,0.058584486,0.902139139,0.023677207,1.252328148,0.189391185,20,0.167333147,0.20955601,0.189048679
umap:euclidean,fourier_basis,8,10,0.144750629,0.015041229,0.90984793,0.046445467,0.887943761,0.022518892,1.31951691,0.185096282,25,0.159093212,0.209926183,0.186402644
umap:cosine,fourier_basis,6,10,0.144094361,0.014581643,0.900563659,0.051172928,0.885041379,0.025946444,1.322124861,0.209275877,25,0.160004636,0.211546108,0.187227059
umap:cosine,fourier_basis,12,10,0.155536949,0.018678466,0.901295926,0.050482891,0.90421529,0.014729627,1.246441455,0.195225796,24,0.172570345,0.215098832,0.194495653
umap:cosine,fourier_basis,5,10,0.137511104,0.016395484,0.90984793,0.046445467,0.870754641,0.040677256,1.426274581,0.240709421,21,0.15113636,0.215561949,0.187701567
umap:euclidean,spiral,,10,0.147876158,0.011968644,0.928732379,0.033956009,0.890207777,0.02526375,1.358196614,0.203814329,23,0.159223649,0.216257021,0.192513682
umap:euclidean,fourier_basis,6,10,0.143333754,0.014916273,0.903987124,0.054362692,0.876915788,0.031985012,1.36884042,0.267047779,36,0.158557296,0.217039636,0.190325484
umap:cosine,spiral,,10,0.150631445,0.018594999,0.900058608,0.047690409,0.883417546,0.024552332,1.336476163,0.216991964,28,0.167357374,0.223669141,0.197593243
umap:euclidean,fourier_basis,5,10,0.13593303,0.017156175,0.890800311,0.055651125,0.854595696,0.022519737,1.484903142,0.275864094,20,0.152596523,0.226591056,0.193643741
PCA,fourier_basis,13,10,0.174000093,0.024508712,0.928429348,0.034075644,1.005304496,0.031703951,1.213616005,0.105627227,24,0.187413391,0.227447891,0.228654388
kernel pca:rbf,fourier_basis,4,10,0.150825334,0.015159916,0.953984904,0.040784983,0.821641642,0.018711348,1.440167401,0.254753515,28,0.158100336,0.22769095,0.187080366
umap:cosine,fourier_basis,11,10,0.161480138,0.012488333,0.908854257,0.064061626,0.905003981,0.024593078,1.29668161,0.151627177,29,0.177674403,0.230387131,0.208501271
PCA,fourier_basis,12,10,0.168977899,0.016209077,0.931904207,0.045721023,0.930272425,0.020500207,1.282757992,0.111586227,40,0.181325396,0.2325966,0.216378204
umap:euclidean,toroid,,10,0.144893477,0.017700919,0.92009102,0.040815545,0.86839678,0.013254234,1.495376966,0.292065555,20,0.15747733,0.235487972,0.204496997
kernel pca:rbf,klein bottle,,10,0.153328615,0.016120832,0.963212121,0.034136298,0.787299159,0.015519117,1.503921027,0.320992374,51,0.159184682,0.23940119,0.188480355
umap:euclidean,fourier_basis,12,10,0.165048049,0.01836128,0.893068598,0.054524197,0.915792239,0.022200483,1.298379415,0.180285061,31,0.184810047,0.23995356,0.219747608
kernel pca:rbf,ellipse,,10,0.151323821,0.013681423,0.95479798,0.029263526,0.774502992,0.024817962,1.525564863,0.29401277,38,0.158487789,0.241783402,0.187261968
kernel pca:rbf,fourier_basis,2,10,0.151323821,0.013681423,0.95479798,0.029263526,0.774502992,0.024817962,1.525564863,0.29401277,38,0.158487789,0.241783402,0.187261968
umap:cosine,toroid,,10,0.145027972,0.016655018,0.92009102,0.040815545,0.850005943,0.038743882,1.557972042,0.308487092,28,0.157623506,0.245573015,0.208738522
umap:cosine,fourier_basis,3,10,0.13630009,0.021176037,0.924131424,0.042731406,0.850944681,0.046393175,1.66689337,0.425303258,10,0.147489942,0.245850007,0.209204756
kernel pca:rbf,toroid,,10,0.151904479,0.010008614,0.931904207,0.045721023,0.788917317,0.022289782,1.51335597,0.30046973,35,0.163004392,0.24668367,0.194613019
umap:euclidean,fourier_basis,4,10,0.140043417,0.017349639,0.916131424,0.038654457,0.85303997,0.028130475,1.628569063,0.33084211,12,0.152863894,0.248949408,0.212363796
PCA,fourier_basis,11,10,0.170376955,0.019938423,0.93468476,0.059251906,0.90061175,0.019849834,1.369852882,0.146485506,22,0.182282799,0.249700618,0.224883311
PCA,fourier_basis,10,10,0.16445413,0.018786701,0.938164613,0.065599432,0.905312574,0.02958389,1.444045313,0.239452415,30,0.17529347,0.253131714,0.229163323
