init,geometry,geo params,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
PCA,fourier_basis,4,10,0.106341866,0.008164927,1,0,0.775761861,0.00683333,1.039889536,0.035409507,41,0.106341866,0.110583794,0.08578669
PCA,spiral,,10,0.106488542,0.007938304,1,0,0.796624794,0.010175097,1.04618919,0.035142662,41,0.106488542,0.111407162,0.088749707
PCA,fourier_basis,5,10,0.106695135,0.008556443,1,0,0.791318804,0.008397643,1.027344351,0.034590761,31,0.106695135,0.109612645,0.086738547
PCA,toroid,,10,0.10710259,0.007963181,1,0,0.782878622,0.009255847,1.052779704,0.036605617,21,0.10710259,0.112755433,0.088273818
PCA,fourier_basis,3,10,0.108128399,0.008172068,1,0,0.788201163,0.010158279,1.067756549,0.037358005,11,0.108128399,0.115454807,0.091001613
PCA,fourier_basis,6,10,0.110290601,0.010177169,1,0,0.805749247,0.011245949,1.008867322,0.036112157,41,0.110290601,0.111268584,0.089654578
kernel pca:rbf,spiral,,10,0.113333076,0.009577848,1,0,0.784183258,0.012595576,1.001996207,0.036101843,31,0.113333076,0.113559313,0.089051312
umap:cosine,toroid,,10,0.113461401,0.008270955,1,0,0.798348291,0.020494364,1.030124416,0.031480866,61,0.113461401,0.116879359,0.093310437
kernel pca:rbf,fourier_basis,3,10,0.113735182,0.009789866,1,0,0.796458259,0.00708332,1.036041763,0.035895717,21,0.113735182,0.117834399,0.09385018
kernel pca:rbf,toroid,,10,0.114411572,0.009456434,1,0,0.787104541,0.010592476,1.019057754,0.03723889,31,0.114411572,0.116592,0.091770093
kernel pca:rbf,ellipse,,10,0.115499749,0.009595665,1,0,0.731336682,0.008531138,1.038516587,0.040079146,11,0.115499749,0.119948406,0.087722669
kernel pca:rbf,fourier_basis,2,10,0.115499749,0.009595665,1,0,0.731336682,0.008531138,1.038516587,0.040079146,11,0.115499749,0.119948406,0.087722669
umap:cosine,fourier_basis,5,10,0.11556294,0.006820892,1,0,0.813227589,0.016769405,1.10186878,0.10748002,61,0.11556294,0.127335196,0.103552495
umap:cosine,fourier_basis,2,10,0.115171759,0.009222295,0.995714286,0.012857143,0.789864464,0.017226688,1.123472538,0.064222484,61,0.115667477,0.129949234,0.102642282
umap:cosine,ellipse,,10,0.11600742,0.008995616,1,0,0.792306111,0.012018533,1.08488122,0.05178817,51,0.11600742,0.125854271,0.099715108
umap:cosine,spiral,,10,0.116761117,0.01025584,1,0,0.813979468,0.014407626,0.990863803,0.036129291,41,0.116761117,0.115694364,0.094172837
umap:cosine,klein bottle,,10,0.116790155,0.008911931,1,0,0.798408344,0.022065091,1.082646448,0.064817928,51,0.116790155,0.126442447,0.100952705
