input_dim,order,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
9,1,10,0.10710259,0.007963181,1,0,0.782878622,0.009255847,1.052779704,0.036605617,21,0.10710259,0.112755433,0.088273818
9,2,10,0.107240541,0.008293346,1,0,0.80153526,0.013238999,1.063512589,0.051537063,11,0.107240541,0.114051665,0.091416431
10,2,10,0.107521159,0.008478958,1,0,0.800419837,0.012974014,1.066128024,0.047382989,21,0.107521159,0.114631321,0.091753183
11,1,10,0.10784124,0.008522639,1,0,0.79437697,0.010404032,1.059188433,0.036134471,11,0.10784124,0.114224194,0.090737069
10,1,10,0.107892508,0.00832196,1,0,0.786478839,0.010671469,1.056063713,0.035681346,21,0.107892508,0.113941362,0.08961247
7,1,10,0.107900964,0.008577216,1,0,0.771175086,0.010335913,1.042769545,0.035531413,21,0.107900964,0.11251584,0.086769412
8,1,10,0.107937098,0.008407201,1,0,0.775662888,0.008908252,1.049318184,0.035653287,21,0.107937098,0.113260359,0.087851857
8,2,10,0.107965589,0.008757919,1,0,0.789771229,0.010513172,1.054328676,0.038216328,31,0.107965589,0.113831217,0.08990062
7,2,10,0.108346632,0.009343311,1,0,0.786975613,0.011380767,1.048760041,0.038655699,31,0.108346632,0.113629618,0.089423738
11,2,10,0.108963928,0.008115735,1,0,0.804900432,0.015363267,1.083757393,0.036453615,1,0.108963928,0.118090462,0.095051064
12,1,10,0.108997597,0.007984169,1,0,0.797085903,0.010277395,1.069598471,0.038472644,21,0.108997597,0.116583663,0.092927194
13,1,10,0.109334394,0.00826261,1,0,0.802890051,0.009534429,1.074627291,0.038276593,31,0.109334394,0.117493723,0.094334541
14,1,10,0.109350675,0.008034698,1,0,0.809102226,0.009884143,1.073906026,0.0390474,31,0.109350675,0.117432349,0.095014775
15,1,10,0.109563526,0.00809106,1,0,0.815042301,0.010501355,1.077227434,0.041001525,11,0.109563526,0.118024836,0.096195234
17,1,10,0.109687004,0.008630585,1,0,0.820432963,0.010566207,1.087318283,0.042243884,11,0.109687004,0.119264684,0.097848678
16,1,10,0.109752812,0.008377654,1,0,0.816120086,0.010787117,1.082178207,0.043210044,21,0.109752812,0.118772101,0.096932297
13,2,10,0.109998608,0.009166169,1,0,0.812002517,0.009177554,1.096570425,0.039528274,11,0.109998608,0.12062122,0.097944735
12,2,10,0.110115023,0.007929297,1,0,0.809543326,0.012183323,1.096611748,0.048213592,1,0.110115023,0.120753428,0.097755131
18,1,10,0.110344737,0.00877609,1,0,0.818427138,0.010607075,1.100121824,0.047904864,21,0.110344737,0.121392654,0.099351042
14,2,10,0.110683613,0.009015949,1,0,0.80986505,0.008328784,1.109720669,0.041797867,31,0.110683613,0.122827894,0.099474018
19,1,10,0.110742377,0.00918671,1,0,0.820832176,0.010251402,1.106691343,0.049196379,21,0.110742377,0.12255763,0.100599246
15,2,10,0.111385219,0.009651576,1,0,0.814888294,0.009147027,1.11174693,0.044410034,11,0.111385219,0.123832175,0.10090939
6,2,10,0.111880034,0.011456077,1,0,0.792490819,0.012975447,1.026643001,0.041258597,41,0.111880034,0.114860854,0.091026172
6,1,10,0.112217627,0.010925894,1,0,0.77650129,0.013508461,1.028471343,0.03823894,41,0.112217627,0.115412614,0.089618043
17,2,10,0.113054253,0.01026965,1,0,0.814080722,0.008529294,1.13505272,0.04811339,11,0.113054253,0.128322537,0.104464904
16,2,10,0.113183247,0.010000861,1,0,0.811224899,0.008575314,1.13229883,0.050941873,21,0.113183247,0.128157258,0.103964358
18,2,10,0.1138452,0.010474912,1,0,0.811974832,0.007786776,1.147121753,0.050208705,11,0.1138452,0.130594305,0.106039289
5,2,10,0.115417327,0.009758739,1,0,0.814820806,0.019080559,1.019164382,0.03761402,61,0.115417327,0.117629229,0.095846743
19,2,10,0.115463041,0.010883464,1,0,0.809656177,0.006704138,1.160885693,0.0525604,11,0.115463041,0.134039392,0.108525822
5,1,10,0.117204028,0.010201843,1,0,0.801013692,0.024907887,1.018615513,0.035103421,41,0.117204028,0.119385841,0.095629694
