Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.4
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,40
scoring_method,f1_frechet_ldj:ff
max_iters,100
score_rate,10
input_dim,15
init,kernel pca:rbf
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                 value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |       41.280875953056  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                 (15,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                 (15,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.020088580137137595  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,kernel
geometry,none
geo params,
num_epochs,100
num_acts,5
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.Bimanual3D object at 0x0000016256BFD430>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""box_lift"", ""box_turn_cw_forward"", ""box_lateral_left"", ""bread_cutting_right"", ""jar_opening_right_open""]"
people,[1]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.29941455489913077,0,"{'pred': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",1.0,0.7382768274193243,10.333081481951922,validation
1,0.26172511702647705,0,"{'pred': [0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.9595959595959596,0.7728945096332408,13.821487981049197,test
11,0.2962945317059408,-21819.76325349513,"{'pred': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",1.0,0.7618421820404558,7.737364944922312,validation
11,0.24239555117133366,-21819.76325349513,"{'pred': [0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.9595959595959596,0.7611896870286183,6.147815624985404,test
21,1885118242099.0469,-49947.51280844695,"{'pred': [0, 0, 3, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.9028571428571428,1.246329750862117,1.1980840144562737,validation
21,2787240559132.747,-49947.51280844695,"{'pred': [3, 3, 3, 3, 2, 3, 0, 3, 3, 0, 2, 2, 2, 2, 2, 4, 3, 3, 3, 3, 3, 3, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.40404040404040403,1.2512720515706734,0.8246032136263414,test
31,808366803668.0851,-55010.56460205298,"{'pred': [0, 4, 3, 3, 4, 4, 0, 0, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 0, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.53,1.182351731646618,2.9947855391795426,validation
31,57053076195.62422,-55010.56460205298,"{'pred': [4, 3, 3, 3, 2, 3, 4, 3, 4, 0, 0, 2, 2, 4, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.4095238095238095,1.0658127561129769,1.8465909221997512,test
41,0.48976177639277785,-73093.44599975034,"{'pred': [1, 1, 2, 3, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 1, 3, 1, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.551111111111111,1.1016442028418487,1.1340537205208319,validation
41,0.5205388381288985,-73093.44599975034,"{'pred': [3, 1, 2, 1, 1, 3, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.6818181818181819,1.060669586169319,1.1435372042422898,test
51,0.31353873018663414,-80020.14904647003,"{'pred': [0, 0, 3, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.9492063492063492,0.9575733218188901,1.2563747005174761,validation
51,0.3356029486081669,-80020.14904647003,"{'pred': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.9595959595959596,0.9587241914021175,1.3625861841700064,test
61,0.2508756243398618,-82546.71992554137,"{'pred': [0, 0, 3, 3, 4, 4, 0, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 0, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.6254545454545454,0.9948541533404692,1.480299328119044,validation
61,0.2786049812888779,-82546.71992554137,"{'pred': [3, 0, 2, 0, 2, 4, 4, 0, 4, 4, 2, 2, 2, 3, 2, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.5223776223776224,0.9641955958127568,1.5703681445332658,test
71,0.43034449885216475,-86874.8397915351,"{'pred': [0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 1, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.7835497835497836,0.9710747896383427,1.2177546272961104,validation
71,0.4141877223105689,-86874.8397915351,"{'pred': [0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 2, 2, 0, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.6929292929292931,0.947369862839128,1.7049014257275412,test
81,0.42802948981941097,-88354.38122922888,"{'pred': [0, 0, 3, 0, 4, 4, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 1, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.7457142857142858,1.0489057056601803,1.1554836212409674,validation
81,0.37282734557438346,-88354.38122922888,"{'pred': [4, 1, 4, 0, 0, 4, 4, 0, 4, 1, 2, 2, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.5810744810744811,1.0050829500634066,0.9402281927563556,test
91,0.37049808756227753,-89909.78128718495,"{'pred': [0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 0, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.7244444444444443,0.9862565430172522,0.9845513529497424,validation
91,0.2714070445749893,-89909.78128718495,"{'pred': [3, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 2, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.6230769230769231,0.9637489881846872,0.9966774585031875,test
101,0.4321371340341719,-91274.7194155872,"{'pred': [0, 0, 0, 0, 4, 4, 0, 1, 2, 2, 2, 2, 3, 4, 0, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.7187878787878788,0.9671532402351883,1.545826995723431,validation
101,0.39147050902939273,-91274.7194155872,"{'pred': [0, 0, 1, 0, 4, 0, 4, 0, 4, 1, 1, 4, 2, 0, 2, 3, 4, 4, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.5483766233766234,0.9175829746864831,1.714217336678232,test
