Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.15
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,15
scoring_method,f1_frechet_ldj:ff
max_iters,100
score_rate,10
input_dim,9
init,PCA
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                  value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |    0.14878410574873596  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                   (9,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                   (9,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.0003004677070494476  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,linear
geometry,none
geo params,
num_epochs,100
num_acts,8
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.MovementsCMU object at 0x000001F4A38813D0>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""bend_down"", ""soccer_kick"", ""breaststroke"", ""flystroke"", ""jump_side"", ""left_front_kick"", ""left_lunges"", ""left_punches""]"
people,[0]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.19961649856886932,0,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.6683817140340352,3.3937532374640336,validation
1,0.15967148623902505,0,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.69729409334825,3.0837206464727784,test
11,0.21085281999331895,-213032.70845068793,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.770726262109598,2.8941688070862552,validation
11,0.17245899874437984,-213032.70845068793,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.7917070876901015,3.8435355189535145,test
21,0.24953563451184327,-226803.29112896696,"{'pred': [3, 3, 1, 1, 2, 2, 3, 2, 5, 3, 7, 3, 5, 7, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.34404761904761905,0.8492182880378601,0.9637544483834811,validation
21,0.2606901775271235,-226803.29112896696,"{'pred': [3, 3, 3, 1, 1, 1, 2, 2, 2, 4, 3, 3, 4, 3, 5, 7, 7, 7, 2, 1, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.46567460317460313,0.8936051391481352,0.8551397103728096,test
31,0.23204026126300972,-235418.698248509,"{'pred': [0, 0, 1, 1, 2, 2, 3, 2, 4, 4, 5, 5, 4, 4, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.7666666666666666,0.8807415136324257,1.0679508703367984,validation
31,0.21132351591882698,-235418.698248509,"{'pred': [1, 0, 1, 1, 1, 6, 2, 2, 2, 7, 3, 3, 2, 4, 4, 2, 2, 2, 6, 1, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5904761904761905,0.9092747120649562,1.0089359927654329,test
41,3.3375666901771965,-236100.85628368467,"{'pred': [0, 0, 1, 6, 2, 2, 3, 2, 4, 4, 5, 4, 1, 4, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6625,0.8797770775945051,0.784726566282597,validation
41,0.18441763763742156,-236100.85628368467,"{'pred': [4, 7, 4, 1, 1, 2, 2, 2, 2, 2, 3, 3, 2, 4, 4, 5, 5, 2, 2, 1, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5925865800865802,0.8851769703621638,1.1136358614519553,test
51,0.5218387512561738,-236513.29027092402,"{'pred': [0, 0, 1, 6, 2, 2, 3, 2, 4, 4, 5, 3, 4, 4, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6625,0.8590129430743485,0.7639249386836255,validation
51,0.2015430591843231,-236513.29027092402,"{'pred': [1, 7, 1, 1, 1, 6, 2, 2, 2, 3, 3, 3, 6, 4, 4, 5, 5, 6, 2, 1, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6375000000000001,0.8892565236413605,0.9980251424058278,test
61,0.24924026326193516,-237068.32589526885,"{'pred': [0, 0, 1, 6, 2, 2, 3, 7, 4, 4, 5, 4, 1, 1, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6666666666666666,0.7905089781536975,0.9966222534502301,validation
61,0.20560967302552288,-237068.32589526885,"{'pred': [1, 2, 4, 1, 1, 7, 2, 2, 2, 6, 3, 3, 7, 4, 4, 5, 5, 5, 6, 1, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6639880952380953,0.9215725277075556,1.0004102042790302,test
71,0.24194835677446672,-237151.6612270677,"{'pred': [0, 0, 1, 6, 2, 2, 3, 2, 4, 4, 5, 5, 1, 1, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.7333333333333334,0.8324213266872978,1.091931944780835,validation
71,0.19740672706201923,-237151.6612270677,"{'pred': [1, 3, 4, 1, 1, 6, 2, 2, 2, 3, 3, 3, 2, 4, 4, 5, 5, 5, 2, 1, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6556547619047618,0.902986397125022,1.0633613658677603,test
81,0.26211598659308316,-237184.16166922756,"{'pred': [0, 0, 1, 6, 2, 2, 3, 2, 4, 4, 5, 5, 1, 1, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.7333333333333334,0.8336107590623092,1.0239158083189916,validation
81,0.20717700913910897,-237184.16166922756,"{'pred': [1, 4, 4, 1, 1, 2, 2, 2, 2, 3, 3, 3, 2, 4, 4, 5, 5, 2, 2, 1, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6303571428571428,0.8912959092857464,1.0926745922230103,test
91,0.22322564619446322,-237252.80101650505,"{'pred': [0, 0, 1, 1, 2, 2, 3, 2, 4, 4, 5, 5, 1, 4, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.7583333333333333,0.8384726500169263,1.1179936401995552,validation
91,0.24569538131249732,-237252.80101650505,"{'pred': [1, 3, 4, 3, 1, 3, 2, 2, 2, 5, 3, 3, 2, 4, 4, 5, 5, 2, 6, 1, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5895833333333333,0.9190334214710444,1.0752104166453458,test
101,0.2420880565682634,-237322.53219260313,"{'pred': [0, 0, 1, 1, 2, 2, 3, 2, 4, 4, 5, 3, 1, 4, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6958333333333333,0.8082490705196689,1.0607076868448764,validation
101,0.17766355713780374,-237322.53219260313,"{'pred': [1, 3, 4, 1, 1, 2, 2, 2, 2, 3, 3, 3, 2, 4, 4, 5, 5, 2, 2, 1, 6, 7, 7, 2], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.59258658008658,0.9012377426725331,1.1839602974318544,test
