Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.4
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,40
scoring_method,f1_frechet_ldj:ff
max_iters,100
score_rate,10
input_dim,15
init,umap:cosine
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                 value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |    0.7895059939741036  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                 (15,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                 (15,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.002706239461915604  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,linear geo
geometry,fourier_basis
geo params,10
num_epochs,100
num_acts,5
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.Bimanual3D object at 0x00000148E66D3500>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""box_lift"", ""box_turn_cw_forward"", ""box_lateral_left"", ""bread_cutting_right"", ""jar_opening_right_open""]"
people,[1]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.1889713071787218,0,"{'pred': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",1.0,0.857131987492069,3.9011965716312362,validation
1,0.1878727866839594,0,"{'pred': [0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.9166666666666667,0.8251740967262542,8.11855432492016,test
11,0.21240018352707354,-44018.869375978895,"{'pred': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",1.0,0.8628993099494334,2.7297976788061376,validation
11,0.1771397408973705,-44018.869375978895,"{'pred': [0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.8787878787878788,0.8728940042765578,3.193838300863037,test
21,0.24351847602451793,-78464.1123863962,"{'pred': [1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 2, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.6768831168831169,0.9426282845362699,2.855257548325264,validation
21,0.2979225962540531,-78464.1123863962,"{'pred': [0, 0, 3, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.8597402597402598,0.9517413399268345,2.843545578426625,test
31,0.2597410842783291,-82276.37808166236,"{'pred': [2, 1, 3, 0, 1, 2, 2, 1, 2, 2, 2, 2, 3, 3, 0, 3, 4, 4, 1, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.6335497835497835,0.9553468293147497,3.1489417187284228,validation
31,0.31432459326036744,-82276.37808166236,"{'pred': [2, 2, 3, 3, 1, 2, 3, 1, 1, 1, 4, 2, 4, 2, 2, 3, 3, 2, 3, 3, 4, 2, 1, 4, 1], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.4236208236208236,0.9264766951422142,3.286494221950958,test
41,0.1899816010516175,-83223.99495427904,"{'pred': [2, 0, 2, 0, 1, 2, 2, 2, 2, 2, 2, 0, 3, 3, 0, 3, 4, 4, 1, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.6095238095238095,0.9459613234024083,3.6899282352972276,validation
41,0.26088050720060646,-83223.99495427904,"{'pred': [0, 2, 3, 3, 0, 2, 3, 4, 1, 0, 4, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 1], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.5692640692640693,0.9131275386021128,3.8353986859995115,test
51,0.22508042636912157,-83366.96947426094,"{'pred': [0, 0, 2, 0, 1, 2, 2, 1, 2, 2, 2, 0, 3, 3, 0, 3, 4, 4, 1, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.7104761904761905,0.9573339999536982,4.336965233931908,validation
51,0.2375720951431785,-83366.96947426094,"{'pred': [0, 0, 3, 3, 1, 0, 3, 1, 1, 1, 4, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 1], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.6733333333333333,0.933566071288745,3.519714998154521,test
61,0.25997934472293577,-83418.93674146172,"{'pred': [0, 0, 4, 0, 1, 2, 2, 1, 2, 2, 2, 2, 3, 3, 2, 3, 4, 4, 1, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.7525974025974025,0.9446236838821708,3.158599708357815,validation
61,0.19615108839611628,-83418.93674146172,"{'pred': [0, 0, 3, 4, 1, 0, 3, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 4, 3, 3, 4, 4, 4, 4, 1], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.6672727272727272,0.9432320672408975,2.827002209835459,test
71,0.2309957893669683,-83489.89153557092,"{'pred': [0, 0, 0, 0, 1, 1, 2, 1, 2, 2, 2, 4, 3, 3, 3, 3, 4, 4, 1, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.85,0.9492936862767143,2.6060202347024686,validation
71,0.19545871695184194,-83489.89153557092,"{'pred': [0, 0, 3, 4, 1, 0, 3, 1, 1, 1, 4, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 1], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.6709090909090909,0.9188583769102399,2.74053831210622,test
81,0.21512325324558765,-83507.50107173272,"{'pred': [0, 4, 0, 0, 1, 1, 4, 1, 2, 2, 2, 4, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.8597402597402597,0.9364780382299596,2.537830756478126,validation
81,0.19920958343054068,-83507.50107173272,"{'pred': [0, 0, 3, 3, 1, 0, 3, 1, 1, 1, 4, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.7084848484848485,0.9172736272212207,2.6365860385363344,test
91,0.21215225811087152,-83516.85018694564,"{'pred': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 4, 3, 3, 0, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.8984126984126984,0.9576317211548315,2.4331051375161676,validation
91,0.19993785471070058,-83516.85018694564,"{'pred': [0, 0, 3, 4, 1, 0, 3, 1, 1, 1, 4, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.7054545454545454,0.9168898480464583,2.841410474072183,test
101,0.22441612782098713,-83521.26880063159,"{'pred': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 4, 3, 3, 0, 3, 4, 4, 1, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.8484126984126984,0.9486341805562816,2.6683125616692305,validation
101,0.20051427322846171,-83521.26880063159,"{'pred': [0, 0, 3, 4, 1, 0, 3, 1, 1, 1, 4, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.7054545454545454,0.9135389249009472,2.935012312340722,test
