Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.4
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,40
scoring_method,f1_frechet_ldj:ff
max_iters,100
score_rate,10
input_dim,15
init,umap:cosine
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |   0.4773958383763044  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                (15,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                (15,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.23615778636197912  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,mlp geo
geometry,toroid
geo params,
num_epochs,100
num_acts,5
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.Bimanual3D object at 0x000002A24C4C3BF0>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""box_lift"", ""box_turn_cw_forward"", ""box_lateral_left"", ""bread_cutting_right"", ""jar_opening_right_open""]"
people,[1]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.3725113642338627,0,"{'pred': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",1.0,0.8949846991279327,16.720442432106783,validation
1,0.38202097020565823,0,"{'pred': [0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.9595959595959596,0.9066592846490656,15.58105840599577,test
11,0.2352361875776927,-1235.811773994511,"{'pred': [3, 3, 2, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.7155555555555555,1.0522373048703426,1.543950438200581,validation
11,0.253370520460791,-1235.811773994511,"{'pred': [1, 2, 0, 0, 3, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 0, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.8232323232323231,1.0477804732210347,1.755024715529021,test
21,0.2589629298965422,-7380.042553147833,"{'pred': [0, 3, 2, 0, 3, 2, 0, 3, 2, 2, 2, 4, 3, 4, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.5276190476190477,1.0367473523949657,1.4946502340893293,validation
21,0.28541976469166985,-7380.042553147833,"{'pred': [3, 0, 0, 3, 3, 0, 3, 0, 3, 3, 2, 2, 2, 2, 2, 0, 3, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.5577777777777778,1.0468062454955194,1.7434814264764948,test
31,0.3426401054163227,-7828.370343387182,"{'pred': [3, 3, 0, 0, 3, 0, 0, 0, 0, 2, 2, 0, 3, 0, 0, 3, 4, 3, 0, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.4038095238095238,0.9622848666279091,3.1446689365476037,validation
31,0.24141569902415397,-7828.370343387182,"{'pred': [3, 0, 0, 3, 3, 0, 0, 0, 3, 3, 2, 2, 2, 2, 2, 0, 3, 3, 0, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.5301587301587302,0.9994355955289568,3.0435172041719487,test
41,0.2620114845867247,-8015.777093675028,"{'pred': [3, 3, 2, 0, 3, 2, 0, 3, 2, 2, 2, 1, 3, 4, 0, 3, 4, 4, 1, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.4204761904761905,0.9641129956904044,2.728046429850503,validation
41,0.24014408139727506,-8015.777093675028,"{'pred': [3, 0, 0, 3, 3, 3, 2, 0, 3, 3, 2, 2, 2, 2, 2, 0, 3, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.5484848484848485,0.9670936898755028,3.097420922640758,test
51,0.3453863019739553,-7886.185963009243,"{'pred': [3, 3, 2, 0, 3, 0, 0, 0, 2, 2, 2, 1, 3, 4, 0, 3, 4, 4, 1, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.4333333333333333,0.9462621165703831,6.243564888748891,validation
51,0.2949318218192596,-7886.185963009243,"{'pred': [3, 0, 0, 3, 3, 3, 0, 0, 3, 3, 2, 2, 2, 2, 2, 0, 3, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.5577777777777778,0.939943771881912,7.287183641871153,test
61,0.3513968229157762,-8036.571264069971,"{'pred': [3, 3, 2, 0, 3, 0, 0, 0, 2, 2, 2, 1, 3, 4, 0, 3, 4, 4, 1, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.4333333333333333,0.947212949350113,6.704200353664188,validation
61,0.28504495439438177,-8036.571264069971,"{'pred': [3, 0, 0, 3, 3, 3, 0, 0, 3, 3, 2, 2, 2, 2, 2, 0, 3, 3, 0, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.5305050505050505,0.9605505722913202,7.381820315916047,test
71,0.353775797758742,-8034.855809305749,"{'pred': [3, 3, 2, 0, 3, 0, 0, 0, 2, 2, 2, 1, 3, 4, 0, 3, 4, 4, 1, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.4333333333333333,0.9480511777517948,6.9336050702162595,validation
71,0.2878909315977986,-8034.855809305749,"{'pred': [3, 0, 0, 3, 3, 3, 0, 0, 3, 3, 2, 2, 2, 2, 2, 0, 3, 3, 0, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.5305050505050505,0.9596153199147845,7.840191056677836,test
81,0.3839502375328147,-8037.426093065986,"{'pred': [3, 3, 0, 0, 3, 0, 0, 0, 2, 2, 2, 0, 3, 0, 0, 3, 4, 4, 1, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.4984126984126984,0.9664275191046693,7.190174214411135,validation
81,0.2969568111980277,-8037.426093065986,"{'pred': [3, 0, 0, 3, 3, 0, 0, 0, 3, 3, 2, 2, 2, 2, 2, 0, 3, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.5571717171717172,0.9446157700850215,8.57991407877329,test
91,0.38701256549116986,-7937.752954925967,"{'pred': [3, 3, 0, 0, 3, 0, 0, 0, 2, 2, 2, 0, 3, 0, 0, 3, 4, 4, 0, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.4932844932844932,0.9639906132223489,7.5952006090858335,validation
91,0.28953269108386126,-7937.752954925967,"{'pred': [3, 0, 0, 3, 3, 0, 0, 0, 3, 3, 2, 2, 2, 2, 2, 0, 3, 3, 0, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.5301587301587302,0.9597196002759912,8.406495848457189,test
101,0.3805886627911014,-8039.188318830923,"{'pred': [3, 3, 0, 0, 3, 0, 0, 0, 2, 2, 2, 1, 3, 0, 0, 3, 4, 4, 1, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.5044733044733045,0.9656867682783578,7.292856411928767,validation
101,0.2900448149168438,-8039.188318830923,"{'pred': [3, 0, 0, 3, 3, 0, 0, 0, 3, 3, 2, 2, 2, 2, 2, 0, 3, 3, 0, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.5301587301587302,0.9622086382954035,8.390394201429938,test
