Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.4
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,40
scoring_method,f1_frechet_ldj:ff
max_iters,100
score_rate,10
input_dim,15
init,umap:euclidean
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |               value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |  0.9836258907598541  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |               (15,)  |      +ve      |        
  [1mlinear.variances[0;0m  |               (15,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.1353387660186003  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,kernel geo
geometry,cocentric_circles
geo params,
num_epochs,100
num_acts,5
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.Bimanual3D object at 0x00000178E30949E0>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""box_lift"", ""box_turn_cw_forward"", ""box_lateral_left"", ""bread_cutting_right"", ""jar_opening_right_open""]"
people,[1]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.29625407859811625,0,"{'pred': [0, 0, 0, 0, 0, 1, 3, 1, 4, 1, 2, 1, 3, 4, 1, 4, 2, 4, 2, 0], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.42269841269841263,1.040334326708006,3.101130997249985,validation
1,0.19352008378922042,0,"{'pred': [0, 2, 2, 3, 3, 0, 0, 0, 1, 2, 1, 2, 1, 2, 1, 3, 1, 4, 2, 2, 1, 4, 0, 4, 1], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.29,0.9840708860913053,3.026059073472111,test
11,0.27528511473863265,116287.86673719517,"{'pred': [3, 0, 0, 0, 1, 3, 3, 1, 4, 1, 2, 1, 3, 4, 0, 3, 2, 4, 2, 2], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.44603174603174606,1.0366755840341146,3.2090332192264857,validation
11,0.20509840565379647,116287.86673719517,"{'pred': [3, 3, 3, 3, 3, 0, 0, 0, 1, 3, 1, 2, 1, 2, 1, 3, 3, 4, 2, 2, 3, 4, 2, 4, 2], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.2743145743145743,0.9552980419610997,4.08789013266185,test
21,0.2964064682341089,114820.16992716084,"{'pred': [3, 0, 0, 0, 1, 3, 3, 3, 4, 1, 2, 1, 3, 4, 0, 3, 2, 4, 2, 0], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.38476190476190475,0.9950813397380518,2.962390026039247,validation
21,0.21513990980941494,114820.16992716084,"{'pred': [3, 4, 2, 3, 3, 0, 0, 0, 1, 3, 1, 2, 1, 2, 1, 3, 3, 4, 2, 3, 3, 4, 2, 4, 2], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.29836829836829837,0.9565765787630691,4.396423080320888,test
31,0.26873193227819153,124875.23080296963,"{'pred': [3, 0, 0, 0, 1, 3, 3, 1, 4, 1, 2, 1, 3, 4, 1, 3, 1, 4, 1, 0], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.4487590187590188,1.0463155397463604,3.2979859251122634,validation
31,0.1892594436985051,124875.23080296963,"{'pred': [0, 2, 0, 2, 3, 0, 0, 0, 1, 2, 1, 2, 1, 2, 1, 3, 1, 4, 1, 0, 3, 4, 1, 4, 3], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.3305050505050505,0.9689818725022344,2.452769178964714,test
41,0.2964104063678437,114820.05465842651,"{'pred': [3, 0, 0, 0, 1, 3, 3, 3, 4, 1, 2, 1, 3, 4, 0, 3, 2, 4, 2, 0], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.38476190476190475,0.9951084770156922,2.9627696525330816,validation
41,0.21514017242416567,114820.05465842651,"{'pred': [3, 4, 2, 3, 3, 0, 0, 0, 1, 3, 1, 2, 1, 2, 1, 3, 3, 4, 2, 3, 3, 4, 2, 4, 2], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.29836829836829837,0.9566064284623679,4.396422882009141,test
51,0.276922322596985,425904543501874.5,"{'pred': [3, 0, 0, 0, 0, 3, 3, 1, 4, 1, 2, 0, 3, 4, 0, 3, 2, 4, 2, 0], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.37893217893217895,1.0784883069693885,2.877699225882738,validation
51,0.18507710177152342,425904543501874.5,"{'pred': [0, 0, 0, 3, 3, 0, 0, 0, 1, 2, 3, 2, 3, 2, 1, 3, 1, 4, 2, 2, 1, 4, 2, 4, 3], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.36262626262626263,0.9521646417808349,2.3536401327544616,test
61,0.29637025845608056,114815.8711225698,"{'pred': [3, 0, 0, 0, 1, 3, 3, 3, 4, 1, 2, 1, 3, 4, 0, 3, 2, 4, 2, 0], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.38476190476190475,0.9951217849028432,2.951313909081365,validation
61,0.215206102354768,114815.8711225698,"{'pred': [3, 4, 2, 3, 3, 0, 0, 0, 1, 3, 1, 2, 1, 2, 1, 3, 3, 4, 2, 3, 3, 4, 2, 4, 2], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.29836829836829837,0.9564394206076635,4.3955121281385425,test
71,0.29643188781017,114815.84204841146,"{'pred': [3, 0, 0, 0, 1, 3, 3, 3, 4, 1, 2, 1, 3, 4, 0, 3, 2, 4, 2, 0], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.38476190476190475,0.9951890580093676,2.9614348750531634,validation
71,0.2151890118032596,114815.84204841146,"{'pred': [3, 4, 2, 3, 3, 0, 0, 0, 1, 3, 1, 2, 1, 2, 1, 3, 3, 4, 2, 3, 3, 4, 2, 4, 2], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.29836829836829837,0.9564648200974679,4.395569345790891,test
81,0.29644705208738487,114815.84201622262,"{'pred': [3, 0, 0, 0, 1, 3, 3, 3, 4, 1, 2, 1, 3, 4, 0, 3, 2, 4, 2, 0], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.38476190476190475,0.9952104047195899,2.963981702769237,validation
81,0.21520587926100995,114815.84201622262,"{'pred': [3, 4, 2, 3, 3, 0, 0, 0, 1, 3, 1, 2, 1, 2, 1, 3, 3, 4, 2, 3, 3, 4, 2, 4, 2], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.29836829836829837,0.9564299880028748,4.395516391452913,test
