Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.4
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,40
scoring_method,f1_frechet_ldj:ff
max_iters,100
score_rate,10
input_dim,15
init,umap:euclidean
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |               value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |  0.7991907926730719  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |               (15,)  |      +ve      |        
  [1mlinear.variances[0;0m  |               (15,)  |      +ve      |        
  [1mbias.variance   [0;0m  |   1.212050208048663  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,mlp geo
geometry,ellipse
geo params,
num_epochs,100
num_acts,5
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.Bimanual3D object at 0x0000027FA73ABE00>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""box_lift"", ""box_turn_cw_forward"", ""box_lateral_left"", ""bread_cutting_right"", ""jar_opening_right_open""]"
people,[1]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.4852790345656297,0,"{'pred': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",1.0,0.8533899501089011,32.03376950494201,validation
1,0.4418016776150157,0,"{'pred': [0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.9166666666666667,0.8515640126125024,38.356999633376724,test
11,0.3621085909447354,12029.124587637398,"{'pred': [1, 1, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.8933333333333333,0.9976849325889844,18.926706356449927,validation
11,0.36859130322305256,12029.124587637398,"{'pred': [0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.9166666666666667,0.9847357866529514,20.0605454929563,test
21,0.6142457921499591,-2341.2984371788725,"{'pred': [3, 0, 2, 3, 1, 1, 0, 1, 2, 2, 2, 0, 0, 0, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.6658730158730158,1.0224819061112584,5.118054771707021,validation
21,0.5106024206735061,-2341.2984371788725,"{'pred': [0, 4, 2, 2, 2, 1, 1, 1, 1, 1, 2, 2, 0, 0, 3, 3, 3, 1, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.6536363636363636,1.0178322025418947,4.788009600269027,test
31,2.4417323831809705,-2795.2124004892803,"{'pred': [1, 2, 2, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 3, 3, 4, 0, 0, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.5599999999999999,1.1019080551892053,2.2628294341438324,validation
31,1.1177588648379728,-2795.2124004892803,"{'pred': [0, 3, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 0, 3, 0, 3, 0, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.62,1.039740555528856,2.560629485635353,test
41,0.2958023235383527,-2876.595481201528,"{'pred': [3, 3, 3, 3, 0, 0, 0, 1, 0, 0, 0, 0, 3, 3, 3, 0, 0, 0, 0, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.2690909090909091,0.8979451023325289,7.380602412502524,validation
41,0.3662338979824591,-2876.595481201528,"{'pred': [0, 0, 3, 2, 3, 0, 0, 1, 1, 1, 0, 3, 0, 0, 0, 3, 3, 3, 0, 3, 4, 4, 0, 4, 0], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.4833333333333333,0.9152050739624142,7.473521378028923,test
51,0.2815183680391421,-2907.0028925191064,"{'pred': [3, 3, 3, 3, 0, 3, 1, 1, 0, 0, 3, 3, 3, 3, 3, 3, 0, 0, 0, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.32,0.9299739592171281,5.566128571452221,validation
51,0.3319993775904717,-2907.0028925191064,"{'pred': [0, 0, 1, 2, 3, 0, 3, 1, 1, 1, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 4, 0, 0, 0, 0], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.38653846153846155,0.9671462127685859,8.343571662955748,test
61,0.286452090623417,-2945.415115010514,"{'pred': [3, 3, 2, 3, 0, 3, 1, 1, 0, 0, 3, 3, 3, 3, 3, 3, 0, 0, 0, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.3276190476190476,0.9365288549019514,5.262162763566885,validation
61,0.337951128616389,-2945.415115010514,"{'pred': [0, 0, 1, 2, 3, 0, 3, 1, 1, 1, 3, 3, 3, 0, 3, 0, 3, 3, 3, 3, 4, 0, 0, 0, 0], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.36380952380952375,0.9867028516451549,7.237736846180025,test
71,0.28164790305835863,-2615.2715123436656,"{'pred': [3, 3, 2, 3, 0, 3, 1, 1, 0, 0, 3, 0, 3, 3, 3, 3, 0, 0, 0, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.33641025641025635,0.9287393872309481,5.5694947853279055,validation
71,0.3331430715629891,-2615.2715123436656,"{'pred': [0, 0, 1, 2, 3, 0, 3, 1, 1, 1, 3, 2, 3, 3, 3, 0, 3, 3, 3, 3, 4, 0, 0, 0, 0], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.42534798534798524,0.9771320732539863,7.509701757557832,test
81,0.2792470976977087,-2948.231966077974,"{'pred': [3, 3, 2, 3, 0, 3, 1, 1, 0, 0, 3, 3, 3, 3, 3, 3, 0, 0, 0, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.3276190476190476,0.9312806938791368,5.5789803092870205,validation
81,0.33562553401531614,-2948.231966077974,"{'pred': [0, 0, 1, 2, 3, 0, 3, 1, 1, 1, 3, 2, 3, 3, 3, 0, 3, 3, 3, 3, 4, 0, 0, 0, 0], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.42534798534798524,0.9770522314180514,7.406312535616208,test
91,0.2794049441220051,-2948.232795773309,"{'pred': [3, 3, 2, 3, 0, 3, 1, 1, 0, 0, 3, 3, 3, 3, 3, 3, 0, 0, 0, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.3276190476190476,0.9303743722677132,5.593855046837296,validation
91,0.3355687171312566,-2948.232795773309,"{'pred': [0, 0, 1, 2, 3, 0, 3, 1, 1, 1, 3, 2, 3, 3, 3, 0, 3, 3, 3, 3, 4, 0, 0, 0, 0], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.42534798534798524,0.9771708931807332,7.423627091688743,test
101,9.84137497003223,-3105.213391595996,"{'pred': [1, 1, 2, 1, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 3, 0, 0, 0, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.27111111111111114,1.0185865175653879,5.9540195218951615,validation
101,0.38522782103197273,-3105.213391595996,"{'pred': [0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 2, 1, 1, 0, 0, 3, 0, 3, 3, 4, 4, 0, 4, 0], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.5697435897435897,0.9875140546849825,9.189273406597309,test
