Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.15
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,15
scoring_method,f1_frechet_ldj:ff
max_iters,100
score_rate,10
input_dim,9
init,PCA
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                  value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |    0.19015369628016612  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                   (9,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                   (9,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.0002851796095604098  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,linear geo
geometry,fourier_basis
geo params,5
num_epochs,100
num_acts,8
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.MovementsCMU object at 0x000002EFC56698B0>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""bend_down"", ""soccer_kick"", ""breaststroke"", ""flystroke"", ""jump_side"", ""left_front_kick"", ""left_lunges"", ""left_punches""]"
people,[0]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.16532309140163634,0,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.6967384642955401,5.067513262141214,validation
1,0.1471391779911043,0,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.7224396170601427,41.01144895670286,test
11,0.16398656156767277,-151100.17945831822,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.752851745518281,3.434091352621139,validation
11,0.14200987180962177,-151100.17945831822,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.772226345138528,3.1308591659938414,test
21,0.16371953087026642,-198784.1945959495,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.8216438774854219,2.2476983048641257,validation
21,0.13866516438204537,-198784.1945959495,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.8491290417093135,7.7294527949536596,test
31,0.6546059419109151,-213068.04362027094,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.9571767407089657,0.7265760947072544,validation
31,0.9041573680587575,-213068.04362027094,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 1, 4, 4, 4, 5, 3, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.9154761904761904,0.9868622455217,0.7314204756779105,test
41,11.498294046517229,-221495.20126734156,"{'pred': [0, 0, 1, 1, 2, 2, 6, 1, 4, 4, 1, 5, 1, 1, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6458333333333333,0.953623505980604,0.5882866935382868,validation
41,8.623825401240296,-221495.20126734156,"{'pred': [0, 0, 0, 1, 1, 2, 2, 2, 2, 3, 3, 5, 4, 4, 4, 5, 1, 7, 1, 6, 6, 5, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.7535714285714287,0.9928065846847313,0.6904169633123175,test
51,833.6593902925906,-221917.99268540187,"{'pred': [0, 0, 1, 1, 2, 2, 6, 0, 4, 4, 1, 5, 1, 1, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6297619047619047,0.9659764578895931,0.7465017179322877,validation
51,410.05495845919563,-221917.99268540187,"{'pred': [0, 0, 0, 1, 1, 2, 2, 2, 2, 3, 3, 5, 4, 4, 4, 5, 1, 5, 1, 0, 6, 3, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.7398809523809525,0.9848066255108177,0.9724699037936975,test
61,1845.3366987850395,-222158.74660656543,"{'pred': [0, 0, 1, 1, 2, 2, 6, 0, 4, 4, 5, 5, 4, 1, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.675,0.9474519892872602,0.6667606326067327,validation
61,1305.9526108200146,-222158.74660656543,"{'pred': [0, 0, 0, 1, 1, 2, 2, 2, 2, 3, 7, 0, 4, 4, 4, 5, 1, 5, 1, 0, 2, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6535714285714286,0.9604140952186169,0.7527402031721775,test
71,0.6028873981451028,-222559.1200317127,"{'pred': [0, 0, 1, 1, 2, 2, 6, 4, 4, 4, 5, 5, 1, 1, 7, 6], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6416666666666666,0.8967351444215552,0.9017736828130333,validation
71,0.6281737751306734,-222559.1200317127,"{'pred': [0, 0, 0, 1, 1, 2, 2, 2, 2, 6, 6, 5, 4, 4, 4, 5, 1, 5, 1, 5, 2, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6116071428571429,0.9317793028462406,0.7927575997072119,test
81,0.34476481844311346,-222772.9195237316,"{'pred': [0, 0, 1, 1, 2, 2, 6, 4, 4, 4, 5, 5, 1, 1, 7, 6], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6416666666666666,0.9060351046616236,0.908891415930514,validation
81,0.3925286602968595,-222772.9195237316,"{'pred': [0, 0, 0, 1, 1, 2, 2, 2, 2, 6, 6, 2, 4, 4, 4, 6, 1, 5, 1, 5, 2, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5797619047619048,0.8963092286842023,0.8270416091869423,test
91,0.38102068924875476,-222827.04613704313,"{'pred': [0, 0, 1, 1, 2, 2, 6, 4, 4, 4, 5, 5, 1, 1, 7, 6], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6416666666666666,0.8908128044362165,0.9328999193374162,validation
91,0.45500024955608637,-222827.04613704313,"{'pred': [0, 0, 0, 1, 1, 2, 2, 2, 2, 6, 6, 2, 4, 4, 4, 6, 1, 5, 1, 5, 2, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5797619047619048,0.887709013736806,0.8493998933672581,test
101,196.014119595242,-222975.38263126067,"{'pred': [2, 0, 1, 1, 2, 2, 6, 4, 4, 4, 5, 5, 1, 1, 7, 6], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.575,0.90050420139994,0.9155994925783458,validation
101,76.53660634272094,-222975.38263126067,"{'pred': [0, 0, 0, 1, 1, 2, 2, 2, 2, 6, 6, 5, 4, 4, 4, 6, 1, 5, 1, 5, 2, 7, 7, 6], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5568452380952381,0.9044594002747012,0.8757525904133339,test
