Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.15
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,15
scoring_method,f1_frechet_ldj:ff
max_iters,100
score_rate,10
input_dim,9
init,kernel pca:rbf
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                   value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |     0.17432261618296846  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                    (9,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                    (9,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.00018204537048612014  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,linear geo
geometry,fourier_basis
geo params,3
num_epochs,100
num_acts,8
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.MovementsCMU object at 0x000001EDDCCE4140>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""bend_down"", ""soccer_kick"", ""breaststroke"", ""flystroke"", ""jump_side"", ""left_front_kick"", ""left_lunges"", ""left_punches""]"
people,[0]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.19762592098420032,0,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.7296747768308659,15.952216700050311,validation
1,0.1738865284571074,0,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.7365984941676093,16.0853657543642,test
11,0.2354485807280667,-163323.51082685438,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.8287063638562004,4.8279683886469025,validation
11,0.2106066905202885,-163323.51082685438,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.8789524819147901,5.358761348717117,test
21,0.19308554956734703,-191059.76951129307,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.7559943017660746,4.968098057257231,validation
21,0.17068131881966328,-191059.76951129307,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.7745067465937702,6.508736353405794,test
31,0.17753945698908097,-210589.50752178373,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.7453032337699952,3.0743766039013245,validation
31,0.15198287885154516,-210589.50752178373,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.7800153693523316,3.399771629138004,test
41,1448.8616241061236,-1930.704977807065,"{'pred': [0, 0, 1, 1, 2, 2, 3, 4, 4, 4, 7, 5, 6, 7, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.8083333333333333,0.966792323713369,0.6659681214840776,validation
41,249.75472850832958,-1930.704977807065,"{'pred': [0, 0, 0, 3, 3, 1, 2, 2, 2, 3, 3, 6, 4, 4, 4, 5, 3, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.8321428571428572,1.0130229581821424,0.7088635374685005,test
51,428.09526013092767,-237560.7009743894,"{'pred': [0, 0, 1, 1, 2, 2, 3, 7, 4, 4, 5, 5, 1, 4, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.7583333333333333,0.9619065427883396,0.592025279277976,validation
51,0.36155226630138493,-237560.7009743894,"{'pred': [0, 0, 0, 1, 1, 6, 2, 2, 6, 3, 3, 6, 4, 4, 4, 7, 4, 7, 4, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6750000000000002,0.949375493994975,0.701526489802421,test
61,63.67916036707165,-237963.85643353497,"{'pred': [0, 0, 1, 1, 2, 2, 6, 7, 4, 4, 5, 7, 1, 4, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6166666666666667,0.8984255366884402,0.8386978737375547,validation
61,0.2568630758610313,-237963.85643353497,"{'pred': [0, 0, 0, 1, 1, 6, 2, 2, 6, 6, 6, 6, 4, 4, 4, 6, 1, 7, 1, 7, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5401785714285715,0.8645093919971958,0.7826310784780475,test
71,6.870854660333809,-238109.79497981665,"{'pred': [0, 0, 1, 1, 2, 2, 3, 6, 4, 4, 5, 7, 1, 4, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.7166666666666667,0.8952796458263821,0.9589048728580423,validation
71,0.19183358749931656,-238109.79497981665,"{'pred': [0, 0, 0, 1, 1, 6, 2, 2, 2, 3, 3, 7, 4, 4, 4, 6, 1, 7, 1, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.7116071428571429,0.8784627362521138,1.0073434016152976,test
81,0.2840360467199325,-238290.48671009325,"{'pred': [0, 0, 1, 1, 2, 2, 3, 6, 4, 4, 5, 7, 1, 5, 6, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6833333333333333,0.8739670724135741,0.9469529866780594,validation
81,0.18052668059616234,-238290.48671009325,"{'pred': [0, 0, 0, 1, 5, 6, 2, 2, 2, 6, 6, 2, 4, 4, 4, 6, 1, 6, 4, 6, 6, 7, 7, 6], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5347402597402597,0.8671564906989954,1.0315415203327776,test
91,0.18998364456819533,-238429.45414904735,"{'pred': [0, 0, 1, 1, 2, 2, 6, 6, 4, 4, 5, 7, 1, 4, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6333333333333333,0.8123308861410233,1.069134744228618,validation
91,0.16031929870291156,-238429.45414904735,"{'pred': [0, 0, 0, 1, 1, 6, 7, 2, 2, 6, 6, 6, 2, 4, 3, 6, 1, 6, 4, 6, 6, 7, 7, 6], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.4666666666666666,0.8740075481879224,1.0075389874234117,test
101,0.23323265035942412,-238631.83508138303,"{'pred': [0, 0, 1, 1, 2, 2, 6, 6, 4, 4, 5, 5, 1, 4, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.7,0.8124859141748351,1.1682001944465878,validation
101,0.13714660270823956,-238631.83508138303,"{'pred': [0, 0, 0, 1, 5, 6, 2, 2, 6, 6, 6, 6, 4, 4, 4, 6, 1, 6, 5, 6, 6, 2, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.525,0.7889898780457675,1.1009330980700152,test
