Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.15
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,15
scoring_method,f1_frechet_ldj:ff
max_iters,100
score_rate,10
input_dim,9
init,umap:cosine
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |   0.0804086752980828  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                 (9,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                 (9,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.13295056493382051  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,kernel geo
geometry,fourier_basis
geo params,5
num_epochs,100
num_acts,8
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.MovementsCMU object at 0x00000211844DB5F0>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""bend_down"", ""soccer_kick"", ""breaststroke"", ""flystroke"", ""jump_side"", ""left_front_kick"", ""left_lunges"", ""left_punches""]"
people,[0]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.15705312669026184,0,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.8056174941619416,1.3155362524944993,validation
1,0.11528942982659256,0,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.8316197394695727,1.1058184846237487,test
11,0.37358685011923304,27816.268942229955,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.8898577854504277,0.9650286326937858,validation
11,0.25082735486363184,27816.268942229955,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 4, 4, 4, 4, 4, 5, 7, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.8633928571428572,0.9051795807429992,0.8913650894283323,test
21,1.2816138756078074e+136,-42103.6784341288,"{'pred': [0, 0, 0, 0, 0, 2, 4, 0, 4, 4, 5, 5, 0, 6, 7, 0], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.525,0.8906117190299256,0.8372394435524779,validation
21,3.318587854584766e+138,-42103.6784341288,"{'pred': [4, 0, 0, 4, 1, 0, 2, 0, 2, 3, 0, 0, 0, 0, 0, 4, 0, 0, 0, 6, 6, 0, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.45625000000000004,0.91024804443327,0.9005945087493734,test
31,6.759343436840776e+136,-51101.327285469466,"{'pred': [4, 0, 0, 4, 0, 0, 4, 3, 0, 0, 4, 5, 0, 6, 0, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.35833333333333334,0.9416889800128461,1.254989501801915,validation
31,1.8971916710739095e+124,-51101.327285469466,"{'pred': [0, 0, 0, 4, 0, 4, 2, 2, 2, 3, 4, 4, 4, 0, 0, 4, 4, 5, 0, 0, 0, 7, 1, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.4375,0.9293583032601394,0.8769848092694421,test
41,5.688787470192958e+124,-55463.98554012018,"{'pred': [0, 0, 0, 0, 2, 0, 0, 0, 4, 4, 0, 5, 6, 0, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.5454545454545454,0.9051073850236789,0.7415536584948749,validation
41,6.045804927116727e+79,-55463.98554012018,"{'pred': [4, 0, 0, 4, 0, 4, 2, 2, 2, 0, 0, 0, 4, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.3134920634920635,0.8605244476259408,0.6718525912607906,test
51,159.8058318079885,-60354.096757558815,"{'pred': [0, 4, 4, 4, 2, 2, 4, 4, 4, 4, 3, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.5972222222222222,0.9576875708309627,0.8175221125361286,validation
51,0.2406656913056277,-60354.096757558815,"{'pred': [4, 0, 7, 4, 7, 4, 2, 2, 2, 3, 4, 7, 4, 4, 4, 4, 4, 5, 6, 4, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5535256410256411,0.9180449860188915,1.044100697609586,test
61,0.3124259864158413,-64571.77199562741,"{'pred': [0, 0, 4, 4, 2, 2, 4, 3, 4, 0, 4, 5, 6, 6, 7, 4], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.63125,0.9565428697140874,1.1346050268638053,validation
61,0.2026563758523373,-64571.77199562741,"{'pred': [4, 0, 0, 4, 1, 4, 3, 2, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 6, 7, 4, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5416666666666666,0.8863884201199818,1.0777838022116895,test
71,4.444759119697249e+134,-72778.6971807961,"{'pred': [0, 0, 0, 0, 0, 2, 0, 0, 4, 0, 5, 5, 0, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.5454545454545454,0.908460830962427,0.7885241196237671,validation
71,3.4632527729609914e+134,-72778.6971807961,"{'pred': [0, 0, 0, 0, 1, 1, 0, 0, 0, 3, 0, 4, 0, 4, 4, 4, 0, 5, 0, 6, 0, 0, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5058035714285715,0.8959587700111199,0.7749697844701958,test
81,1.2797455120679106e+38,-78025.29407046789,"{'pred': [0, 4, 1, 1, 4, 0, 4, 3, 0, 0, 5, 0, 7, 6, 0, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.46874999999999994,0.9626976669607293,0.903342714535283,validation
81,1.5652067181249234e+54,-78025.29407046789,"{'pred': [0, 0, 0, 0, 1, 0, 0, 2, 0, 3, 0, 4, 0, 4, 4, 0, 0, 5, 6, 6, 6, 0, 7, 0], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5677083333333334,1.0309213968570121,0.7247682359688311,test
91,1.2478915056449939e+137,-86971.63146118764,"{'pred': [0, 4, 1, 0, 2, 0, 4, 0, 0, 4, 5, 0, 6, 6, 0, 0], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.44999999999999996,0.9637988958242169,0.7434352960806289,validation
91,6.181406429478533e+101,-86971.63146118764,"{'pred': [4, 0, 0, 0, 1, 0, 2, 2, 2, 3, 4, 4, 4, 4, 4, 0, 0, 5, 0, 0, 0, 7, 7, 4], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5291666666666667,0.8807323775398767,0.717000863290584,test
101,98.12631037612147,-102461.67837423162,"{'pred': [0, 4, 1, 4, 4, 2, 4, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.7708333333333333,0.983607673529395,1.2103167132629782,validation
101,0.17553571074603086,-102461.67837423162,"{'pred': [4, 0, 0, 4, 1, 1, 2, 2, 2, 3, 4, 4, 4, 4, 4, 5, 4, 5, 6, 4, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.775,0.9637139049219855,1.3247466305631008,test
