Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.15
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,15
scoring_method,f1_frechet_ldj:ff
max_iters,100
score_rate,10
input_dim,9
init,umap:cosine
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                  value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |     0.1640939178820981  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                   (9,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                   (9,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.0005783282215698655  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,linear geo
geometry,ellipse
geo params,
num_epochs,100
num_acts,8
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.MovementsCMU object at 0x00000194B7B065D0>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""bend_down"", ""soccer_kick"", ""breaststroke"", ""flystroke"", ""jump_side"", ""left_front_kick"", ""left_lunges"", ""left_punches""]"
people,[0]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.22041645685357616,0,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.7419265520425395,1.7480360723436763,validation
1,0.15912361385949172,0,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.7536890675572764,1.6297318331919233,test
11,0.21457918116611416,-210679.82527033112,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.7839387359722232,1.5200426719897342,validation
11,0.15771996672915586,-210679.82527033112,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.7944376766494594,1.5955905713304366,test
21,4.301494454997867,-218107.97704179704,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 7, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.9333333333333333,0.8987583875453715,0.874659777415905,validation
21,261181.09861656916,-218107.97704179704,"{'pred': [0, 0, 0, 1, 1, 5, 2, 2, 2, 3, 5, 7, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.8633928571428572,0.9412056049485726,0.7777894687077206,test
31,0.7158445653426816,-231266.76524342643,"{'pred': [0, 0, 1, 1, 2, 2, 7, 3, 4, 4, 7, 4, 6, 5, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.725,0.8807703166596285,0.8837895660222456,validation
31,138086.06992094393,-231266.76524342643,"{'pred': [5, 0, 0, 5, 1, 5, 2, 2, 2, 7, 7, 7, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.7041666666666666,1.0163629983902311,0.6032628427218927,test
41,2.586735026133515,-233223.86820928426,"{'pred': [0, 0, 1, 4, 2, 2, 7, 1, 4, 4, 7, 4, 6, 4, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.5505952380952381,0.9034791360853985,0.7935907343747134,validation
41,1.5456708900765121,-233223.86820928426,"{'pred': [4, 0, 0, 1, 1, 5, 2, 2, 2, 7, 7, 7, 0, 4, 4, 5, 5, 4, 1, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6297619047619047,0.9880154845157059,0.5599856704887812,test
51,0.921131776208044,-233528.29638156595,"{'pred': [0, 0, 1, 1, 2, 2, 2, 0, 4, 4, 7, 1, 6, 1, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.5916666666666667,0.8808235189862476,0.8427116704705042,validation
51,0.5073449212078772,-233528.29638156595,"{'pred': [4, 0, 0, 1, 1, 5, 2, 2, 2, 7, 6, 7, 0, 4, 4, 7, 5, 1, 6, 0, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5797619047619048,0.9203481155783702,0.7873424643757386,test
61,0.3812385997987876,-234077.68698117856,"{'pred': [0, 0, 1, 4, 2, 2, 1, 0, 4, 4, 5, 4, 6, 4, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.650595238095238,0.8748722782975507,1.0770515533651646,validation
61,0.2810453024282601,-234077.68698117856,"{'pred': [5, 0, 0, 1, 4, 5, 7, 2, 7, 2, 4, 7, 0, 4, 4, 5, 5, 5, 6, 0, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5324404761904762,0.9292657877797706,0.9858489673317056,test
71,0.1915020642149092,-234280.33338086173,"{'pred': [0, 0, 2, 1, 2, 2, 4, 2, 4, 4, 5, 4, 6, 1, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6458333333333333,0.824542749920522,1.362506576243774,validation
71,0.2299739596011341,-234280.33338086173,"{'pred': [5, 0, 0, 1, 1, 5, 2, 2, 2, 5, 4, 5, 2, 4, 4, 5, 5, 5, 6, 4, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6785714285714285,0.927038456094062,1.0332306961754378,test
81,0.20861907587680317,-234371.2281847904,"{'pred': [0, 0, 2, 4, 2, 2, 1, 2, 4, 4, 5, 5, 6, 1, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6416666666666666,0.8359467169988878,1.3398574626415807,validation
81,0.2393461609116,-234371.2281847904,"{'pred': [4, 0, 0, 1, 5, 5, 2, 2, 2, 5, 4, 5, 2, 4, 4, 5, 7, 5, 6, 4, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5948412698412698,0.8843831595816916,0.9227745253369127,test
91,0.19520006007890844,-234425.1571975918,"{'pred': [0, 0, 2, 4, 2, 2, 1, 2, 4, 4, 5, 5, 6, 1, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6416666666666666,0.8345882587492507,1.4872014419231852,validation
91,0.22991829529329189,-234425.1571975918,"{'pred': [4, 0, 0, 1, 5, 5, 2, 2, 2, 5, 4, 5, 2, 4, 4, 7, 7, 5, 6, 1, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5535714285714286,0.86447596589323,1.0645103297673575,test
101,0.33160004314757796,-234441.90143131465,"{'pred': [0, 0, 2, 4, 2, 2, 1, 2, 4, 4, 5, 5, 6, 1, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6416666666666666,0.882054462772172,1.291536257963711,validation
101,0.20556793219932515,-234441.90143131465,"{'pred': [4, 0, 0, 1, 5, 5, 2, 2, 2, 5, 4, 5, 2, 4, 4, 5, 7, 5, 6, 1, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5912698412698413,0.8888658285580081,1.1777326950917995,test
