Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.15
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,15
scoring_method,f1_frechet_ldj:ff
max_iters,100
score_rate,10
input_dim,9
init,umap:cosine
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                  value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |    0.22494087641711213  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                   (9,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                   (9,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.0005992024923333531  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,linear geo
geometry,fourier_basis
geo params,5
num_epochs,100
num_acts,8
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.MovementsCMU object at 0x000001A92BA11190>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""bend_down"", ""soccer_kick"", ""breaststroke"", ""flystroke"", ""jump_side"", ""left_front_kick"", ""left_lunges"", ""left_punches""]"
people,[0]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.21645814968694344,0,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.7476500483490924,3.0474437351083914,validation
1,0.16359050177201995,0,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.7667325034820115,3.5888277269302944,test
11,0.21950085202284148,-165177.68234473697,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.8078585171151078,2.6716564325922243,validation
11,0.15309840218865708,-165177.68234473697,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.8242404485005821,4.6120940431202415,test
21,0.20779301757378363,-198562.8029626889,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.8410965070370369,1.4226185589390066,validation
21,0.15330214728882277,-198562.8029626889,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.854494068742615,1.9115142851428943,test
31,0.43321912877300406,-213385.66229742754,"{'pred': [0, 0, 1, 5, 2, 2, 5, 7, 4, 4, 5, 5, 5, 5, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6208333333333333,0.8370835669732188,1.0983245966939181,validation
31,7.1581770294469145,-213385.66229742754,"{'pred': [0, 0, 0, 5, 5, 5, 2, 2, 2, 3, 3, 3, 7, 4, 4, 5, 5, 5, 6, 6, 1, 7, 1, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.7416666666666667,0.9494655800668086,1.0539525744477543,test
41,0.3194912589238813,-215575.66739097628,"{'pred': [0, 0, 1, 5, 2, 2, 5, 2, 4, 4, 5, 5, 5, 4, 7, 3], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.5630952380952381,0.8568111764816587,1.043838603130715,validation
41,0.21924997912978328,-215575.66739097628,"{'pred': [0, 0, 0, 5, 5, 5, 2, 2, 2, 1, 5, 3, 2, 4, 4, 5, 5, 5, 1, 4, 1, 0, 1, 3], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.4226190476190476,0.9348625136551162,0.7782774835361171,test
51,0.3038791240754786,-216050.71222422138,"{'pred': [0, 0, 1, 5, 7, 7, 5, 7, 4, 4, 5, 5, 5, 4, 7, 0], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.39642857142857146,0.796561576590266,0.9623381797146813,validation
51,0.2637814588263228,-216050.71222422138,"{'pred': [0, 0, 0, 5, 5, 5, 7, 7, 7, 0, 4, 3, 7, 4, 4, 5, 5, 5, 1, 4, 1, 0, 1, 0], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.3005952380952381,0.8704556261131794,0.8709093952394659,test
61,0.25079285922039196,-216183.2577045055,"{'pred': [0, 0, 1, 6, 7, 7, 4, 7, 4, 4, 5, 5, 5, 4, 7, 3], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.43333333333333335,0.778083155112387,1.1463317363419452,validation
61,0.20661417859484593,-216183.2577045055,"{'pred': [0, 0, 0, 5, 5, 5, 7, 7, 7, 0, 3, 3, 7, 4, 4, 5, 5, 5, 1, 4, 1, 0, 1, 3], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.34375,0.8902150431033323,0.9772789458910521,test
71,0.23906649384306905,-216506.6191766289,"{'pred': [0, 0, 1, 0, 7, 7, 3, 7, 4, 4, 5, 5, 5, 4, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.5380952380952382,0.7907485077380295,0.9705205427225548,validation
71,0.20140141344222215,-216506.6191766289,"{'pred': [0, 0, 0, 1, 5, 1, 7, 7, 7, 3, 3, 3, 7, 4, 4, 0, 2, 0, 3, 1, 0, 7, 7, 3], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.41597222222222224,0.8535907633956699,1.0328300714699459,test
81,0.22575880719619873,-216856.9608558164,"{'pred': [0, 0, 1, 3, 7, 7, 3, 2, 4, 4, 5, 5, 5, 4, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.5541666666666667,0.8219819175694358,0.9611849345206973,validation
81,0.18762877684947166,-216856.9608558164,"{'pred': [0, 0, 0, 1, 1, 1, 2, 7, 2, 3, 3, 3, 6, 4, 4, 7, 6, 3, 3, 1, 3, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6092261904761905,0.8778794218650554,0.939980202002382,test
91,0.2501842256480021,-216904.7544850369,"{'pred': [0, 0, 1, 3, 2, 7, 3, 2, 4, 4, 5, 5, 5, 4, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6333333333333333,0.8247939731416487,1.13124767362501,validation
91,0.15709622172546928,-216904.7544850369,"{'pred': [0, 0, 0, 1, 5, 1, 2, 7, 2, 3, 3, 3, 6, 4, 4, 7, 6, 3, 3, 1, 2, 6, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5568452380952381,0.8810667850738338,0.9481449843130461,test
101,0.2049223173895597,-216888.25904502242,"{'pred': [0, 0, 1, 3, 2, 7, 3, 2, 4, 4, 5, 1, 5, 1, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.5874999999999999,0.8547201004406114,0.8996535116607445,validation
101,0.1673498794544666,-216888.25904502242,"{'pred': [0, 0, 0, 1, 5, 1, 2, 7, 2, 3, 3, 3, 6, 4, 4, 7, 6, 3, 3, 1, 3, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5854166666666667,0.8921736452698783,0.9232780322948477,test
