Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.15
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,15
scoring_method,f1_frechet_ldj:ff
max_iters,100
score_rate,10
input_dim,9
init,umap:cosine
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |   0.6656236302830565  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                 (9,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                 (9,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.25281081557534535  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,mlp geo
geometry,ellipse
geo params,
num_epochs,100
num_acts,8
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.MovementsCMU object at 0x000002048365BEF0>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""bend_down"", ""soccer_kick"", ""breaststroke"", ""flystroke"", ""jump_side"", ""left_front_kick"", ""left_lunges"", ""left_punches""]"
people,[0]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.256167500069297,0,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.7071409735484269,18.003294914164815,validation
1,0.2013881048498403,0,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.7381242954046234,18.795302246347628,test
11,0.23957493646493958,-19578.976435029203,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,1.0906405508738137,3.4910173640412183,validation
11,0.21134743562789068,-19578.976435029203,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,1.0644149234424218,5.9702505484549455,test
21,0.22279301088511805,48252.77939268611,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.8364151876552464,30.521386763157352,validation
21,0.18517518212436324,48252.77939268611,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.8515217472856328,16.21249563765629,test
31,0.18916023822013142,-27076.019015525344,"{'pred': [4, 3, 3, 7, 7, 7, 6, 7, 1, 1, 3, 4, 1, 5, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.0625,0.7587398553702214,1.3182440487584248,validation
31,1584256977016.2703,-27076.019015525344,"{'pred': [3, 2, 3, 1, 1, 7, 3, 3, 3, 3, 6, 3, 4, 1, 1, 5, 6, 7, 7, 7, 3, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.3168831168831169,0.9673548216545473,0.7740928516940937,test
41,0.24655876307402047,-31715.60064180218,"{'pred': [3, 0, 1, 1, 7, 7, 4, 7, 1, 4, 4, 0, 1, 1, 7, 6], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.2255952380952381,0.9751429252015669,1.0287375328979373,validation
41,0.14571928835629824,-31715.60064180218,"{'pred': [0, 4, 0, 1, 1, 1, 7, 7, 7, 7, 1, 7, 4, 4, 1, 7, 4, 4, 1, 1, 1, 0, 4, 6], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.20707070707070707,0.9396151237206487,1.131414657052864,test
51,511.3616543761491,-18230.888032176787,"{'pred': [3, 0, 1, 6, 7, 3, 7, 7, 4, 4, 5, 5, 1, 1, 7, 3], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.42500000000000004,0.9712434272743609,0.8651344116734956,validation
51,0.18241981353882075,-18230.888032176787,"{'pred': [0, 0, 0, 1, 1, 1, 7, 7, 7, 7, 3, 3, 2, 4, 4, 7, 5, 4, 1, 1, 1, 3, 5, 5], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.4166666666666667,1.0005043546967303,1.1679829264674426,test
61,6.625414292168832e+23,-40028.96469404032,"{'pred': [7, 7, 4, 1, 7, 7, 5, 7, 4, 4, 5, 5, 1, 6, 7, 3], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.3770833333333333,0.9746241706297252,2.1265151215699083,validation
61,0.17268786308139722,-40028.96469404032,"{'pred': [7, 7, 7, 1, 1, 1, 7, 7, 7, 3, 4, 7, 7, 4, 4, 2, 5, 3, 7, 1, 7, 3, 5, 5], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.2738095238095238,0.8418082268574313,1.2847978629441708,test
71,6804829996.741135,-40329.58089415742,"{'pred': [2, 0, 1, 1, 7, 3, 3, 3, 4, 4, 5, 5, 1, 6, 7, 3], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6625,0.9769793247519553,1.5222489207976209,validation
71,0.20326094379618576,-40329.58089415742,"{'pred': [2, 0, 0, 1, 1, 1, 7, 7, 7, 3, 6, 3, 2, 4, 4, 2, 5, 4, 6, 1, 6, 3, 5, 5], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.4988095238095238,1.000632524483528,1.8687714190669584,test
81,6522262529.887286,-40345.588068801335,"{'pred': [2, 0, 1, 1, 7, 3, 3, 3, 4, 4, 5, 5, 1, 6, 7, 3], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6625,0.9820917479709852,1.4711170163398493,validation
81,0.19934028007490975,-40345.588068801335,"{'pred': [2, 0, 0, 1, 1, 1, 7, 7, 7, 3, 4, 3, 2, 4, 4, 2, 5, 4, 6, 1, 6, 3, 5, 5], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5035714285714286,0.9996781170391961,1.6919237938949643,test
