Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.15
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,15
scoring_method,f1_frechet_ldj:ff
max_iters,100
score_rate,10
input_dim,9
init,umap:euclidean
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |  0.06199657215092581  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                 (9,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                 (9,)  |      +ve      |        
  [1mbias.variance   [0;0m  |   0.1320674489565555  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,kernel geo
geometry,toroid
geo params,
num_epochs,100
num_acts,8
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.MovementsCMU object at 0x0000022FF2C3EEA0>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""bend_down"", ""soccer_kick"", ""breaststroke"", ""flystroke"", ""jump_side"", ""left_front_kick"", ""left_lunges"", ""left_punches""]"
people,[0]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.15026388026162585,0,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.7554971642680879,1.1787938143735077,validation
1,0.12957375239701138,0,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.7875199788635224,1.145044312252442,test
11,0.327168787101981,-3012.1756773472553,"{'pred': [0, 0, 4, 4, 4, 2, 3, 3, 4, 4, 5, 5, 4, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.7291666666666666,0.9028203873917501,1.4648267862185307,validation
11,0.26575322695407105,-3012.1756773472553,"{'pred': [0, 0, 0, 1, 4, 4, 2, 2, 2, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.8708333333333332,0.9504070323570462,1.467330169198166,test
21,0.3118986411823025,-46340.03639980762,"{'pred': [0, 0, 4, 4, 4, 2, 3, 3, 4, 4, 5, 5, 4, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.7291666666666666,0.9113125950186899,1.5335835233147062,validation
21,0.25891673551228556,-46340.03639980762,"{'pred': [0, 0, 0, 1, 4, 4, 2, 2, 2, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 6, 5, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.8279761904761905,0.9503619066162837,1.6757277309348022,test
31,0.2646917686126957,-66863.1753406448,"{'pred': [0, 0, 4, 4, 2, 2, 3, 3, 4, 4, 5, 5, 4, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.7797619047619048,0.8988302095337554,1.4745533393545638,validation
31,0.22768067914075676,-66863.1753406448,"{'pred': [0, 0, 0, 1, 4, 4, 2, 2, 2, 3, 3, 4, 3, 4, 4, 5, 5, 5, 6, 6, 3, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.7964285714285714,0.9485369469711706,1.6705899521063063,test
41,0.2499880678274558,-89878.7287731502,"{'pred': [0, 0, 4, 1, 2, 2, 3, 3, 4, 4, 5, 5, 4, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.875,0.9014958900309799,1.5229746202190628,validation
41,0.24186314007524726,-89878.7287731502,"{'pred': [0, 0, 0, 1, 1, 4, 2, 2, 2, 3, 3, 5, 0, 4, 4, 5, 5, 5, 6, 6, 5, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.8342261904761905,0.9301806951579401,1.6289708314451299,test
51,0.23347900902281987,-114627.20265984134,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 4, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.9333333333333333,0.8926496460403903,1.643317834549563,validation
51,0.21086961020279374,-114627.20265984134,"{'pred': [0, 0, 0, 1, 1, 4, 2, 2, 2, 3, 3, 5, 0, 4, 4, 5, 5, 5, 6, 6, 5, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.8342261904761905,0.9265965890754913,1.6103750165245827,test
61,0.23913858299815607,-129035.1500099343,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 4, 6, 7, 4], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.875,0.891596773785969,1.9061807830489694,validation
61,0.21277241545576528,-129035.1500099343,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 4, 0, 0, 4, 5, 5, 5, 6, 6, 5, 4, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.7925595238095239,0.9477205958894466,1.85587660980378,test
71,0.20517619172323795,-139005.00953551024,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 4, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.9333333333333333,0.888758464355345,2.6796280220535675,validation
71,0.18949002239236373,-139005.00953551024,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 4, 0, 4, 4, 5, 5, 5, 6, 6, 1, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.8726190476190476,0.9127093599386191,4.025837528102247,test
81,0.19997978376912937,-147530.117504414,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 0, 5, 5, 4, 6, 4, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.8166666666666667,0.8892531276070718,2.7184285613902555,validation
81,0.1846376389285689,-147530.117504414,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 0, 4, 4, 5, 5, 5, 6, 6, 5, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.9142857142857143,0.9137331334483331,3.316610637619033,test
91,0.18078854258012214,-153916.42129077733,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 0, 5, 5, 4, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.8708333333333333,0.8828180762452762,1.741004894416727,validation
91,0.1597239109330349,-153916.42129077733,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 0, 4, 4, 5, 5, 5, 6, 6, 2, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.9142857142857143,0.9061800322925209,1.7862894875239037,test
101,7.768748579227172e+147,-159174.26468686713,"{'pred': [0, 0, 1, 1, 2, 0, 3, 3, 0, 0, 5, 5, 4, 0, 7, 0], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.5972222222222221,inf,1.3647911309022553,validation
101,4.7515624130211124e+125,-159174.26468686713,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 0, 3, 0, 4, 4, 5, 5, 5, 6, 0, 2, 7, 7, 0], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.7946428571428572,0.8694188246940519,1.3974712384026535,test
