Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.15
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,15
scoring_method,f1_frechet_ldj:ff
max_iters,100
score_rate,10
input_dim,9
init,umap:euclidean
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                  value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |    0.21386133717072153  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                   (9,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                   (9,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.0005953305545427346  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,linear geo
geometry,toroid
geo params,
num_epochs,100
num_acts,8
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.MovementsCMU object at 0x00000256FEA7ACC0>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""bend_down"", ""soccer_kick"", ""breaststroke"", ""flystroke"", ""jump_side"", ""left_front_kick"", ""left_lunges"", ""left_punches""]"
people,[0]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.14614201346077485,0,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.7101253194589097,3.5164614601715085,validation
1,0.13949205303703768,0,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.725010868899696,3.4505303215121916,test
11,0.13557542005864165,-197252.10014822983,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.788127625668666,2.0061355347104666,validation
11,0.12913533074034966,-197252.10014822983,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.7953468892702539,1.9481979434282177,test
21,13.4933810176671,-218211.68420432264,"{'pred': [0, 0, 3, 3, 2, 2, 3, 3, 5, 5, 5, 5, 2, 2, 7, 5], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.4464285714285714,1.0137014274367424,0.8622087964618912,validation
21,3553.0228922683195,-218211.68420432264,"{'pred': [0, 0, 0, 3, 3, 3, 2, 2, 2, 3, 3, 3, 4, 5, 5, 5, 3, 7, 6, 6, 7, 3, 5, 5], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5119318181818182,1.026379581776622,0.7948101311692427,test
31,13.847897584453177,-229918.3338299893,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 3, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.9333333333333333,0.9066487356280304,0.9221156266682026,validation
31,7.559743058457007,-229918.3338299893,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 1, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.9571428571428572,0.9109400639552993,0.9290258582772971,test
41,0.16404968713868856,-231507.74341747075,"{'pred': [0, 0, 3, 1, 2, 2, 3, 3, 4, 4, 0, 5, 6, 6, 7, 3], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.8083333333333333,0.8838032413077906,0.989076044915846,validation
41,0.15554769479741143,-231507.74341747075,"{'pred': [0, 0, 0, 1, 1, 1, 0, 2, 0, 3, 3, 0, 0, 4, 4, 5, 5, 5, 7, 6, 6, 3, 3, 0], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6521103896103897,0.9030289719840765,0.9211364508318265,test
51,4592705.839115326,-231832.7853336182,"{'pred': [0, 0, 2, 1, 2, 2, 3, 3, 4, 4, 3, 5, 7, 6, 7, 3], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.7458333333333333,0.8772945198100777,0.9250403157558784,validation
51,1850055.03233437,-231832.7853336182,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 2, 3, 2, 4, 4, 5, 5, 5, 7, 6, 6, 3, 3, 3], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.7312500000000001,0.9328620112017343,0.879803579386133,test
61,16.677651703578935,-232313.25101563436,"{'pred': [0, 0, 2, 2, 6, 2, 6, 7, 4, 4, 6, 2, 7, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.41666666666666663,0.7556107668672091,1.129852086711006,validation
61,55.64765547851598,-232313.25101563436,"{'pred': [0, 0, 0, 6, 1, 1, 2, 2, 2, 6, 7, 6, 7, 4, 4, 6, 6, 6, 7, 6, 6, 7, 7, 2], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5400974025974027,0.8401909884029185,0.8567131993456403,test
71,0.1369320901476505,-232728.74172242987,"{'pred': [0, 0, 3, 2, 6, 2, 6, 7, 4, 4, 6, 4, 7, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.4125,0.7308156846371425,1.211041324774116,validation
71,0.12055182860001497,-232728.74172242987,"{'pred': [0, 0, 0, 1, 1, 1, 7, 2, 7, 6, 7, 6, 2, 4, 4, 6, 6, 6, 6, 6, 6, 7, 6, 2], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.4898809523809524,0.837287174282271,0.9940968281792114,test
81,0.11222469234304973,-232847.30359620778,"{'pred': [0, 0, 3, 2, 6, 2, 6, 7, 4, 4, 6, 5, 7, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.5208333333333333,0.7582181621534618,1.2751911920496701,validation
81,0.10727592473446478,-232847.30359620778,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 6, 6, 6, 2, 4, 4, 6, 6, 6, 6, 6, 6, 7, 6, 2], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5639423076923077,0.8425745000656363,1.124033647105383,test
91,0.14779847059299114,-232874.34152122258,"{'pred': [0, 0, 3, 3, 6, 2, 6, 7, 4, 4, 6, 5, 7, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.5416666666666666,0.753686927554563,1.2529179194021078,validation
91,0.10777895849728672,-232874.34152122258,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 7, 6, 2, 4, 4, 6, 6, 6, 6, 6, 6, 7, 6, 3], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5619318181818181,0.8461676099467829,1.3148536289207837,test
101,0.1471317054863433,-232898.4537013277,"{'pred': [0, 0, 3, 2, 6, 2, 6, 7, 4, 4, 6, 5, 7, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.5208333333333333,0.7510704963417422,1.2342799447398893,validation
101,0.10689705433060852,-232898.4537013277,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 7, 6, 2, 4, 4, 6, 6, 6, 6, 6, 6, 7, 6, 3], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5619318181818181,0.8370534417035482,1.258466367994715,test
