Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.4
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,40
scoring_method,f1_frechet_ldj:ff
max_iters,100
score_rate,10
input_dim,15
init,PCA
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                 value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |   0.38687159942603944  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                 (15,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                 (15,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.001717320270057311  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,linear geo
geometry,fourier_basis
geo params,11
num_epochs,100
num_acts,5
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.Bimanual3D object at 0x000002149F998DD0>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""box_lift"", ""box_turn_cw_forward"", ""box_lateral_left"", ""bread_cutting_right"", ""jar_opening_right_open""]"
people,[1]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.28441099538625847,0,"{'pred': [1, 1, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.8933333333333333,0.8986126083028529,2.7887866498704676,validation
1,0.25929362446091575,0,"{'pred': [0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.9166666666666667,0.9005853848185149,2.7401845015178368,test
11,0.20448164362780846,29180.18861666241,"{'pred': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",1.0,0.9194994425360162,1.3732473429772007,validation
11,0.1847967812505135,29180.18861666241,"{'pred': [0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.9595959595959596,0.9175093822972492,1.294244479101657,test
21,32.953919018115144,-81864.44621324567,"{'pred': [2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 2], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.36421052631578943,1.1080172240821518,0.45607990338523074,validation
21,0.13644251898027898,-81864.44621324567,"{'pred': [3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.06896551724137931,0.9575117602452943,1.0517907443687349,test
31,0.7742097171070323,-87561.77010747354,"{'pred': [0, 0, 0, 4, 1, 1, 1, 1, 2, 2, 2, 1, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.8984126984126984,1.0763091992813407,0.7329171390564297,validation
31,0.6593504670840753,-87561.77010747354,"{'pred': [3, 4, 4, 0, 0, 4, 0, 3, 4, 1, 4, 4, 2, 0, 4, 3, 3, 3, 4, 4, 0, 3, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.3930124777183601,1.042038544892933,1.0825476948629003,test
41,0.7188357998661574,-88307.21343930555,"{'pred': [2, 2, 0, 3, 1, 1, 1, 1, 2, 2, 2, 4, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.7688888888888888,0.9800866562722113,0.62751164183858,validation
41,0.5614484854599444,-88307.21343930555,"{'pred': [3, 3, 4, 0, 0, 0, 2, 3, 3, 1, 4, 3, 2, 0, 2, 2, 3, 3, 4, 2, 2, 3, 4, 4, 2], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.36376068376068377,1.0276784787005044,1.167308935038948,test
51,0.3017769726774159,-88931.61895834061,"{'pred': [4, 4, 0, 3, 1, 1, 1, 1, 2, 2, 2, 4, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.7746608946608946,0.9477027754691111,0.8860328691701581,validation
51,0.47735120368153583,-88931.61895834061,"{'pred': [3, 3, 4, 0, 0, 4, 4, 3, 4, 4, 4, 3, 2, 4, 4, 3, 3, 3, 3, 4, 3, 3, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.3582072829131653,0.9852425472521503,1.2515960500652505,test
61,0.3196575310145356,-89139.58529158263,"{'pred': [4, 4, 0, 3, 1, 1, 1, 1, 2, 2, 2, 4, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.7746608946608946,0.9477467351386758,0.9522393379190157,validation
61,0.42295959334973404,-89139.58529158263,"{'pred': [3, 3, 4, 0, 0, 0, 0, 3, 0, 4, 4, 3, 2, 0, 4, 3, 3, 3, 3, 4, 3, 3, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.33836829836829835,0.9704877884342181,1.1157008206115655,test
71,0.27367002372013643,-89179.31409516816,"{'pred': [4, 4, 0, 3, 1, 1, 1, 1, 2, 2, 2, 4, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.7746608946608946,0.9727571905594448,0.9751613195367878,validation
71,0.3758016266759891,-89179.31409516816,"{'pred': [3, 3, 4, 0, 0, 4, 4, 3, 4, 1, 4, 3, 2, 0, 4, 3, 3, 3, 3, 4, 3, 3, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.41999999999999993,0.9815881596188331,1.170262562244124,test
81,0.2615032372289578,-89211.83895581176,"{'pred': [0, 0, 0, 3, 1, 1, 1, 1, 2, 2, 2, 4, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.8984126984126984,0.9847981905507146,1.1809145593544383,validation
81,0.24531406588540466,-89211.83895581176,"{'pred': [3, 3, 4, 0, 0, 4, 4, 3, 4, 1, 3, 4, 2, 4, 4, 3, 3, 3, 3, 4, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.4560224089635854,0.9895264976459487,1.0146354288585773,test
91,0.2881424299210639,-89249.32028613053,"{'pred': [0, 2, 0, 3, 1, 1, 1, 1, 2, 2, 2, 4, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.8388888888888889,0.9590584481788786,1.131818648908183,validation
91,0.2968589436513119,-89249.32028613053,"{'pred': [3, 3, 3, 0, 0, 4, 4, 3, 3, 1, 3, 4, 2, 0, 4, 3, 3, 3, 3, 0, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.44529914529914527,0.9722777921052294,1.04365405100137,test
101,0.32231361997053326,-89260.27512712598,"{'pred': [0, 0, 0, 3, 1, 1, 1, 1, 2, 2, 4, 4, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.8425396825396826,0.9537520941701847,1.1653041242452957,validation
101,0.355863848765671,-89260.27512712598,"{'pred': [3, 3, 3, 0, 0, 4, 0, 3, 0, 1, 3, 4, 2, 0, 0, 3, 3, 3, 3, 0, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.4521212121212121,0.9749192198408686,1.158601963932154,test
