Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.4
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,40
scoring_method,f1_frechet_ldj:ff
max_iters,100
score_rate,10
input_dim,15
init,kernel pca:rbf
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                 value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |   0.49832820454061133  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                 (15,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                 (15,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.015333998269701627  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,mlp geo
geometry,cocentric_circles
geo params,
num_epochs,100
num_acts,5
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.Bimanual3D object at 0x000001D89D99BBF0>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""box_lift"", ""box_turn_cw_forward"", ""box_lateral_left"", ""bread_cutting_right"", ""jar_opening_right_open""]"
people,[1]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.22061235433494927,0,"{'pred': [0, 0, 1, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.9492063492063492,0.8562228619503852,1.6482035772175367,validation
1,0.1650701229490307,0,"{'pred': [0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.9166666666666667,0.8695170549104929,1.5051633680856695,test
11,0.22544714672466437,15442.363231899282,"{'pred': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",1.0,0.9616587878664926,1.222544250748213,validation
11,0.2116469324767571,15442.363231899282,"{'pred': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",1.0,0.952104418844737,1.3232133005918163,test
21,0.27279615087568726,-14472.609250899324,"{'pred': [0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 2, 4, 2], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.7187878787878789,1.0448052290198782,1.398976558135265,validation
21,0.2724074978640577,-14472.609250899324,"{'pred': [3, 1, 2, 0, 1, 1, 2, 2, 1, 4, 2, 2, 2, 2, 2, 4, 3, 3, 3, 1, 1, 3, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.5332400932400932,1.0568328908666293,1.6877412449469575,test
31,0.5669612075535817,-16378.410149234825,"{'pred': [0, 0, 2, 0, 1, 2, 3, 1, 2, 2, 2, 2, 3, 3, 3, 3, 0, 2, 2, 3], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.5766666666666665,1.1117088396567074,1.054484519156172,validation
31,0.43669201211080794,-16378.410149234825,"{'pred': [0, 2, 2, 0, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 0, 0, 3, 0, 0, 3, 2, 4, 3], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.2680489101541733,1.0814636316002246,1.5020642311696906,test
41,0.1960876104006834,-16816.4202766455,"{'pred': [0, 3, 4, 0, 1, 2, 3, 1, 2, 2, 2, 2, 3, 3, 3, 3, 0, 2, 4, 3], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.6197402597402598,1.0521929607482452,1.3994907954937428,validation
41,0.18405205671596592,-16816.4202766455,"{'pred': [3, 3, 3, 0, 2, 2, 3, 4, 1, 1, 3, 2, 2, 2, 2, 2, 4, 4, 3, 0, 3, 3, 2, 4, 3], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.36752136752136744,1.0365829813270673,2.133311644173936,test
51,0.20122719978451192,-17058.516570930486,"{'pred': [0, 3, 0, 0, 1, 2, 3, 1, 2, 2, 2, 2, 3, 3, 3, 3, 0, 2, 4, 3], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.6687878787878788,1.0668263703359406,1.8127988668483357,validation
51,0.21304952497450952,-17058.516570930486,"{'pred': [3, 3, 3, 0, 3, 2, 3, 2, 2, 2, 3, 2, 0, 2, 2, 3, 0, 0, 3, 0, 3, 3, 2, 4, 3], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.248974358974359,1.0725096513238077,2.1557079172968225,test
61,0.30429605015841443,-17108.98011907172,"{'pred': [0, 1, 1, 0, 1, 2, 3, 1, 2, 2, 2, 4, 3, 3, 3, 3, 0, 2, 4, 3], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.5742857142857143,1.0219693694413938,1.863699073205889,validation
61,0.3228071760132754,-17108.98011907172,"{'pred': [0, 0, 3, 0, 2, 4, 3, 2, 4, 4, 0, 2, 0, 2, 2, 3, 0, 0, 3, 0, 3, 3, 4, 4, 3], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.358974358974359,0.9700042164013747,4.25728236409797,test
71,0.3392918823346157,-17124.38012859767,"{'pred': [0, 0, 3, 0, 4, 0, 0, 0, 0, 3, 2, 0, 3, 3, 3, 0, 0, 0, 4, 0], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.355,1.0208999737504505,1.565288540800767,validation
71,0.31228612473421535,-17124.38012859767,"{'pred': [3, 0, 3, 0, 0, 0, 3, 3, 4, 0, 0, 0, 0, 2, 2, 3, 0, 0, 3, 0, 3, 3, 4, 4, 0], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.34641241111829346,1.008010938021847,9.627596324801523,test
81,0.2777274862624171,-17239.251561066336,"{'pred': [3, 0, 3, 0, 2, 0, 0, 3, 0, 3, 2, 3, 3, 3, 3, 3, 3, 3, 4, 3], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.3355555555555555,1.0115777520601688,1.4443393351440548,validation
81,0.23224145764047527,-17239.251561066336,"{'pred': [3, 0, 3, 0, 3, 0, 3, 3, 4, 3, 3, 2, 0, 2, 0, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.3466666666666666,1.0419251900694293,1.9554055565830197,test
91,0.2686642296338455,-17456.41081463616,"{'pred': [3, 3, 3, 0, 1, 0, 0, 0, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 4, 3], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.3841176470588235,1.0241348870545168,1.551217491955119,validation
91,0.18925223852498002,-17456.41081463616,"{'pred': [3, 0, 3, 0, 3, 2, 3, 0, 1, 3, 3, 3, 3, 2, 4, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.37186147186147184,1.049173840769064,1.886143121944333,test
101,0.34763461839031506,-17511.14813907404,"{'pred': [0, 0, 2, 0, 1, 2, 0, 0, 0, 2, 2, 0, 3, 3, 3, 3, 0, 0, 2, 0], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.45460317460317456,1.099674533408027,1.4208494473488176,validation
101,0.2063958924605805,-17511.14813907404,"{'pred': [3, 0, 3, 0, 0, 0, 3, 0, 1, 1, 3, 0, 0, 2, 0, 0, 0, 0, 3, 3, 0, 0, 2, 0, 0], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.3041558441558441,1.0925244170761184,2.131149263279632,test
