Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.15
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,15
scoring_method,f1_frechet_ldj:ff
max_iters,100
score_rate,10
input_dim,9
init,PCA
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                  value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |    0.13262822229736773  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                   (9,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                   (9,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.0004911084153217994  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,linear
geometry,none
geo params,
num_epochs,100
num_acts,8
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.MovementsCMU object at 0x0000019F560D5FD0>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""bend_down"", ""soccer_kick"", ""breaststroke"", ""flystroke"", ""jump_side"", ""left_front_kick"", ""left_lunges"", ""left_punches""]"
people,[0]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.14904968799001184,0,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.7042056803278052,15.735717464781324,validation
1,0.14733996798205254,0,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.7191053965637394,14.584753273018572,test
11,0.16885903904645694,-216922.8557832739,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.8356408886926343,3.878205795441433,validation
11,0.15707439465563297,-216922.8557832739,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.8440249937079226,4.445567702698992,test
21,0.31667013151296647,-230101.50965217227,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.878694784471999,1.0691613756930174,validation
21,0.15633010564619174,-230101.50965217227,"{'pred': [0, 0, 0, 1, 3, 1, 2, 2, 2, 3, 3, 3, 4, 4, 5, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.9142857142857143,0.8823737714013377,1.1202532609401301,test
31,0.1550721139156302,-239313.30621634657,"{'pred': [0, 0, 1, 1, 2, 2, 6, 3, 4, 4, 7, 5, 7, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.8125,0.822574469221273,1.2498897739451462,validation
31,0.19976982532628132,-239313.30621634657,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 7, 3, 2, 4, 4, 4, 7, 7, 5, 6, 6, 7, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.7821428571428571,0.8464855746039052,0.8966761324876711,test
41,0.3189053394617762,-239849.4481047152,"{'pred': [0, 0, 3, 3, 2, 2, 6, 7, 4, 4, 7, 5, 7, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.5922619047619048,0.8336122839280206,1.0729929408307126,validation
41,2.066069434476975,-239849.4481047152,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 7, 2, 4, 4, 4, 7, 2, 5, 7, 6, 7, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6583333333333333,0.8403106811540801,0.9788841436023842,test
51,4.195837190325629,-240580.5847250092,"{'pred': [3, 0, 2, 2, 2, 2, 6, 7, 4, 4, 7, 5, 7, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.5089285714285714,0.8211430517421303,1.015312332815355,validation
51,4.215903706605447,-240580.5847250092,"{'pred': [4, 0, 0, 1, 5, 1, 2, 2, 2, 6, 2, 6, 2, 4, 4, 7, 7, 5, 7, 2, 7, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.4916666666666667,0.8029930846918448,0.8808397492006823,test
61,1.1005825716007782,-241117.96052584954,"{'pred': [3, 0, 1, 2, 2, 2, 6, 7, 4, 4, 7, 5, 7, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6089285714285715,0.8088356445744205,1.0478678379288244,validation
61,1.7351519874047947,-241117.96052584954,"{'pred': [4, 0, 0, 1, 6, 1, 2, 2, 2, 2, 2, 2, 2, 4, 4, 5, 5, 5, 2, 6, 2, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6458333333333334,0.8687285459670432,0.9930680620508276,test
71,0.19066965812530345,-241264.98935551973,"{'pred': [0, 0, 1, 2, 2, 2, 6, 7, 4, 4, 5, 1, 7, 5, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.5583333333333333,0.779267095888111,1.0381118311291302,validation
71,0.18181242553477797,-241264.98935551973,"{'pred': [0, 0, 0, 1, 5, 1, 2, 2, 2, 6, 6, 6, 0, 4, 4, 5, 5, 5, 6, 6, 5, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.7133928571428573,0.890853380367183,1.5632590373556414,test
81,0.12139600662683331,-241332.11469125902,"{'pred': [0, 0, 1, 2, 2, 2, 3, 2, 4, 4, 5, 1, 7, 5, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6416666666666666,0.8021450322304653,1.1321084163325046,validation
81,0.11608014635844233,-241332.11469125902,"{'pred': [0, 4, 0, 1, 3, 1, 2, 2, 2, 5, 2, 6, 4, 4, 4, 5, 5, 5, 2, 6, 5, 7, 7, 2], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6342261904761904,0.8214466010018685,1.0819282469995057,test
91,0.15002724385322025,-241396.7923732069,"{'pred': [0, 0, 2, 2, 2, 2, 6, 7, 4, 4, 5, 1, 7, 5, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.47916666666666663,0.7794781252475782,1.1292342944048412,validation
91,0.13223119021750243,-241396.7923732069,"{'pred': [0, 0, 0, 1, 5, 1, 2, 2, 2, 5, 2, 6, 2, 4, 4, 5, 5, 5, 6, 6, 5, 7, 7, 2], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6750000000000002,0.8425666345062695,1.2873880013655608,test
101,0.15975599064941434,-241417.67265254442,"{'pred': [3, 0, 2, 2, 2, 2, 6, 2, 4, 4, 5, 1, 7, 5, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.44226190476190474,0.7398291086844063,1.1334696241939652,validation
101,0.12097053389936473,-241417.67265254442,"{'pred': [0, 4, 0, 6, 3, 1, 2, 2, 2, 5, 2, 6, 2, 4, 4, 5, 5, 5, 5, 6, 5, 7, 7, 2], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5541666666666667,0.8129267283743123,1.1694076759430054,test
