Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.15
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,15
scoring_method,f1_frechet_ldj:ff
max_iters,100
score_rate,10
input_dim,9
init,PCA
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                  value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |    0.17661733348882724  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                   (9,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                   (9,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.0008366847395871177  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,linear geo
geometry,toroid
geo params,
num_epochs,100
num_acts,8
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.MovementsCMU object at 0x0000021D3C4DEF60>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""bend_down"", ""soccer_kick"", ""breaststroke"", ""flystroke"", ""jump_side"", ""left_front_kick"", ""left_lunges"", ""left_punches""]"
people,[0]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.1970452341866396,0,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.685874036401389,1.7710818490561318,validation
1,0.13517179037430582,0,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.6966654116218934,1.8000536338895596,test
11,0.18491960262683121,-208058.38792143133,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.77172115111568,1.6469772568386654,validation
11,0.13318956406423557,-208058.38792143133,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.7868506980269699,2.2209538978072865,test
21,0.16058774687155672,-220895.9611272297,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.7960522137697468,1.338600909289682,validation
21,0.12133085896656974,-220895.9611272297,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.804407985215979,1.344580936454377,test
31,0.5245200151730913,-237851.8767602156,"{'pred': [1, 1, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 4, 1, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6714285714285714,0.907642411049214,0.7655128773006578,validation
31,0.5140671407502871,-237851.8767602156,"{'pred': [0, 0, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 4, 5, 1, 1, 1, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.7571428571428571,0.8895959893790617,0.7695040533853527,test
41,1.3960291427591116,-239591.20410341077,"{'pred': [1, 1, 1, 0, 2, 2, 2, 2, 4, 4, 5, 5, 4, 1, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.475,0.9077699932906048,0.7772325372100011,validation
41,0.6702183646860116,-239591.20410341077,"{'pred': [1, 0, 1, 1, 1, 0, 2, 2, 2, 7, 3, 3, 6, 4, 4, 3, 4, 5, 1, 1, 5, 7, 7, 3], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5186507936507937,0.9497325988739281,0.7701822610123968,test
51,0.7135128494634362,-240960.2822010082,"{'pred': [4, 0, 1, 2, 2, 2, 2, 5, 4, 4, 5, 5, 1, 1, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.5416666666666667,0.9353782378621298,0.7522161111362706,validation
51,0.31125770993747165,-240960.2822010082,"{'pred': [0, 0, 0, 1, 1, 2, 2, 2, 2, 5, 2, 2, 0, 4, 4, 5, 1, 5, 2, 2, 0, 7, 7, 3], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5285984848484849,0.9182824286582205,0.8384818435898426,test
61,0.5955726189593961,-241869.97431019237,"{'pred': [0, 1, 1, 2, 2, 2, 2, 5, 4, 4, 1, 6, 4, 1, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.43333333333333335,0.8723626583108977,0.7393797028329148,validation
61,0.3596808917509106,-241869.97431019237,"{'pred': [0, 0, 1, 1, 1, 2, 2, 2, 7, 5, 7, 7, 0, 4, 4, 5, 4, 5, 5, 1, 2, 7, 7, 5], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.43452380952380953,0.9033169250868394,0.7709357968847619,test
71,0.31954122805140306,-242226.9360939003,"{'pred': [1, 1, 1, 0, 2, 2, 2, 5, 4, 4, 1, 5, 4, 1, 5, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.36904761904761907,0.8104067572100222,1.1483813739113968,validation
71,0.2757177924735982,-242226.9360939003,"{'pred': [0, 0, 1, 1, 1, 2, 3, 3, 2, 6, 7, 7, 0, 4, 4, 7, 1, 3, 5, 2, 7, 7, 7, 5], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.351984126984127,0.7905776006657848,1.0129126275785372,test
81,0.24951212326394256,-242713.59680639557,"{'pred': [4, 0, 1, 2, 2, 2, 2, 2, 4, 4, 4, 6, 1, 2, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.41666666666666663,0.7519248395190228,1.054273143223916,validation
81,0.11511446869067445,-242713.59680639557,"{'pred': [0, 0, 0, 1, 1, 2, 2, 2, 2, 6, 2, 2, 2, 4, 4, 2, 4, 3, 5, 2, 2, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.49102564102564106,0.7728456835042595,1.163238928964301,test
91,0.24496539260741218,-242771.56430741158,"{'pred': [4, 4, 1, 2, 2, 2, 2, 2, 4, 4, 4, 6, 4, 2, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.3333333333333333,0.7248962938998282,1.110973458934506,validation
91,0.1195028246168522,-242771.56430741158,"{'pred': [0, 0, 4, 1, 1, 2, 2, 2, 2, 6, 2, 2, 2, 4, 4, 2, 4, 3, 5, 5, 2, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.4589285714285715,0.7660846275440664,1.2145185976820019,test
101,0.20105079711004148,-242810.68397099248,"{'pred': [4, 4, 1, 2, 2, 2, 2, 5, 4, 4, 4, 6, 1, 2, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.33035714285714285,0.7358713584277974,1.1376033918932855,validation
101,0.17203766140932678,-242810.68397099248,"{'pred': [0, 0, 4, 1, 1, 2, 2, 2, 2, 6, 2, 7, 2, 4, 4, 2, 4, 2, 5, 5, 7, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.4333603896103897,0.7758277568143958,1.2105936570125837,test
