Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.15
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,15
scoring_method,f1_frechet_ldj:ff
max_iters,100
score_rate,10
input_dim,9
init,kernel pca:rbf
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |  0.23541161909907407  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                 (9,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                 (9,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.14806081506446728  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,kernel geo
geometry,ellipse
geo params,
num_epochs,100
num_acts,8
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.MovementsCMU object at 0x000001C5EC041FD0>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""bend_down"", ""soccer_kick"", ""breaststroke"", ""flystroke"", ""jump_side"", ""left_front_kick"", ""left_lunges"", ""left_punches""]"
people,[0]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.1463573738079895,0,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.6735991841662561,1.1801944798208734,validation
1,0.11416550424088573,0,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.6951758330509903,1.1364354827477303,test
11,0.15360715721871337,-40946.861849646535,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.723691988644104,1.059807203175362,validation
11,0.11593517661252038,-40946.861849646535,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.7432746626499411,1.0173314568486502,test
21,0.14732992226617164,-195683.60507603764,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.7904308992928833,1.0841069407665938,validation
21,0.10301571435257202,-195683.60507603764,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.8075422649514409,1.03344583101717,test
31,0.1517846960283526,-219565.34805596754,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.8050435165435237,1.076892756561596,validation
31,0.10503132473406618,-219565.34805596754,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.8268555945954454,1.0233487521966815,test
41,0.12296568089805197,-239049.37642539892,"{'pred': [4, 4, 1, 1, 2, 2, 3, 6, 4, 4, 6, 5, 4, 4, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6041666666666666,0.7751840484766694,1.0621478372244955,validation
41,14736.303288607958,-239049.37642539892,"{'pred': [0, 4, 4, 1, 1, 1, 2, 3, 2, 1, 1, 3, 6, 4, 4, 5, 5, 5, 7, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6931547619047619,0.860788809644915,0.9586445413315512,test
51,0.13007721681059578,-245266.02761155678,"{'pred': [1, 1, 1, 1, 2, 3, 3, 6, 4, 4, 6, 5, 4, 5, 6, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.475,0.7449998865205829,1.1341413897036077,validation
51,0.11671709091423998,-245266.02761155678,"{'pred': [0, 0, 0, 1, 1, 1, 2, 6, 6, 5, 3, 3, 3, 4, 4, 5, 6, 5, 1, 7, 3, 6, 7, 6], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5994047619047619,0.8459378860009862,1.042221404092708,test
61,0.21827941027275927,-249577.0911132697,"{'pred': [1, 1, 1, 1, 2, 2, 3, 6, 4, 4, 6, 5, 1, 1, 6, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.5625,0.8037901416489233,1.0245863157724249,validation
61,0.15946497411861238,-249577.0911132697,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 6, 1, 1, 3, 3, 4, 4, 6, 5, 5, 1, 2, 6, 7, 7, 6], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6773809523809525,0.840594246686438,0.9459526186200264,test
71,0.21059820143316116,-252447.50884904547,"{'pred': [1, 1, 1, 1, 2, 2, 3, 6, 4, 4, 6, 5, 4, 4, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.5833333333333333,0.7618538277626296,1.1352112359697182,validation
71,0.20609098445320043,-252447.50884904547,"{'pred': [0, 0, 0, 1, 1, 1, 2, 6, 6, 4, 4, 3, 3, 4, 4, 5, 5, 5, 4, 0, 3, 7, 7, 6], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6238095238095238,0.8474041727828936,0.9256207383450076,test
81,0.18928576991721524,-254508.74035605387,"{'pred': [1, 1, 1, 4, 2, 2, 3, 6, 4, 4, 6, 4, 4, 1, 6, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.40476190476190477,0.7397273242650825,1.0034201435172994,validation
81,0.130338237773215,-254508.74035605387,"{'pred': [0, 0, 0, 1, 1, 1, 2, 6, 6, 4, 4, 3, 3, 4, 4, 5, 6, 4, 1, 1, 3, 7, 7, 6], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5479166666666667,0.7982570566745952,1.02313008517862,test
91,0.17163662843563018,-255929.3253352316,"{'pred': [1, 1, 1, 4, 2, 2, 7, 6, 4, 4, 6, 1, 4, 1, 2, 6], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.21904761904761905,0.732994062637584,1.09408913879286,validation
91,0.17703648553563783,-255929.3253352316,"{'pred': [0, 0, 0, 1, 1, 1, 2, 6, 3, 1, 1, 3, 3, 4, 4, 5, 5, 5, 0, 2, 3, 7, 7, 6], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6116071428571429,0.8557315914524708,0.9027598246672532,test
101,0.1618726902235021,-256908.37851096122,"{'pred': [1, 1, 1, 4, 2, 2, 3, 6, 4, 4, 6, 1, 1, 1, 2, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.3979166666666667,0.7425247753071128,1.0332467717475917,validation
101,0.169470346799771,-256908.37851096122,"{'pred': [0, 0, 0, 1, 1, 1, 2, 6, 6, 1, 1, 3, 3, 4, 4, 5, 5, 5, 0, 3, 3, 7, 7, 2], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6116071428571429,0.8605814220941655,0.9718891272543142,test
