Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.15
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,15
scoring_method,f1_frechet_ldj:ff
max_iters,100
score_rate,10
input_dim,9
init,kernel pca:rbf
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                 value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |   0.13179400680482758  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                  (9,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                  (9,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.000151370741119829  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,linear geo
geometry,fourier_basis
geo params,3
num_epochs,100
num_acts,8
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.MovementsCMU object at 0x0000022D1E495C70>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""bend_down"", ""soccer_kick"", ""breaststroke"", ""flystroke"", ""jump_side"", ""left_front_kick"", ""left_lunges"", ""left_punches""]"
people,[0]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.20885028139696563,0,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.738978764430457,26.768262287953974,validation
1,0.16186095168904494,0,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.7516222384635304,30.199756580927318,test
11,0.21198541059464585,-170618.5054592559,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.7782822688132637,9.91950956153753,validation
11,0.1672492562429857,-170618.5054592559,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.8085719424915828,100.5090839762096,test
21,0.19562418205737495,-213803.00956819364,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.7647069097368602,5.9782578900617676,validation
21,0.1506065407022102,-213803.00956819364,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.7991751593439832,30.142553624233532,test
31,0.16223087294672944,-227416.39564659196,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.7893327580461373,7.646591301491429,validation
31,0.12328423104887633,-227416.39564659196,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.8025584731353282,4.388798817958451,test
41,37010.80739797528,-254159.1658311012,"{'pred': [0, 0, 1, 7, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.9333333333333333,0.8980994776186846,0.9472803120413786,validation
41,6103.032660394392,-254159.1658311012,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 7, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.9571428571428572,0.9167707416036369,0.911096979030798,test
51,0.2209909725944997,-256343.5332755078,"{'pred': [0, 0, 1, 5, 0, 0, 3, 0, 4, 4, 7, 7, 1, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.5089285714285714,0.7688600005329348,1.3255282423366341,validation
51,0.1755926931125547,-256343.5332755078,"{'pred': [0, 0, 0, 1, 1, 6, 0, 0, 0, 7, 1, 3, 4, 4, 4, 7, 5, 7, 0, 6, 0, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5348484848484848,0.8151211087115426,1.1075864210551891,test
61,0.25700639546523957,-256511.98567724228,"{'pred': [0, 0, 4, 2, 7, 7, 3, 7, 4, 4, 7, 7, 4, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.4305555555555555,0.775796295160391,1.232547222481897,validation
61,0.2230636280155776,-256511.98567724228,"{'pred': [0, 0, 0, 1, 1, 7, 7, 7, 7, 4, 2, 3, 4, 4, 4, 7, 5, 7, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6446428571428572,0.8372838575440459,1.113285175085415,test
71,0.29504688788567124,-256729.42785098244,"{'pred': [0, 0, 1, 2, 7, 7, 3, 7, 4, 4, 7, 7, 1, 7, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.4458333333333333,0.7785455763969378,1.2156237151433553,validation
71,0.24773111607205855,-256729.42785098244,"{'pred': [0, 0, 0, 1, 1, 6, 7, 7, 7, 4, 1, 3, 4, 4, 4, 2, 5, 7, 7, 6, 2, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5586580086580086,0.8212831856937185,1.1123764561255336,test
81,0.20810486853289054,-256922.44582238837,"{'pred': [0, 0, 4, 5, 7, 7, 3, 2, 4, 4, 0, 7, 1, 6, 2, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.4083333333333333,0.7679818327516014,1.376484212809188,validation
81,0.1504454440295208,-256922.44582238837,"{'pred': [0, 0, 0, 1, 1, 6, 7, 7, 7, 4, 1, 3, 4, 4, 4, 2, 5, 2, 2, 6, 2, 7, 7, 2], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5529761904761905,0.7916017518037608,1.385552331317432,test
91,0.15721652886555781,-257037.6279466108,"{'pred': [0, 0, 4, 5, 7, 7, 3, 2, 4, 4, 0, 7, 1, 6, 2, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.4083333333333333,0.7358083527218598,1.6060993437794904,validation
91,0.09406337891629019,-257037.6279466108,"{'pred': [0, 0, 0, 1, 1, 6, 7, 7, 7, 4, 1, 3, 4, 4, 4, 2, 5, 2, 2, 2, 2, 7, 7, 2], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5029761904761905,0.7165415489223964,1.3891440048283081,test
101,0.15547859322215266,-257159.9267098727,"{'pred': [0, 0, 4, 5, 7, 7, 3, 2, 4, 4, 0, 5, 1, 6, 2, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.4791666666666667,0.7862739058428028,1.5668797781316415,validation
101,0.09077230535268581,-257159.9267098727,"{'pred': [0, 0, 0, 1, 1, 2, 6, 7, 6, 4, 1, 3, 4, 4, 4, 2, 5, 2, 2, 2, 2, 7, 7, 2], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5238095238095238,0.7276494746294225,1.3701674824941608,test
