Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.15
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,15
scoring_method,f1_frechet_ldj:ff
max_iters,100
score_rate,10
input_dim,9
init,umap:cosine
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |  0.07171171797965976  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                 (9,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                 (9,)  |      +ve      |        
  [1mbias.variance   [0;0m  |   0.1329379828611984  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,kernel geo
geometry,fourier_basis
geo params,5
num_epochs,100
num_acts,8
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.MovementsCMU object at 0x000001E2830CE660>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""bend_down"", ""soccer_kick"", ""breaststroke"", ""flystroke"", ""jump_side"", ""left_front_kick"", ""left_lunges"", ""left_punches""]"
people,[0]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.13182901782412698,0,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.8196844020692557,1.0636690608760684,validation
1,0.11920431116606318,0,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.8316525122851618,1.0476664996845086,test
11,0.23251427458627288,-46719.58092939737,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.8973112396364561,1.2866291131110743,validation
11,0.2358450912106926,-46719.58092939737,"{'pred': [2, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.9571428571428572,0.9362083197487163,1.4317194567450497,test
21,0.2339610792880451,-71343.16468549194,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.8970891224824682,1.2005174931773603,validation
21,0.21322230548450694,-71343.16468549194,"{'pred': [1, 0, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.90625,0.9523787171106837,1.2232679868187164,test
31,0.22132098719802562,-96249.33733955203,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.9025925014548525,1.1545210583375676,validation
31,0.2029276134046512,-96249.33733955203,"{'pred': [1, 0, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.90625,0.9259262403763444,1.2549914958068138,test
41,0.2505832449828892,-120222.30340320684,"{'pred': [0, 0, 0, 0, 0, 2, 0, 3, 0, 0, 0, 5, 0, 0, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.41346153846153844,0.846722993509477,1.452132068123509,validation
41,1.6810984297637362e+67,-120222.30340320684,"{'pred': [0, 0, 3, 0, 1, 0, 2, 4, 0, 3, 3, 0, 4, 0, 4, 5, 0, 5, 6, 0, 0, 7, 0, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5898809523809524,0.8963377044644463,1.0500518732763706,test
51,5.315988203007423e+123,-142162.94527898778,"{'pred': [0, 0, 1, 1, 4, 0, 0, 0, 0, 4, 5, 0, 6, 6, 7, 0], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.5291666666666666,0.930538825047685,0.9127801057200943,validation
51,19732.445996891158,-142162.94527898778,"{'pred': [7, 0, 0, 1, 0, 0, 0, 0, 0, 3, 3, 0, 0, 7, 0, 5, 0, 5, 0, 6, 0, 7, 7, 0], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.4258403361344538,0.9191704138083493,1.4959390226267235,test
61,2.1873936206306792e+139,-151830.63116387368,"{'pred': [0, 0, 0, 0, 2, 0, 0, 3, 0, 0, 5, 0, 0, 6, 0, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.4551282051282051,0.8680024167446951,0.9606261592365001,validation
61,5.212575073353908e+137,-151830.63116387368,"{'pred': [0, 0, 0, 0, 1, 0, 2, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.45197368421052636,0.8147736890398843,1.1453716869047899,test
71,0.17578371584901578,-156859.31432895095,"{'pred': [0, 0, 1, 5, 2, 2, 3, 3, 4, 4, 5, 5, 6, 0, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.8666666666666667,0.8757461563948435,1.3106880688202993,validation
71,505611.0283458522,-156859.31432895095,"{'pred': [0, 0, 4, 1, 1, 1, 4, 2, 2, 4, 3, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 4, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.8056818181818182,0.9732042579835751,1.3148987255145272,test
81,0.1637557264102966,-159764.4315288313,"{'pred': [2, 0, 1, 4, 2, 2, 3, 3, 4, 4, 0, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.8041666666666667,0.8968822392036038,1.3988279585889098,validation
81,0.11920876591757242,-159764.4315288313,"{'pred': [7, 0, 7, 1, 1, 1, 2, 2, 2, 3, 3, 3, 1, 4, 4, 4, 5, 4, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.7723214285714285,0.9110304070677069,1.657836082498023,test
91,1.2964643244957502e+84,-165085.7344055982,"{'pred': [0, 0, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 6, 0, 0], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.2833333333333333,0.8596511176165539,0.5836632223469504,validation
91,7.378901000841431e+30,-165085.7344055982,"{'pred': [7, 0, 7, 0, 1, 1, 0, 0, 2, 3, 3, 3, 0, 4, 4, 0, 0, 5, 6, 0, 0, 0, 0, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5720238095238096,0.9436794793410757,1.0471062734676249,test
101,0.18434805844002938,-169742.9770656858,"{'pred': [5, 4, 1, 0, 2, 2, 4, 3, 4, 4, 5, 5, 4, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6714285714285714,0.881221185057962,1.3400748261740656,validation
101,0.1778922483481001,-169742.9770656858,"{'pred': [7, 4, 4, 1, 4, 4, 2, 2, 4, 3, 3, 3, 1, 4, 4, 5, 5, 5, 6, 6, 6, 7, 0, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6583333333333333,0.9297665471923955,1.4457853165931813,test
