Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.15
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,15
scoring_method,f1_frechet_ldj:ff
max_iters,100
score_rate,10
input_dim,9
init,umap:cosine
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                  value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |    0.18848080845924411  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                   (9,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                   (9,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.0002704756170263433  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,linear geo
geometry,fourier_basis
geo params,5
num_epochs,100
num_acts,8
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.MovementsCMU object at 0x000002C203E53DD0>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""bend_down"", ""soccer_kick"", ""breaststroke"", ""flystroke"", ""jump_side"", ""left_front_kick"", ""left_lunges"", ""left_punches""]"
people,[0]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.16387942238519945,0,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.7231503779479627,1.6361651899973042,validation
1,0.13748730511847693,0,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.7456581992694394,1.5383663928537636,test
11,0.15451707277155682,-156558.64670753578,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.7674369911983168,1.5520137531997633,validation
11,0.1336425540508678,-156558.64670753578,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.7897087376484763,1.5945383416656818,test
21,0.1611599456863368,-190003.6464374201,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.8089103633831046,1.4160893166096584,validation
21,0.13825038451336238,-190003.6464374201,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.8372550831813633,1.4043462137121663,test
31,0.8110236810101944,-207527.32355319525,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 3, 5, 3, 3, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.7797619047619047,0.8917014135807685,0.9084226659553045,validation
31,0.23559837409579112,-207527.32355319525,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 3, 4, 5, 3, 5, 3, 3, 6, 5, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.7958333333333334,0.9360967494789391,0.8877719910980821,test
41,0.22974970892637234,-215973.37350943824,"{'pred': [0, 0, 1, 1, 2, 2, 3, 1, 4, 4, 1, 5, 1, 1, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.7291666666666666,0.8478664986562469,0.9881695631706503,validation
41,0.1735936114119815,-215973.37350943824,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 1, 7, 1, 1, 6, 3, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.7738095238095237,0.8947859433399801,0.9159946111054453,test
51,0.1913466503413098,-217054.51457707494,"{'pred': [0, 0, 1, 1, 2, 2, 3, 1, 4, 4, 1, 5, 1, 1, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.7291666666666666,0.8305520133351335,1.1681121141173072,validation
51,0.1387573575299559,-217054.51457707494,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 5, 4, 4, 4, 5, 1, 7, 1, 1, 5, 3, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6666666666666666,0.8682952138744898,1.1285967878539418,test
61,0.23846680767227388,-217325.0090322493,"{'pred': [0, 0, 1, 1, 2, 2, 6, 4, 4, 4, 1, 5, 1, 1, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6297619047619047,0.8229049073437577,1.009392291261475,validation
61,0.18997940999417626,-217325.0090322493,"{'pred': [0, 0, 0, 1, 1, 1, 3, 2, 2, 3, 3, 4, 4, 4, 4, 5, 1, 6, 1, 1, 4, 0, 7, 6], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5925595238095238,0.8870867187782733,0.8511824421895106,test
71,0.24406546477262314,-217551.3288451517,"{'pred': [7, 0, 1, 3, 2, 2, 6, 3, 4, 4, 4, 5, 4, 4, 6, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.5714285714285714,0.7958157579265814,1.4077255284598742,validation
71,0.17492943476266717,-217551.3288451517,"{'pred': [0, 0, 0, 1, 1, 2, 2, 2, 2, 3, 3, 3, 0, 4, 0, 5, 4, 6, 4, 1, 4, 0, 7, 6], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5595238095238095,0.9372430643621618,1.3003426363434036,test
81,0.18521287504133965,-218108.66794369015,"{'pred': [2, 0, 4, 3, 2, 2, 2, 3, 4, 4, 5, 5, 5, 5, 7, 2], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.48392857142857143,0.8405547326756087,1.0203718489332363,validation
81,0.12615603049923718,-218108.66794369015,"{'pred': [7, 7, 0, 1, 1, 2, 4, 2, 2, 6, 2, 2, 4, 4, 4, 5, 1, 5, 5, 5, 2, 0, 7, 6], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.4091269841269842,0.8398876747472651,1.0385323506473816,test
91,0.19371683202954548,-218376.24359795364,"{'pred': [7, 0, 0, 3, 2, 2, 2, 5, 4, 4, 5, 5, 1, 5, 7, 2], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.41666666666666663,0.8262857545994988,1.0402685038961352,validation
91,0.1419979589992761,-218376.24359795364,"{'pred': [0, 7, 0, 1, 1, 2, 4, 2, 2, 6, 2, 2, 4, 4, 4, 5, 1, 5, 5, 5, 2, 3, 7, 6], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.4674603174603174,0.8293490979625217,1.0843307247616802,test
101,0.19431902090340358,-218639.8058326557,"{'pred': [2, 0, 4, 3, 2, 2, 2, 5, 4, 4, 5, 5, 1, 5, 6, 2], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.3380952380952381,0.8246390606356343,1.452357961576603,validation
101,0.14077892036485873,-218639.8058326557,"{'pred': [0, 0, 0, 1, 1, 2, 4, 2, 2, 6, 2, 2, 4, 4, 4, 5, 1, 5, 5, 5, 2, 3, 7, 6], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5049603174603174,0.8267792455602583,1.1186430170807176,test
