Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.15
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,15
scoring_method,f1_frechet_ldj:ff
max_iters,100
score_rate,10
input_dim,9
init,umap:euclidean
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                  value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |     0.1769688730363371  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                   (9,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                   (9,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.0005644226080592957  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,linear geo
geometry,cocentric_circles
geo params,
num_epochs,100
num_acts,8
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.MovementsCMU object at 0x00000256FD4106B0>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""bend_down"", ""soccer_kick"", ""breaststroke"", ""flystroke"", ""jump_side"", ""left_front_kick"", ""left_lunges"", ""left_punches""]"
people,[0]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.20632310517764468,0,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.7070126440932203,3.0870755846429194,validation
1,0.1758946796469969,0,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.7251419142596173,2.091368762783127,test
11,0.17741106666885664,-191499.41321854285,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.9255289461988139,1.5820694888547313,validation
11,0.15451824150612195,-191499.41321854285,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.9519456615771388,1.4450608151691349,test
21,0.1772002729469572,-207739.49842781786,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.8158934634029305,1.370345972611069,validation
21,0.16399381286968578,-207739.49842781786,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.8341130868072234,2.1953178996925753,test
31,13.177768786222517,-223868.85428062407,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 5, 4, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.825,0.9014770251478954,1.2205544313435308,validation
31,2.6480287826287863,-223868.85428062407,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 7, 4, 4, 7, 2, 7, 6, 1, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.7476190476190476,0.9080748962974201,1.2216687537965085,test
41,286.72396038949233,-224866.5968751838,"{'pred': [0, 0, 1, 6, 2, 2, 3, 2, 4, 4, 5, 5, 4, 4, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.725,0.8722045109012403,0.960676011942898,validation
41,13.015069501197635,-224866.5968751838,"{'pred': [0, 1, 0, 1, 1, 2, 2, 2, 2, 7, 3, 3, 2, 4, 4, 2, 2, 2, 6, 3, 6, 7, 7, 2], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6125,0.9528043591280385,0.8155959948243289,test
51,0.5437055472062063,-225460.89227427042,"{'pred': [0, 0, 1, 3, 2, 2, 3, 0, 4, 4, 5, 5, 4, 1, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.7,0.9204970539097695,1.0421160165753098,validation
51,0.8353618139710555,-225460.89227427042,"{'pred': [0, 7, 0, 1, 1, 6, 2, 2, 2, 3, 3, 3, 6, 4, 4, 6, 5, 5, 6, 1, 6, 7, 7, 6], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.7722222222222221,0.9905681829463483,1.003122133852806,test
61,0.3305725948184628,-225728.3534264123,"{'pred': [0, 0, 1, 3, 2, 2, 3, 2, 4, 4, 5, 5, 4, 5, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6958333333333333,0.9141910242948127,0.9290226939940865,validation
61,0.2051677482016312,-225728.3534264123,"{'pred': [0, 7, 0, 1, 1, 3, 2, 2, 2, 3, 3, 3, 3, 4, 4, 5, 6, 6, 6, 3, 3, 7, 7, 6], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6815476190476192,0.9207812599128643,1.1276172451687467,test
71,0.2705740218362917,-226271.7419990755,"{'pred': [0, 0, 1, 3, 2, 2, 3, 2, 4, 4, 5, 5, 1, 1, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.7125,0.8671377941895054,0.9590877554698419,validation
71,0.16268964409791598,-226271.7419990755,"{'pred': [0, 2, 0, 1, 1, 3, 2, 2, 2, 5, 4, 3, 3, 4, 4, 5, 6, 6, 6, 3, 3, 7, 7, 6], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6074404761904763,0.8639809464964641,1.0957586707257159,test
81,0.26380886387691654,-226520.8874495418,"{'pred': [0, 0, 1, 3, 2, 2, 3, 2, 4, 4, 5, 5, 1, 1, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.7125,0.9071865556085256,0.9899715972298176,validation
81,0.14170702715945702,-226520.8874495418,"{'pred': [0, 3, 0, 1, 1, 3, 2, 2, 2, 1, 4, 3, 3, 4, 4, 5, 6, 6, 6, 3, 3, 7, 7, 6], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6176587301587302,0.9023351954602067,1.0469347309576107,test
91,0.2249565194900769,-226611.6006954069,"{'pred': [0, 0, 1, 3, 2, 2, 3, 2, 4, 4, 5, 5, 4, 1, 6, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6583333333333333,0.9057452795516443,1.0732046686216106,validation
91,0.12125712227303069,-226611.6006954069,"{'pred': [0, 3, 0, 1, 1, 3, 2, 2, 2, 1, 4, 3, 3, 4, 4, 3, 6, 6, 6, 3, 3, 7, 7, 6], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5523809523809524,0.8581659001888027,1.1439482566561585,test
101,0.2331171215310622,-226710.04463486176,"{'pred': [0, 0, 1, 7, 2, 2, 6, 2, 4, 4, 5, 5, 1, 1, 6, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.5875,0.8865453522680244,1.056675651021769,validation
101,0.11917318773109276,-226710.04463486176,"{'pred': [0, 2, 0, 1, 1, 3, 2, 2, 2, 1, 4, 3, 3, 4, 4, 3, 6, 6, 6, 3, 6, 7, 7, 6], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5675595238095238,0.8643161483580232,1.1133609823697344,test
