Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.15
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,15
scoring_method,f1_frechet_ldj:ff
max_iters,100
score_rate,10
input_dim,9
init,umap:euclidean
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                 value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |    0.1905300197567219  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                  (9,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                  (9,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.000797941531638385  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,linear geo
geometry,fourier_basis
geo params,5
num_epochs,100
num_acts,8
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.MovementsCMU object at 0x000001DAA6B8ADB0>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""bend_down"", ""soccer_kick"", ""breaststroke"", ""flystroke"", ""jump_side"", ""left_front_kick"", ""left_lunges"", ""left_punches""]"
people,[0]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.1608345506179753,0,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.7479419785588289,6.06927040477346,validation
1,0.15690541424161425,0,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.7652899794556265,5.256772736887257,test
11,0.1648426865375893,-164022.11713553147,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.7637382929424424,4.315752768925965,validation
11,0.15857180558119457,-164022.11713553147,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.7822709630490029,3.163755510054218,test
21,0.16808021485137667,-153634.43989293792,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.7994553162713991,3.0451273814260373,validation
21,0.1649911193762985,-153634.43989293792,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.8188439347745442,2.0954444355347923,test
31,0.17615707340761272,-215699.61298680597,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.8396511619762461,1.825835394288065,validation
31,0.16072455638275865,-215699.61298680597,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.8437492972838107,1.445198000150094,test
41,0.1355621011505125,-230010.2037093713,"{'pred': [5, 0, 1, 1, 2, 2, 5, 3, 4, 4, 5, 5, 1, 1, 7, 1], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6547619047619047,0.8472162953976831,1.0974749385161418,validation
41,0.12734210544778632,-230010.2037093713,"{'pred': [0, 0, 0, 1, 5, 1, 2, 2, 2, 3, 5, 5, 4, 4, 4, 5, 5, 5, 1, 5, 1, 1, 1, 5], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5612373737373737,0.8594869367130306,1.0161661675445257,test
51,0.1590824168904262,-230929.50351560704,"{'pred': [1, 0, 1, 4, 7, 2, 1, 7, 4, 4, 3, 1, 6, 6, 5, 4], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.41666666666666663,0.8124406012988954,0.90316969383233,validation
51,0.16181967119889443,-230929.50351560704,"{'pred': [0, 0, 0, 1, 1, 1, 4, 2, 4, 5, 1, 1, 4, 4, 4, 3, 1, 1, 5, 6, 6, 4, 1, 1], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.43333333333333335,0.7963426756257937,1.0163022795066725,test
61,1.9564386190795346,-231221.87034250598,"{'pred': [0, 0, 1, 1, 2, 2, 5, 7, 4, 4, 2, 1, 0, 1, 7, 4], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.4458333333333333,0.8512696584207498,0.9463535939065015,validation
61,0.13435875517526197,-231221.87034250598,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 5, 1, 1, 4, 4, 4, 2, 2, 1, 4, 1, 1, 4, 1, 1], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.3701923076923077,0.785985944915064,0.9358557690354283,test
71,1.2508211161246583,-231525.50923117204,"{'pred': [0, 0, 2, 7, 5, 2, 5, 7, 4, 4, 2, 1, 2, 1, 7, 4], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.31666666666666665,0.8069295287322961,0.9135567946001605,validation
71,0.17083033003765574,-231525.50923117204,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 5, 1, 1, 2, 4, 4, 2, 5, 1, 5, 6, 5, 3, 3, 1], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.4919642857142857,0.8448387846299023,1.1887008271079604,test
81,0.13725773907957467,-231826.5436049623,"{'pred': [0, 0, 2, 7, 5, 2, 5, 7, 4, 4, 2, 1, 5, 5, 5, 2], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.29166666666666663,0.7465170909730355,1.275879985332915,validation
81,0.19103772199550498,-231826.5436049623,"{'pred': [0, 0, 0, 5, 1, 1, 2, 2, 2, 5, 1, 1, 4, 4, 4, 2, 5, 5, 5, 6, 5, 7, 2, 3], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.595734126984127,0.841874217928705,1.1289494607259722,test
91,0.14293948027324696,-231904.74858601112,"{'pred': [0, 0, 2, 7, 5, 2, 5, 7, 4, 4, 2, 1, 5, 5, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.3833333333333333,0.7066888794731906,1.2627001337884092,validation
91,0.1771342453751701,-231904.74858601112,"{'pred': [0, 1, 0, 1, 1, 1, 2, 2, 2, 5, 1, 1, 7, 4, 4, 2, 5, 5, 5, 6, 5, 7, 2, 3], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5520833333333334,0.8700939782013252,1.0568617230864095,test
101,0.15494850339945532,-231932.65765028217,"{'pred': [0, 0, 2, 7, 5, 2, 5, 7, 4, 4, 5, 1, 5, 5, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.431547619047619,0.747810363467995,1.2739098350732905,validation
101,0.18129711337079854,-231932.65765028217,"{'pred': [0, 1, 0, 1, 1, 1, 2, 2, 2, 5, 1, 1, 7, 4, 4, 5, 5, 5, 5, 6, 5, 7, 2, 3], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5863095238095238,0.8861581412053562,1.061639520875651,test
