Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.4
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,40
scoring_method,f1_frechet_ldj:ff
score_rate,10
input_dim,15
init,isomap:15
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |  0.22551914995749056  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                (15,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                (15,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.06341340069108092  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,map geo
geometry,spiral
num_epochs,100
num_acts,5
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.Bimanual3D object at 0x000002EC4777BBF0>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""box_lift"", ""box_turn_cw_forward"", ""box_lateral_left"", ""bread_cutting_right"", ""jar_opening_right_open""]"
people,[1]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.22009874780338512,0,"{'pred': [3, 1, 4, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.7155555555555556,1.0322335234601274,1.7704902272124121,validation
1,0.2596810448029451,0,"{'pred': [1, 3, 4, 1, 2, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.712121212121212,1.0199507009434092,1.7342207217538774,test
11,0.17147129277770407,14857.671525390728,"{'pred': [4, 3, 2, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.711111111111111,1.0014807356372624,1.4973288625545864,validation
11,0.1805561361710747,14857.671525390728,"{'pred': [1, 2, 4, 1, 4, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.7151515151515152,1.0042774252249422,1.4125625717266461,test
21,0.14601817356126082,-4801.3182962917435,"{'pred': [4, 3, 2, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.711111111111111,0.9748384373347425,1.5175330454964444,validation
21,0.16644129514808134,-4801.3182962917435,"{'pred': [1, 2, 3, 1, 4, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.712121212121212,0.9662321247483725,1.4358583037862,test
31,0.1479769880923898,-20646.222280638405,"{'pred': [3, 3, 2, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.7155555555555555,0.9482091090346212,1.487681691231528,validation
31,0.16954765160456606,-20646.222280638405,"{'pred': [2, 2, 3, 1, 3, 1, 0, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.6933333333333335,0.9482431514127628,1.3430262707361535,test
41,0.15307074337548504,-34249.12863119547,"{'pred': [3, 3, 3, 4, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.7232323232323232,0.9374592350651105,1.376314951323313,validation
41,0.18382133631031933,-34249.12863119547,"{'pred': [2, 4, 3, 1, 3, 1, 0, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.6903030303030303,0.9357787914939223,1.32895727077673,test
51,0.17443327811638357,-43877.34006073935,"{'pred': [3, 3, 3, 1, 1, 1, 2, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.6325396825396825,0.9268927526048472,1.5607238669633305,validation
51,0.18437503330678248,-43877.34006073935,"{'pred': [0, 4, 3, 1, 3, 1, 0, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 3, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.6933333333333332,0.9347450614328076,1.4470900845222348,test
61,0.19674216674600917,-49220.090243343875,"{'pred': [3, 3, 3, 3, 1, 1, 1, 1, 2, 1, 2, 2, 3, 3, 3, 3, 3, 3, 4, 3], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.5358730158730158,0.9169326378851647,1.8046667035840676,validation
61,0.20075154604760467,-49220.090243343875,"{'pred': [0, 4, 3, 1, 0, 1, 0, 1, 1, 1, 4, 2, 1, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 3, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.6693006993006994,0.935492637960697,1.474430361343016,test
71,0.2226928033694006,-52920.976688200986,"{'pred': [3, 3, 3, 0, 1, 1, 1, 1, 2, 3, 1, 2, 3, 3, 3, 3, 3, 3, 1, 3], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.48,0.9193300836951753,1.7142219474939155,validation
71,0.19148103847413186,-52920.976688200986,"{'pred': [0, 3, 0, 1, 0, 1, 0, 1, 1, 1, 4, 2, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.6716450216450215,0.9329295121199825,1.4205707128024314,test
81,0.22229019915221798,-54809.546348150034,"{'pred': [3, 3, 3, 0, 1, 1, 1, 1, 2, 3, 1, 2, 3, 3, 3, 3, 3, 3, 1, 3], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.48,0.9169482238231484,1.5987700151844926,validation
81,0.19703587395699956,-54809.546348150034,"{'pred': [0, 3, 0, 3, 0, 1, 0, 1, 1, 1, 1, 2, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.6204545454545454,0.9334803450919144,1.5147785799653808,test
91,0.2227105644134447,-56490.60010491907,"{'pred': [3, 3, 3, 0, 1, 1, 1, 1, 2, 3, 3, 2, 3, 3, 3, 3, 3, 3, 1, 3], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.49111111111111105,0.9181972514466274,1.5444068452293627,validation
91,0.19737684703285224,-56490.60010491907,"{'pred': [0, 3, 0, 3, 0, 1, 0, 1, 1, 1, 1, 2, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.6204545454545454,0.9300760180772742,1.3913857543504693,test
101,0.22888354172068043,-57188.660703882466,"{'pred': [3, 3, 0, 0, 1, 1, 1, 1, 2, 3, 3, 2, 3, 3, 3, 3, 3, 3, 1, 3], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.551111111111111,0.9222413578478289,1.5000451860804371,validation
101,0.2000812048890591,-57188.660703882466,"{'pred': [0, 3, 0, 3, 0, 1, 0, 1, 1, 1, 1, 2, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.6204545454545454,0.9310203659502965,1.3764145246707906,test
