Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.4
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,40
scoring_method,f1_frechet_ldj:ff
score_rate,10
input_dim,15
init,umap:euclidean
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |  0.15578282562467924  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                (15,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                (15,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.14496710298654922  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,map geo
geometry,torus
num_epochs,100
num_acts,5
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.Bimanual3D object at 0x0000016DA3EF4230>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""box_lift"", ""box_turn_cw_forward"", ""box_lateral_left"", ""bread_cutting_right"", ""jar_opening_right_open""]"
people,[1]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.16973110321284104,0,"{'pred': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",1.0,1.1523899346918753,1.6063915223425362,validation
1,0.15752280775993166,0,"{'pred': [0, 4, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.8627705627705629,1.1485647685378817,1.6973944256651508,test
11,0.20150553792266165,-6816.0963854036145,"{'pred': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",1.0,1.1954623102616277,1.6404258364279216,validation
11,0.14930573917862117,-6816.0963854036145,"{'pred': [0, 2, 0, 1, 4, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 2, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.8223665223665225,1.1675806778626874,1.6651326364823527,test
21,0.21642202542035838,-37664.95559122109,"{'pred': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 2, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.9492063492063492,1.1263244813209314,1.5500534307016351,validation
21,0.16841739343655399,-37664.95559122109,"{'pred': [0, 2, 0, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 4, 3, 2, 2, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.7350649350649351,1.142630886655253,1.6148775839525447,test
31,0.21426545746691134,-48433.23531946184,"{'pred': [0, 0, 3, 0, 1, 1, 1, 1, 2, 1, 2, 2, 3, 2, 3, 3, 4, 1, 4, 1], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.7502164502164501,1.1302923001527962,1.6879304310129306,validation
31,0.18013035526473706,-48433.23531946184,"{'pred': [0, 2, 0, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 4, 3, 3, 2, 2, 4, 1, 1, 1, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.5535714285714286,1.1214311964716972,1.6973594775806564,test
41,0.1866305827592195,-55919.18037738773,"{'pred': [0, 0, 3, 2, 1, 1, 1, 1, 2, 1, 2, 2, 3, 2, 3, 3, 4, 1, 4, 1], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.6954545454545454,1.1013171791743002,1.5025486447929315,validation
41,0.1432148759091485,-55919.18037738773,"{'pred': [3, 4, 0, 2, 1, 1, 1, 1, 3, 1, 0, 1, 1, 1, 4, 1, 2, 1, 1, 3, 4, 4, 1, 1, 1], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.2802422723475355,1.080707410544938,1.2467833198359297,test
51,0.1794068588793972,-60541.023914532285,"{'pred': [0, 0, 3, 2, 1, 1, 1, 1, 2, 2, 1, 2, 3, 2, 3, 3, 1, 1, 4, 1], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.63,1.0903571687731484,1.3920090745700953,validation
51,0.1755186634881545,-60541.023914532285,"{'pred': [3, 4, 0, 3, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 3, 4, 3, 3, 2, 3, 1, 1, 1, 1, 1], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.3126984126984127,1.1173199752868468,1.2998622321145714,test
61,0.20908907227353205,-63946.688649299984,"{'pred': [0, 0, 3, 2, 1, 1, 3, 1, 1, 1, 1, 2, 3, 2, 3, 3, 1, 1, 3, 1], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.4027838827838828,1.089855364528219,1.4961081713906728,validation
61,0.2414616504742267,-63946.688649299984,"{'pred': [2, 2, 0, 1, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 4, 1, 1, 1, 1], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.2878787878787879,1.1101529995314763,2.3935801952367854,test
71,0.1838971815092272,-66852.69556825433,"{'pred': [3, 0, 3, 2, 1, 1, 3, 1, 1, 1, 1, 2, 0, 2, 3, 3, 1, 1, 3, 1], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.29611721611721614,1.0611608178035061,1.4703148891978552,validation
71,0.19300685082249228,-66852.69556825433,"{'pred': [2, 4, 3, 1, 1, 1, 2, 1, 3, 1, 1, 4, 1, 1, 1, 1, 2, 3, 3, 3, 1, 1, 1, 1, 1], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.18,1.0873071673968489,1.033451517189177,test
81,0.1417271550281623,-69153.96353729778,"{'pred': [3, 0, 3, 2, 1, 1, 1, 1, 1, 2, 1, 2, 0, 1, 3, 1, 1, 1, 3, 1], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.3376190476190476,1.0789622309827616,1.4523778423367089,validation
81,0.20099515824006375,-69153.96353729778,"{'pred': [2, 4, 3, 1, 3, 1, 2, 1, 3, 1, 1, 1, 1, 1, 3, 0, 3, 1, 3, 3, 1, 1, 3, 1, 1], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.15897435897435896,1.0762623414241062,1.0087984929470653,test
91,0.20040698628956571,-71116.13787405602,"{'pred': [3, 0, 3, 0, 1, 1, 3, 1, 1, 2, 1, 2, 0, 2, 3, 1, 1, 1, 3, 1], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.36532356532356525,1.1422888332116166,1.5980814413689006,validation
91,0.1626007718903588,-71116.13787405602,"{'pred': [2, 4, 3, 1, 3, 1, 2, 3, 3, 1, 1, 3, 1, 3, 3, 0, 3, 1, 1, 0, 1, 1, 3, 1, 1], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.07857142857142857,1.0643421149595438,0.9862640373606887,test
101,0.17931555376065805,-72973.49879377824,"{'pred': [3, 0, 3, 2, 3, 1, 1, 1, 1, 2, 1, 3, 0, 2, 3, 2, 1, 3, 3, 1], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.2621212121212121,1.1255126670146887,1.611381165501008,validation
101,0.268039721980432,-72973.49879377824,"{'pred': [2, 4, 3, 1, 3, 1, 3, 3, 3, 3, 1, 1, 1, 3, 3, 0, 3, 3, 1, 0, 1, 1, 3, 1, 1], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.07666666666666666,1.1066705377445019,0.9707939114700902,test
