Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.15
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,15
scoring_method,f1_frechet_ldj:ff
score_rate,10
input_dim,9
init,isomap:15
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |  0.09288553277305135  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                 (9,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                 (9,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.11957255990158529  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,map geo
geometry,torus
num_epochs,100
num_acts,8
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.MovementsCMU object at 0x000001F7ECE77F50>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""bend_down"", ""soccer_kick"", ""breaststroke"", ""flystroke"", ""jump_side"", ""left_front_kick"", ""left_lunges"", ""left_punches""]"
people,[0]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.24414265509633645,0,"{'pred': [2, 2, 6, 2, 4, 4, 3, 4, 5, 6, 7, 5, 4, 6, 2, 6], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.1875,1.0700763119428027,1.6308191899550664,validation
1,0.1559164737610529,0,"{'pred': [2, 0, 0, 2, 1, 1, 4, 4, 4, 4, 6, 4, 6, 5, 6, 7, 5, 5, 4, 4, 4, 6, 6, 4], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.2833333333333334,1.043448658663629,1.5415634849067443,test
11,0.15640078438637126,4711.482621684809,"{'pred': [0, 0, 6, 6, 4, 4, 3, 4, 5, 6, 7, 5, 6, 6, 4, 6], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.3333333333333333,0.960093534874142,1.1270423341237805,validation
11,0.07178964006537435,4711.482621684809,"{'pred': [0, 0, 0, 2, 1, 1, 4, 4, 4, 4, 6, 4, 5, 6, 5, 7, 6, 2, 4, 4, 4, 4, 6, 4], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.225,0.9422287661541386,1.0589274719088775,test
21,0.1481258924168168,-99598.30046585793,"{'pred': [0, 0, 6, 6, 4, 4, 4, 3, 6, 6, 7, 5, 6, 6, 4, 4], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.35416666666666663,1.0195639910384613,1.1349367230159657,validation
21,0.08058443244565727,-99598.30046585793,"{'pred': [0, 0, 0, 2, 1, 2, 4, 4, 4, 6, 7, 4, 6, 5, 6, 7, 7, 2, 4, 4, 4, 4, 6, 4], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.1875,1.0059880795464677,1.0730623147884162,test
31,0.14764438298545327,-106919.47215007362,"{'pred': [0, 0, 6, 6, 4, 4, 4, 3, 5, 6, 7, 5, 4, 6, 4, 4], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.3125,1.0047987471740085,1.1653845455887244,validation
31,0.08301920452024836,-106919.47215007362,"{'pred': [0, 0, 0, 4, 1, 6, 4, 4, 4, 6, 7, 4, 6, 6, 6, 7, 7, 2, 4, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.1875,1.019915062241959,1.062816357526482,test
41,0.14340261148768121,-110469.48284559284,"{'pred': [0, 0, 6, 6, 4, 4, 4, 3, 5, 6, 7, 5, 4, 6, 4, 4], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.3125,0.9919896238414058,1.139155453896345,validation
41,0.08266040892383522,-110469.48284559284,"{'pred': [0, 0, 0, 4, 1, 2, 4, 4, 4, 6, 7, 4, 6, 6, 6, 7, 7, 2, 4, 4, 4, 4, 6, 4], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.1875,1.016194744012759,1.0509578198657974,test
51,0.1497126859222472,-114136.99135725148,"{'pred': [0, 0, 6, 6, 4, 4, 4, 3, 5, 6, 7, 5, 4, 6, 4, 4], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.3125,1.002134171298072,1.1498753442597196,validation
51,0.08292929759398465,-114136.99135725148,"{'pred': [0, 0, 0, 4, 1, 2, 4, 4, 4, 6, 7, 4, 7, 6, 6, 7, 7, 2, 4, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.1875,1.00816139135953,1.0437529768299172,test
61,0.1481472869987662,-116668.25370451005,"{'pred': [0, 0, 6, 6, 7, 4, 4, 3, 5, 6, 7, 5, 4, 6, 4, 4], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.3125,0.9838396375243044,1.131673058590366,validation
61,0.07399840256892191,-116668.25370451005,"{'pred': [0, 0, 0, 4, 1, 1, 4, 4, 4, 6, 0, 4, 7, 6, 6, 7, 7, 2, 4, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.20714285714285716,0.9959303158922467,1.015914663788744,test
71,0.14343251471298815,-118629.39565997751,"{'pred': [0, 0, 6, 6, 4, 4, 4, 3, 6, 6, 7, 5, 4, 6, 4, 4], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.32738095238095233,0.9795780087052334,1.1194215926642246,validation
71,0.07422568573311202,-118629.39565997751,"{'pred': [0, 0, 0, 4, 1, 1, 4, 4, 4, 6, 0, 4, 7, 5, 6, 7, 7, 2, 4, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.20714285714285716,0.9974122412085503,1.0149536916408404,test
81,0.14821724198660183,-120417.39463897698,"{'pred': [0, 0, 6, 6, 7, 4, 4, 3, 5, 6, 7, 5, 4, 6, 5, 4], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.3,0.9919282402774552,1.137079085092172,validation
81,0.0736315072765013,-120417.39463897698,"{'pred': [0, 0, 0, 4, 1, 1, 4, 4, 4, 6, 7, 4, 7, 5, 6, 7, 7, 2, 4, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.225,0.991845025794672,1.01032902160549,test
91,0.13053715062593674,-121981.3288970232,"{'pred': [0, 2, 6, 6, 7, 4, 4, 3, 5, 6, 7, 5, 4, 6, 4, 4], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.2708333333333333,0.9924584472559302,1.1298313461644356,validation
91,0.08142613493234142,-121981.3288970232,"{'pred': [0, 0, 0, 4, 1, 2, 4, 4, 4, 4, 0, 4, 6, 5, 6, 7, 6, 2, 4, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.16964285714285712,0.9980500604935347,1.028649442602827,test
101,0.14271260647472137,-123431.6894784669,"{'pred': [0, 0, 6, 6, 7, 4, 3, 3, 5, 6, 7, 5, 4, 6, 4, 4], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.35416666666666663,0.9697948427658339,1.1155932090916303,validation
101,0.07364090732946646,-123431.6894784669,"{'pred': [0, 0, 0, 2, 1, 1, 4, 4, 4, 6, 0, 4, 0, 5, 6, 7, 6, 2, 4, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.19375,0.9918092672872095,1.0043743734926758,test
