Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.15
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,15
scoring_method,f1_frechet_ldj:ff
max_iters,100
score_rate,10
input_dim,9
init,kernel pca:rbf
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |   0.3387502603047705  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                 (9,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                 (9,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.14355707633408196  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,map geo
geometry,fourier_basis
geo params,8
num_epochs,100
num_acts,8
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.MovementsCMU object at 0x000001EA621507D0>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""bend_down"", ""soccer_kick"", ""breaststroke"", ""flystroke"", ""jump_side"", ""left_front_kick"", ""left_lunges"", ""left_punches""]"
people,[0]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.35078541214333847,0,"{'pred': [0, 0, 6, 6, 2, 2, 2, 3, 4, 4, 7, 7, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6,0.8335054397825566,1.0940694657495973,validation
1,0.2148302691508088,0,"{'pred': [0, 0, 0, 6, 6, 6, 2, 2, 2, 2, 2, 2, 4, 4, 4, 7, 7, 7, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5,0.8449622648581309,1.023580066044253,test
11,0.25365094322495396,35888.70290148634,"{'pred': [0, 0, 6, 6, 2, 2, 2, 2, 4, 4, 7, 7, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.49999999999999994,1.0802916289162803,0.8922958990434783,validation
11,0.14736840091166556,35888.70290148634,"{'pred': [0, 0, 0, 6, 6, 6, 2, 2, 2, 2, 2, 2, 4, 4, 4, 7, 7, 7, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5,1.0996066083064315,0.9153043014121567,test
21,0.21453516688822688,-39560.46558299806,"{'pred': [0, 0, 6, 6, 2, 2, 2, 2, 4, 4, 7, 7, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.49999999999999994,1.0367865933713296,0.9241052914786604,validation
21,0.14315957605388982,-39560.46558299806,"{'pred': [0, 0, 0, 6, 6, 6, 2, 2, 2, 2, 2, 2, 4, 4, 4, 7, 7, 7, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5,1.0642253694509856,0.9419512972304389,test
31,0.20002488141160035,-76238.2283542309,"{'pred': [0, 0, 6, 6, 2, 2, 2, 2, 4, 4, 7, 7, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.49999999999999994,1.0326173103475582,0.9183680161700062,validation
31,0.13940699338795087,-76238.2283542309,"{'pred': [0, 0, 0, 6, 0, 6, 2, 2, 2, 2, 2, 2, 4, 4, 4, 7, 7, 7, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.4925595238095238,1.0611923830287322,0.9373921104860343,test
41,0.20678110472176905,-89685.35505678877,"{'pred': [0, 0, 6, 6, 2, 2, 2, 2, 4, 4, 7, 7, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.49999999999999994,1.0251001647239097,0.8798590775852553,validation
41,0.14098549363351534,-89685.35505678877,"{'pred': [0, 0, 0, 6, 6, 6, 2, 2, 2, 2, 2, 2, 4, 4, 4, 7, 7, 7, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5,1.0536833263790384,0.9014952899891107,test
51,0.20814404519139926,-95613.59971258271,"{'pred': [0, 0, 6, 6, 2, 2, 2, 2, 4, 4, 7, 7, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.49999999999999994,1.0241193317016188,0.8706934453748634,validation
51,0.1409854876127173,-95613.59971258271,"{'pred': [0, 0, 0, 6, 6, 6, 2, 2, 2, 2, 2, 2, 4, 4, 4, 7, 7, 7, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5,1.0534875525248077,0.8839243341445983,test
61,0.20686498820551388,-98850.79257783541,"{'pred': [0, 0, 6, 6, 2, 2, 2, 2, 4, 4, 7, 7, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.49999999999999994,1.0166387113772974,0.8813482138099434,validation
61,0.14250980148983808,-98850.79257783541,"{'pred': [0, 0, 0, 6, 6, 6, 2, 2, 2, 2, 2, 2, 4, 4, 4, 7, 7, 7, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5,1.0456406293062974,0.885655815381578,test
71,0.2014354529451651,-101798.16751325101,"{'pred': [0, 0, 6, 6, 2, 2, 2, 2, 4, 4, 7, 7, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.49999999999999994,1.0191392849215004,0.873519548141568,validation
71,0.14279959645075913,-101798.16751325101,"{'pred': [0, 0, 0, 6, 6, 6, 2, 2, 2, 2, 2, 2, 4, 4, 4, 7, 7, 7, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5,1.0477571639800185,0.8856581073549619,test
81,0.2055248606389591,-104137.44460661999,"{'pred': [0, 0, 6, 6, 2, 2, 2, 2, 4, 4, 7, 7, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.49999999999999994,1.020053506128326,0.8835391138052276,validation
81,0.14123126251676035,-104137.44460661999,"{'pred': [0, 0, 0, 6, 6, 0, 2, 2, 2, 2, 2, 2, 4, 4, 4, 7, 7, 7, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.4925595238095238,1.0490450899470734,0.8965729182114296,test
91,0.20532323831292648,-106760.16534610328,"{'pred': [0, 0, 6, 6, 2, 2, 2, 2, 4, 4, 7, 7, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.49999999999999994,1.013159374125091,0.8756897790278778,validation
91,0.14160141641905638,-106760.16534610328,"{'pred': [0, 0, 0, 6, 6, 0, 2, 2, 2, 2, 2, 2, 4, 4, 4, 7, 7, 7, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.4925595238095238,1.0430204421230047,0.8970962822212207,test
101,0.20623231305189593,-109208.38717776434,"{'pred': [0, 0, 6, 6, 2, 2, 2, 2, 4, 4, 7, 7, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.49999999999999994,1.0121665616538944,0.8707913248451769,validation
101,0.14176340842914747,-109208.38717776434,"{'pred': [0, 0, 0, 6, 6, 0, 2, 2, 2, 2, 2, 2, 4, 4, 4, 7, 7, 7, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.4925595238095238,1.0414600723153282,0.8975967774684884,test
