Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.15
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,15
scoring_method,f1_frechet_ldj:ff
max_iters,100
score_rate,10
input_dim,9
init,umap:euclidean
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |   0.0946547016453822  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                 (9,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                 (9,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.13315954082567166  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,map geo
geometry,fourier_basis
geo params,7
num_epochs,100
num_acts,8
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.MovementsCMU object at 0x000001EA01B57830>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""bend_down"", ""soccer_kick"", ""breaststroke"", ""flystroke"", ""jump_side"", ""left_front_kick"", ""left_lunges"", ""left_punches""]"
people,[0]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.17264556326694788,0,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.8571121809661711,1.1987666725698103,validation
1,0.1322029262351365,0,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.8817352801163586,1.0778559662647174,test
11,0.15321328286188385,-87506.51243386317,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 2, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.9333333333333333,0.847445888682815,0.9899761898632669,validation
11,0.12291304702912163,-87506.51243386317,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.9571428571428572,0.8656435796591311,0.9614306394123856,test
21,0.15312190628128544,-135627.71920515635,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 2, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.9333333333333333,0.83644606471735,0.9929668097888357,validation
21,0.12019797298647948,-135627.71920515635,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 2, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.9017857142857143,0.8487654723933072,0.9595128459336731,test
31,0.15266647295332889,-145833.86107841315,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 2, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.9333333333333333,0.8307025462087625,0.9817510201122278,validation
31,0.11986010802849875,-145833.86107841315,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 2, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.9017857142857143,0.8436050905983241,0.9555976178362043,test
41,0.14339012617845093,-151125.89487751017,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 2, 2, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.8333333333333333,0.8263214787554783,0.9552749757103688,validation
41,0.12025765495744846,-151125.89487751017,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 2, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.9017857142857143,0.8423671602449562,0.9574291683140522,test
51,0.1415870255123583,-155160.97879209992,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 2, 2, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.8333333333333333,0.8235762126484448,0.9584472850614559,validation
51,0.12008740290836148,-155160.97879209992,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 2, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.9017857142857143,0.8402886230347569,0.9576414484837233,test
61,0.14158857684353596,-158681.37869338412,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 2, 2, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.8333333333333333,0.8218532351036381,0.9611662376502572,validation
61,0.12062698573457924,-158681.37869338412,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 2, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.9017857142857143,0.8385368620992663,0.959779746154302,test
71,0.14108727474944968,-161127.63220907355,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 2, 2, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.8333333333333333,0.8195561982442136,0.9637793035696524,validation
71,0.12079874624935477,-161127.63220907355,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 2, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.9017857142857143,0.8358194577238781,0.9611829311688023,test
81,0.14299419200277533,-163418.7015810238,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 2, 2, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.8333333333333333,0.8180213002592783,0.9638229457611195,validation
81,0.12091099555026784,-163418.7015810238,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 2, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.9017857142857143,0.835117031281717,0.960227598903603,test
91,0.1422482405738706,-165300.90446800052,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 2, 2, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.8333333333333333,0.8188918942601947,0.9589535405904269,validation
91,0.12090823497044673,-165300.90446800052,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 2, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.9017857142857143,0.834702949152025,0.9578584435097166,test
101,0.1430284773431199,-166967.6537923867,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 2, 2, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.8333333333333333,0.8185270325416995,0.9576094815672047,validation
101,0.12082647109938559,-166967.6537923867,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 2, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.9017857142857143,0.8351192793721238,0.9570098098201382,test
