Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.4
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,40
scoring_method,f1_frechet_ldj:ff
score_rate,10
input_dim,15
init,kernel pca:rbf
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |  0.09637711423308197  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                (15,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                (15,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.11671004653733817  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,map geo
geometry,torus
num_epochs,100
num_acts,5
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.Bimanual3D object at 0x0000014DDC767710>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""box_lift"", ""box_turn_cw_forward"", ""box_lateral_left"", ""bread_cutting_right"", ""jar_opening_right_open""]"
people,[1]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.22213228170781701,0,"{'pred': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",1.0,1.1162462790582304,1.9274312887646423,validation
1,0.16552444139720127,0,"{'pred': [0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 0, 3, 3, 1, 1, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.8281318681318681,1.1192147157673684,1.8819867040323135,test
11,0.3456373000782965,-11471.6950219397,"{'pred': [0, 0, 4, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 4, 2, 4, 4, 4, 3, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.7358730158730159,1.1477093660897482,3.4493100593291675,validation
11,0.21790238526562816,-11471.6950219397,"{'pred': [4, 3, 2, 3, 3, 4, 1, 1, 1, 1, 3, 2, 2, 2, 2, 4, 4, 3, 4, 4, 2, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.46989898989898987,1.1855400712455593,2.32520951198702,test
21,0.3774244563361707,-42482.8820445628,"{'pred': [3, 0, 3, 2, 4, 2, 3, 3, 3, 4, 2, 2, 3, 4, 2, 4, 3, 3, 3, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.24410256410256412,1.1078010439501704,2.2117990854539964,validation
21,0.17901741143631136,-42482.8820445628,"{'pred': [4, 3, 3, 3, 3, 4, 3, 2, 3, 1, 4, 3, 2, 2, 3, 4, 4, 3, 4, 4, 2, 3, 3, 3, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.2098541980894922,1.1908705123973709,1.8314506683330614,test
31,0.3617179592788941,-48011.35405406135,"{'pred': [3, 0, 3, 2, 4, 4, 1, 3, 3, 3, 2, 2, 3, 4, 2, 4, 3, 3, 3, 3], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.2885714285714286,1.1431125249922442,3.414749897008123,validation
31,0.2076708256509065,-48011.35405406135,"{'pred': [0, 3, 3, 3, 3, 3, 4, 2, 3, 2, 2, 3, 3, 2, 3, 4, 4, 3, 4, 0, 3, 2, 3, 3, 3], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.1581954887218045,1.2147587618643492,2.225417964523179,test
41,0.3540393669007637,-51088.95188795627,"{'pred': [4, 0, 3, 2, 4, 4, 1, 1, 3, 3, 2, 2, 3, 4, 2, 4, 3, 3, 3, 3], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.3466666666666667,1.1152742160769005,4.0976172116950575,validation
41,0.17770918887210016,-51088.95188795627,"{'pred': [2, 3, 3, 3, 3, 4, 4, 2, 3, 2, 2, 4, 2, 2, 3, 0, 4, 3, 4, 0, 3, 2, 3, 3, 3], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.125,1.2456747253331952,2.518572501823101,test
51,0.2998783652913418,-53813.10067706483,"{'pred': [4, 2, 3, 4, 4, 4, 4, 4, 3, 3, 2, 2, 3, 4, 2, 3, 3, 3, 3, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.19999999999999998,1.0855569018249853,2.9997875658077886,validation
51,0.2401661032273056,-53813.10067706483,"{'pred': [2, 4, 3, 3, 3, 4, 3, 1, 3, 2, 4, 3, 2, 2, 4, 4, 4, 3, 4, 0, 2, 3, 3, 3, 3], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.17166666666666663,1.1884264761948886,4.194808285214734,test
61,0.3030615088594234,-55981.83016705103,"{'pred': [4, 2, 3, 3, 4, 4, 3, 4, 3, 3, 2, 3, 3, 4, 2, 3, 3, 3, 3, 3], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.10714285714285714,1.1097383023219247,3.3846863515165038,validation
61,0.27152894659908944,-55981.83016705103,"{'pred': [2, 4, 3, 3, 3, 4, 3, 1, 4, 2, 4, 4, 2, 3, 4, 4, 4, 3, 4, 0, 2, 3, 3, 3, 3], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.13777777777777778,1.1096215210562506,5.189911243470899,test
71,0.3037795876170192,-57767.74058292012,"{'pred': [4, 2, 4, 3, 2, 4, 3, 4, 3, 3, 2, 3, 3, 4, 2, 3, 3, 3, 3, 3], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.10333333333333332,1.1394413031989725,3.5556866461436734,validation
71,0.3340098345173401,-57767.74058292012,"{'pred': [2, 4, 3, 3, 3, 1, 3, 2, 2, 3, 4, 4, 3, 3, 4, 4, 4, 3, 4, 0, 3, 3, 3, 3, 3], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.08888888888888889,1.192047289051773,5.497989048110134,test
81,0.31420897237744544,-59263.95114824309,"{'pred': [4, 2, 3, 3, 4, 4, 3, 4, 3, 3, 2, 3, 3, 4, 0, 3, 3, 3, 3, 3], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.11666666666666665,1.106823038990651,3.4563504995135688,validation
81,0.28013242195963717,-59263.95114824309,"{'pred': [1, 4, 3, 3, 3, 4, 1, 1, 3, 2, 4, 4, 3, 3, 4, 0, 4, 3, 4, 0, 2, 3, 3, 3, 3], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.125,1.101475488176541,5.041298854604655,test
91,0.3121953129376153,-60585.60344597112,"{'pred': [4, 4, 3, 3, 4, 3, 3, 4, 3, 3, 2, 3, 3, 4, 0, 3, 3, 3, 3, 1], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.13,1.122717089809958,3.5114466948978955,validation
91,0.23028099640891342,-60585.60344597112,"{'pred': [1, 4, 3, 3, 3, 4, 1, 4, 3, 2, 3, 4, 3, 3, 4, 0, 4, 3, 4, 0, 2, 2, 3, 3, 3], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.08214285714285713,1.2219231760716334,3.4830477896671903,test
101,0.29704048405164296,-61721.056272222966,"{'pred': [4, 4, 3, 3, 4, 2, 3, 4, 3, 3, 2, 3, 3, 4, 0, 3, 3, 3, 3, 1], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.12,1.162935380416939,3.5995881569516377,validation
101,0.3240167355770229,-61721.056272222966,"{'pred': [1, 4, 3, 3, 3, 4, 4, 4, 2, 2, 3, 3, 3, 3, 4, 4, 4, 3, 4, 0, 2, 2, 3, 3, 3], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.025,1.1399979078650335,3.638952028642149,test
