Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.15
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,15
scoring_method,f1_frechet_ldj:ff
score_rate,10
input_dim,9
init,umap:cosine
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |  0.08067921108774068  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                 (9,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                 (9,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.18598275931307798  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,map geo
geometry,torus
num_epochs,100
num_acts,8
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.MovementsCMU object at 0x000002BF5B27FB00>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""bend_down"", ""soccer_kick"", ""breaststroke"", ""flystroke"", ""jump_side"", ""left_front_kick"", ""left_lunges"", ""left_punches""]"
people,[0]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.19539986664015047,0,"{'pred': [0, 0, 4, 4, 4, 2, 4, 4, 3, 3, 5, 4, 6, 4, 4, 4], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.375,1.0735760947424258,1.437101073929925,validation
1,0.1031629193936939,0,"{'pred': [0, 0, 0, 3, 4, 4, 2, 2, 2, 4, 4, 4, 3, 3, 3, 4, 4, 4, 6, 6, 4, 4, 4, 4], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.35000000000000003,1.1015494949190408,1.5506491201478325,test
11,0.1892374673516393,-66651.01349881657,"{'pred': [0, 0, 4, 4, 4, 2, 4, 3, 6, 6, 5, 4, 6, 4, 4, 4], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.42499999999999993,1.0569902215784062,1.175813320203865,validation
11,0.0761085642560827,-66651.01349881657,"{'pred': [0, 0, 0, 3, 4, 4, 2, 2, 2, 4, 4, 4, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.25,1.080633973550775,1.1312681283832848,test
21,0.15067915092035553,-102010.00421218728,"{'pred': [4, 0, 4, 4, 4, 2, 4, 4, 6, 6, 5, 4, 4, 4, 4, 4], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.25,1.037108387121252,1.0711702191165104,validation
21,0.07923296733974299,-102010.00421218728,"{'pred': [0, 0, 0, 3, 4, 4, 2, 2, 2, 4, 4, 4, 3, 3, 6, 4, 4, 4, 4, 6, 4, 4, 4, 4], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.3,1.0327107154889108,1.1130661113881213,test
31,0.1506759419211956,-110587.89971649228,"{'pred': [4, 0, 4, 4, 4, 2, 4, 4, 6, 6, 5, 4, 4, 4, 4, 4], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.25,1.0416406677467622,1.0764904901054786,validation
31,0.07922467267672269,-110587.89971649228,"{'pred': [0, 0, 0, 3, 4, 4, 2, 2, 2, 4, 4, 4, 3, 3, 6, 4, 4, 4, 4, 6, 4, 4, 5, 4], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.3,1.019240326980567,1.0929643190033185,test
41,0.15362114598902418,-115414.4424668773,"{'pred': [4, 0, 4, 4, 4, 2, 4, 4, 6, 6, 5, 4, 4, 4, 4, 4], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.25,1.0269964252041621,1.0639167717866782,validation
41,0.0897785306749145,-115414.4424668773,"{'pred': [0, 0, 0, 3, 4, 4, 2, 2, 2, 4, 4, 4, 3, 4, 6, 4, 4, 4, 4, 6, 4, 4, 5, 4], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.315625,0.9951528361302366,1.1193902831983504,test
51,0.1561457596613159,-118501.47394464698,"{'pred': [4, 0, 4, 4, 4, 2, 4, 4, 6, 6, 5, 4, 4, 4, 4, 4], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.25,1.018161767888434,1.0552298896484185,validation
51,0.08971883700407186,-118501.47394464698,"{'pred': [0, 0, 0, 3, 4, 4, 2, 2, 2, 4, 4, 4, 3, 4, 6, 4, 4, 4, 4, 6, 4, 4, 5, 4], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.315625,0.9919348523195656,1.1159137431365709,test
61,0.16078811500799273,-120462.41115649916,"{'pred': [4, 0, 4, 4, 4, 2, 4, 4, 6, 6, 4, 4, 4, 4, 4, 4], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.16666666666666666,0.9931923601836904,1.085426685521111,validation
61,0.09691266823461601,-120462.41115649916,"{'pred': [0, 0, 0, 3, 4, 4, 4, 2, 4, 4, 4, 4, 3, 4, 6, 4, 4, 4, 4, 6, 4, 4, 5, 4], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.2513888888888889,0.9809105610493298,1.126523551074521,test
71,0.16201570693280842,-122030.41764164876,"{'pred': [4, 0, 4, 4, 4, 2, 4, 4, 6, 6, 4, 4, 4, 4, 4, 4], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.16666666666666666,0.9877593776591655,1.090445522472381,validation
71,0.0972631540208238,-122030.41764164876,"{'pred': [0, 0, 0, 3, 4, 4, 4, 2, 4, 4, 4, 4, 3, 4, 6, 4, 4, 4, 4, 6, 4, 4, 5, 4], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.2513888888888889,0.9804896572290382,1.1311798987726094,test
81,0.16084276640528175,-123347.54316091798,"{'pred': [4, 0, 4, 4, 4, 2, 4, 4, 6, 6, 4, 4, 4, 4, 4, 4], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.16666666666666666,0.9886095248310923,1.083442553531907,validation
81,0.09965129723711,-123347.54316091798,"{'pred': [0, 0, 0, 3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 6, 4, 4, 4, 4, 6, 4, 4, 5, 4], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.1881578947368421,0.9706246570223165,1.1518189344706067,test
91,0.1617766957625091,-124527.09819906337,"{'pred': [4, 0, 4, 4, 4, 2, 4, 4, 6, 6, 4, 4, 4, 4, 4, 4], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.16666666666666666,0.9825460495855642,1.0708748295165305,validation
91,0.0998332454272665,-124527.09819906337,"{'pred': [0, 0, 0, 3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 6, 4, 4, 4, 4, 6, 4, 4, 5, 4], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.1881578947368421,0.968554589007079,1.1544333332372836,test
101,0.1599268298363134,-125392.6206562823,"{'pred': [4, 0, 4, 4, 4, 2, 4, 4, 6, 6, 4, 4, 4, 4, 4, 4], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.16666666666666666,0.9871241633885037,1.0676349215904437,validation
101,0.09991382770006363,-125392.6206562823,"{'pred': [0, 0, 0, 3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 6, 4, 4, 4, 4, 6, 4, 4, 5, 4], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.1881578947368421,0.9695317612982176,1.1535326009652032,test
