Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.15
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,15
scoring_method,f1_frechet_ldj:ff
score_rate,10
input_dim,9
init,random
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                  value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |      0.093335538938292  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                   (9,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                   (9,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  6.834525506712475e-09  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,map
geometry,none
num_epochs,100
num_acts,8
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.MovementsCMU object at 0x00000228A23B5730>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""bend_down"", ""soccer_kick"", ""breaststroke"", ""flystroke"", ""jump_side"", ""left_front_kick"", ""left_lunges"", ""left_punches""]"
people,[0]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.44606670369087936,0,"{'pred': [0, 0, 1, 1, 2, 2, 3, 2, 3, 3, 5, 5, 6, 6, 1, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.7083333333333333,0.9901851044448072,21.424240159585977,validation
1,0.33422374991367887,0,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 0, 3, 3, 3, 3, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 1], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.8714285714285714,0.9812718602855627,21.826433225579454,test
11,0.5571968946268346,91356.27050652017,"{'pred': [0, 0, 5, 5, 5, 5, 0, 0, 3, 3, 3, 3, 0, 0, 3, 3], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.0625,0.8818948793968486,72.28685680526746,validation
11,0.23543570804217992,91356.27050652017,"{'pred': [0, 0, 0, 5, 5, 5, 5, 5, 5, 0, 0, 0, 3, 3, 3, 3, 3, 3, 0, 0, 0, 3, 3, 3], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.0625,0.8776504747216723,67.10107307622187,test
21,0.36206936927713257,85710.29810972688,"{'pred': [3, 3, 4, 3, 3, 3, 3, 7, 4, 4, 3, 3, 6, 6, 7, 4], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.29583333333333334,0.8166093358860232,373.6109936097346,validation
21,0.41802821654728584,85710.29810972688,"{'pred': [3, 3, 3, 4, 3, 6, 3, 3, 4, 3, 3, 3, 6, 4, 4, 3, 3, 6, 6, 6, 6, 4, 3, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.25833333333333336,0.8520306032836671,450.06765514409597,test
31,0.4534428860626308,80032.40690445661,"{'pred': [0, 0, 6, 1, 2, 2, 3, 6, 4, 4, 5, 5, 6, 6, 6, 6], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.7291666666666666,0.859771145495542,161.3403161606125,validation
31,0.3266930013977603,80032.40690445661,"{'pred': [0, 0, 0, 1, 6, 6, 2, 2, 0, 3, 3, 3, 6, 4, 4, 5, 5, 6, 6, 6, 6, 6, 6, 6], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6523351648351648,0.8791784778857897,134.77371132130463,test
41,0.34500182216791286,143330.8762009795,"{'pred': [0, 0, 0, 6, 0, 0, 0, 3, 0, 0, 5, 5, 6, 6, 3, 3], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.325,0.9191489368616086,6.705259259176496,validation
41,0.24720852293697637,143330.8762009795,"{'pred': [0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 6, 0, 0, 5, 5, 0, 6, 6, 6, 3, 0, 3], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.2795343137254902,0.9518816880381943,18.528425778381703,test
51,0.2509653878045523,20209.09663834708,"{'pred': [1, 1, 1, 1, 1, 1, 5, 0, 1, 1, 5, 5, 6, 6, 0, 5], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.2583333333333333,0.7980194663045715,9.282305511282697,validation
51,0.26062427875118277,20209.09663834708,"{'pred': [1, 1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 1, 5, 1, 1, 5, 5, 5, 6, 6, 6, 5, 7, 3], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.3092532467532468,0.8326387810652864,13.78494862715593,test
61,0.24363657174118258,33275.003951526254,"{'pred': [5, 5, 1, 1, 7, 7, 1, 3, 7, 7, 5, 5, 7, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.40555555555555556,0.8004227429167425,3.5466810301661074,validation
61,0.19670591104875626,33275.003951526254,"{'pred': [5, 0, 7, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 7, 7, 5, 5, 5, 6, 6, 6, 7, 7, 4], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.41269841269841273,0.7990568992667385,2.731927646806101,test
71,0.23364572161459538,6276.879466567021,"{'pred': [5, 0, 1, 1, 7, 7, 5, 1, 5, 5, 5, 5, 2, 5, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.32222222222222224,0.8020010447944371,2.526539006078274,validation
71,0.20905677454989807,6276.879466567021,"{'pred': [5, 0, 5, 1, 1, 1, 7, 7, 7, 5, 5, 3, 7, 5, 5, 5, 5, 5, 5, 5, 5, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.375,0.7907156065072546,2.1289318964389676,test
81,0.31023658894219014,1497.8222149715657,"{'pred': [2, 2, 4, 5, 2, 2, 5, 7, 2, 2, 5, 5, 2, 2, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.23333333333333334,0.7723598143942955,2.047829507924409,validation
81,0.183712802780822,1497.8222149715657,"{'pred': [2, 0, 2, 4, 2, 1, 2, 2, 2, 2, 5, 5, 5, 2, 2, 5, 2, 5, 2, 2, 2, 7, 7, 6], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.33437500000000003,0.8071269835213636,1.7531167405831107,test
91,0.27256924714078085,-1206.1057733369234,"{'pred': [2, 2, 4, 4, 2, 2, 2, 7, 2, 2, 5, 5, 2, 2, 6, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.23295454545454547,0.784840873719135,2.1755560066103063,validation
91,0.18753030848905822,-1206.1057733369234,"{'pred': [2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 2, 5, 2, 2, 2, 7, 7, 6], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.23571428571428574,0.7970700472591469,2.3188652311998346,test
101,0.2381030559364572,-2846.4179862413366,"{'pred': [2, 2, 4, 4, 2, 2, 2, 7, 2, 2, 2, 5, 2, 2, 6, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.18749999999999997,0.7564260962655345,3.0614732179517725,validation
101,0.1628507054828523,-2846.4179862413366,"{'pred': [2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 2, 5, 2, 2, 2, 6, 7, 6], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.1982142857142857,0.7897367946110552,2.9777274633711754,test
