Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.4
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,40
scoring_method,f1_frechet_ldj:ff
score_rate,10
input_dim,15
init,FFT_2D
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |  0.35334309663021807  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                (15,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                (15,)  |      +ve      |        
  [1mbias.variance   [0;0m  |    39.07415930764593  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,map
geometry,none
num_epochs,100
num_acts,5
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.Bimanual3D object at 0x00000230B503EA50>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""box_lift"", ""box_turn_cw_forward"", ""box_lateral_left"", ""bread_cutting_right"", ""jar_opening_right_open""]"
people,[1]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.3250572366035039,0,"{'pred': [0, 0, 1, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.9492063492063492,0.7893986246952321,4.434179072829559,validation
1,0.3118992471217038,0,"{'pred': [4, 0, 1, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 4, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.8253968253968255,0.7612259684872353,4.007051416964192,test
11,0.3280395073033088,91863.67058226967,"{'pred': [0, 0, 3, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.9028571428571428,0.847304815977899,4.072876389325664,validation
11,0.28742607377890916,91863.67058226967,"{'pred': [3, 3, 3, 3, 2, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 3, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.6568181818181819,0.8452874125505514,3.257678712823607,test
21,0.3026757552580419,58424.10984441501,"{'pred': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 4, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.9492063492063492,0.9303641257604717,3.1634419753536878,validation
21,0.2790866921803725,58424.10984441501,"{'pred': [0, 2, 2, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 4, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.8762626262626264,0.9202613401553683,3.2111927087162626,test
31,0.30199677475757897,225832.35528394155,"{'pred': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 4, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.9492063492063492,0.9207181404364575,3.1611703099030097,validation
31,0.28009944774919765,225832.35528394155,"{'pred': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.8681318681318682,0.9149122378338419,3.092926603009245,test
41,0.27947424980443103,28607.27070048778,"{'pred': [0, 0, 1, 1, 1, 1, 1, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.40820512820512816,0.8789546095349453,1.9333313379433013,validation
41,0.23585625309818786,28607.27070048778,"{'pred': [4, 0, 4, 0, 0, 1, 1, 1, 1, 1, 4, 2, 4, 2, 4, 2, 1, 4, 4, 4, 1, 4, 4, 1, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.47884615384615387,0.8802968825911883,2.836203437949635,test
51,0.285913174503434,12311.87397385633,"{'pred': [0, 0, 0, 1, 1, 1, 1, 1, 4, 4, 4, 1, 4, 4, 4, 4, 4, 1, 1, 1], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.3278388278388279,0.8446556905827038,2.2318408803232472,validation
51,0.20333542292245982,12311.87397385633,"{'pred': [4, 4, 1, 0, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 0, 1, 4, 4, 4, 1, 1, 1, 1, 1], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.1682539682539682,0.8278902515754009,1.5921830222825684,test
61,0.2513246191401289,-3995.586908009005,"{'pred': [1, 0, 0, 1, 1, 1, 1, 1, 4, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.21333333333333332,0.801174734955417,1.988759445626726,validation
61,0.17608059550424662,-3995.586908009005,"{'pred': [4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 1, 4, 1, 0, 1, 1, 1, 4, 4, 1, 1, 1, 1], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.12424242424242422,0.7567018209408118,1.6955015483490703,test
71,0.19986570496806572,-13074.996139748011,"{'pred': [1, 0, 4, 1, 1, 1, 1, 1, 4, 4, 4, 1, 1, 1, 1, 4, 4, 1, 1, 1], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.21411764705882352,0.7854741386586142,1.8363514932208502,validation
71,0.1934857872364923,-13074.996139748011,"{'pred': [4, 1, 1, 0, 1, 1, 1, 1, 1, 1, 4, 4, 1, 4, 4, 0, 1, 4, 4, 4, 4, 1, 1, 1, 1], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.19097744360902255,0.7547830371106892,2.088032612666574,test
81,0.20929404378224734,-19498.236672897507,"{'pred': [1, 0, 4, 1, 1, 1, 1, 1, 4, 4, 4, 1, 4, 1, 4, 4, 4, 4, 1, 1], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.2558241758241758,0.8002818099604087,1.8741059441963892,validation
81,0.19467432207038804,-19498.236672897507,"{'pred': [4, 4, 1, 4, 1, 1, 1, 1, 1, 1, 4, 4, 1, 4, 4, 0, 4, 4, 4, 4, 4, 1, 1, 1, 1], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.14117647058823532,0.7727209880121951,1.8509636521144002,test
91,0.2570245679958044,-24490.126686908367,"{'pred': [0, 0, 4, 4, 1, 1, 1, 1, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 1, 1], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.33212121212121215,0.8199358313449846,2.1250726041615398,validation
91,0.18423373174249338,-24490.126686908367,"{'pred': [4, 4, 4, 4, 4, 1, 1, 4, 1, 1, 4, 4, 4, 4, 4, 0, 1, 4, 4, 4, 4, 1, 1, 1, 1], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.13428571428571426,0.7912968911424931,1.8514851065026687,test
101,0.2432933078527632,-28317.346893825277,"{'pred': [0, 0, 4, 4, 1, 1, 1, 1, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 1, 1], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.33212121212121215,0.830920174435696,2.1150184596432338,validation
101,0.19779792353169567,-28317.346893825277,"{'pred': [4, 4, 4, 4, 4, 1, 1, 4, 1, 1, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 1, 1, 1, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.16969696969696968,0.8037021980164298,1.8442264204227155,test
