Parameter,Optimized Value
model_type,Transformer
num_epochs,100
model_type,Transformer
input_size,117
num_classes,5
hidden_size_multiplier,35
num_layers,2
num_heads,13
dropout,0.3
max_seq_length,100
sample_len,40
scoring_method,f1_frechet_ldj:ff
score_rate,10
init_t,0
actions,"[""box_lift"", ""box_turn_cw_forward"", ""box_lateral_left"", ""bread_cutting_right"", ""jar_opening_right_open""]"
people,[1]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
0,0.42344524626019037,3.159456253051758,"[array([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 4, 4, 4, 4],
      dtype=int64), [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]]",0.4222222222222222,1.16952938818349,3.5689504037479187,validation
0,0.4936353564170818,3.159456253051758,"[array([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 4, 4,
       4, 4, 4], dtype=int64), [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]]",0.4012422360248447,1.1453427492517143,3.854628573047755,test
10,0.4721316270041497,0.26277244091033936,"[array([0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 0, 0, 1, 0, 4, 4, 4, 4],
      dtype=int64), [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]]",0.7232323232323232,0.8108683332372648,4.359132136829004,validation
10,0.40332915739396047,0.26277244091033936,"[array([0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 0, 0, 3, 3, 4, 4,
       4, 4, 4], dtype=int64), [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]]",0.9166666666666667,0.8170420746515146,3.5973488948020282,test
20,0.4639264936011015,0.1799316257238388,"[array([0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 0, 1, 0, 4, 4, 4, 4],
      dtype=int64), [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]]",0.8177777777777777,0.8179115605641348,2.630747181161443,validation
20,0.3399626489302486,0.1799316257238388,"[array([0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 0, 0, 3, 3, 4, 4,
       4, 4, 4], dtype=int64), [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]]",0.8627705627705627,0.8129380755361559,2.477011585923424,test
30,0.41435064144002387,0.13710179924964905,"[array([0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 0, 0, 1, 0, 4, 4, 4, 4],
      dtype=int64), [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]]",0.7232323232323232,0.8422597772963578,2.41903891662845,validation
30,0.33334282600010323,0.13710179924964905,"[array([0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 0, 0, 0, 3, 4, 4,
       4, 4, 4], dtype=int64), [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]]",0.8023310023310023,0.8495366994790982,2.3138144067087145,test
40,0.463380048814253,0.10844133049249649,"[array([0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 0, 0, 1, 0, 4, 4, 4, 4],
      dtype=int64), [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]]",0.7232323232323232,0.86988880139216,2.547785640168206,validation
40,0.39429747860085934,0.10844133049249649,"[array([0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 0, 0, 0, 0, 4, 4,
       4, 4, 4], dtype=int64), [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]]",0.7246753246753247,0.8763742673333221,2.3850883361787436,test
