Parameter,Optimized Value
model_type,LSTM
num_epochs,100
model_type,LSTM
input_size,117
num_classes,5
hidden_size,114
num_layers,2
sample_len,40
scoring_method,f1_frechet_ldj:ff
score_rate,10
init_t,0
actions,"[""box_lift"", ""box_turn_cw_forward"", ""box_lateral_left"", ""bread_cutting_right"", ""jar_opening_right_open""]"
people,[1]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
0,0.318974728236112,2.6092936992645264,"[array([4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 3, 4, 3, 2, 2, 2, 2],
      dtype=int64), [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]]",0.15,0.7993141048566491,6782.903940703786,validation
0,0.36748486123489577,2.6092936992645264,"[array([4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 2, 4, 4, 4, 3, 3, 3, 4, 2, 2,
       2, 2, 4], dtype=int64), [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]]",0.19238095238095237,0.8253879679251334,6710.977136213078,test
10,0.3039488770866855,1.5240275859832764,"[array([3, 4, 3, 4, 3, 3, 4, 4, 3, 2, 3, 2, 2, 2, 3, 2, 3, 2, 2, 3],
      dtype=int64), [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]]",0.1034965034965035,0.7977214304092355,2696.932578018587,validation
10,0.21643044482961749,1.5240275859832764,"[array([3, 3, 4, 3, 3, 4, 3, 3, 3, 4, 3, 3, 2, 3, 3, 0, 2, 2, 2, 2, 2, 3,
       2, 2, 2], dtype=int64), [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]]",0.028571428571428567,0.9084335875920365,3251.8950392038264,test
20,0.30986861547490296,0.8200438618659973,"[array([3, 3, 3, 3, 3, 3, 3, 3, 0, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 3],
      dtype=int64), [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]]",0.09230769230769231,0.7857139693958833,12.123326531293165,validation
20,0.2105021271333396,0.8200438618659973,"[array([3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2,
       2, 2, 2], dtype=int64), [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]]",0.06666666666666667,0.7683386985309268,8.809233354912108,test
30,0.2714391458034596,0.5376588106155396,"[array([3, 3, 3, 3, 3, 3, 3, 3, 0, 2, 2, 2, 2, 2, 3, 2, 4, 4, 2, 4],
      dtype=int64), [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]]",0.3112887112887113,0.7581687006989491,31.41819363456513,validation
30,0.31332209584479903,0.5376588106155396,"[array([3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 0, 3, 2, 2, 2, 2, 2, 2, 4,
       4, 4, 4], dtype=int64), [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]]",0.2634920634920635,0.766779336678515,30.4195411013159,test
40,0.3022186576724195,0.3778533339500427,"[array([4, 4, 4, 4, 3, 3, 3, 3, 0, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4],
      dtype=int64), [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]]",0.43809523809523804,0.7086009374548983,18.40120274043901,validation
40,0.318041753287125,0.3778533339500427,"[array([4, 4, 4, 4, 4, 1, 3, 3, 3, 1, 2, 2, 2, 2, 2, 2, 3, 3, 2, 2, 4, 4,
       4, 4, 4], dtype=int64), [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]]",0.48146520146520144,0.6905429337042167,18.930864170315154,test
50,0.40659311110369367,0.27344849705696106,"[array([0, 0, 0, 0, 1, 0, 0, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4],
      dtype=int64), [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]]",0.8933333333333333,0.7673530148018134,215.0528235282959,validation
50,0.3242597723759936,0.27344849705696106,"[array([0, 4, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 2, 2, 4, 4,
       4, 4, 4], dtype=int64), [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]]",0.8277278277278276,0.7736269410229151,122.28161295690555,test
60,0.4035035665744792,0.20631393790245056,"[array([0, 0, 0, 0, 3, 0, 0, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 2, 4],
      dtype=int64), [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]]",0.766984126984127,0.8181387233857143,203.34433237411255,validation
60,0.27624474938822713,0.20631393790245056,"[array([0, 0, 0, 0, 0, 1, 0, 3, 0, 1, 2, 2, 2, 2, 2, 2, 3, 3, 2, 2, 2, 4,
       2, 4, 4], dtype=int64), [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]]",0.6642857142857143,0.8128536845812738,143.45754852495818,test
70,0.4064578414265322,0.16448266804218292,"[array([0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 2, 4],
      dtype=int64), [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]]",0.6825396825396826,0.7908279895282715,140.8020483224451,validation
