Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.4
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,40
scoring_method,f1_frechet_ldj:ff
max_iters,100
score_rate,10
input_dim,15
init,kernel pca:rbf
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |   12.724617651551133  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                (15,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                (15,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.10187442908874711  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,multi w GP geo
geometry,ellipse
geo params,
num_epochs,100
num_acts,5
constraints-0,variance
constraints-1,A
constraints-2,r
constraints-3,n
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.Bimanual3D object at 0x000001C972B53D40>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""box_lift"", ""box_turn_cw_forward"", ""box_lateral_left"", ""bread_cutting_right"", ""jar_opening_right_open""]"
people,[1]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.16101078661281765,0,"{'pred': [0, 1, 1, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.8933333333333333,0.728997544490988,2.094919467742606,validation
1,0.16640720231188572,0,"{'pred': [1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.868131868131868,0.7266864418693161,1.8607510435229373,test
11,0.177743707472677,-21562.456054093658,"{'pred': [0, 1, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.9492063492063492,0.808107028181288,1.7167755769312631,validation
11,0.15686016864882085,-21562.456054093658,"{'pred': [1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.9166666666666667,0.8138251682574655,1.6179248377924833,test
21,1.03614423903748,-46714.444045273114,"{'pred': [3, 4, 3, 3, 4, 4, 4, 3, 3, 3, 4, 4, 4, 3, 3, 4, 3, 3, 4, 3], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.0841025641025641,1.0718238335362604,0.6879620763179046,validation
21,0.6178452180947109,-46714.444045273114,"{'pred': [3, 4, 3, 3, 4, 4, 3, 3, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 3, 4, 4, 3, 3, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.11333333333333333,1.0114954391857887,0.9263723847096358,test
31,0.6901835918083862,-52927.769245522315,"{'pred': [3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.17142857142857143,0.9635985621452088,0.7397446680306382,validation
31,0.5976320094347937,-52927.769245522315,"{'pred': [3, 3, 3, 3, 3, 3, 4, 3, 4, 3, 3, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.20666666666666664,0.9892523954705202,1.253640819633193,test
41,0.3230773645162064,103921.16555660534,"{'pred': [4, 4, 3, 0, 1, 1, 1, 1, 4, 4, 4, 4, 4, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.5366666666666666,0.9227761148142245,1.693702411774417,validation
41,0.37652730286729563,103921.16555660534,"{'pred': [3, 3, 4, 3, 4, 3, 0, 4, 1, 0, 3, 4, 4, 4, 4, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.3176470588235294,0.8884467151907655,1.9403062032172578,test
51,0.38298460994346184,-55822.88714395863,"{'pred': [0, 3, 3, 4, 1, 1, 1, 1, 4, 4, 4, 4, 4, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.5276190476190475,0.920906183118125,1.9550969437351011,validation
51,0.4425243803758704,-55822.88714395863,"{'pred': [3, 3, 4, 3, 3, 3, 0, 1, 1, 0, 3, 4, 4, 4, 4, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.37261904761904757,0.894807625987038,2.3033706982492386,test
61,0.37490527539527285,-55942.05009400872,"{'pred': [0, 3, 3, 4, 1, 1, 1, 1, 4, 4, 4, 4, 4, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.5276190476190475,0.9046301530860342,2.392696916774398,validation
61,0.4294839940555719,-55942.05009400872,"{'pred': [4, 3, 4, 3, 3, 3, 0, 1, 1, 0, 3, 4, 4, 4, 4, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.37261904761904757,0.8950230327596413,2.1769219712026953,test
71,0.38256216984400465,-55998.11974211782,"{'pred': [0, 3, 3, 4, 1, 1, 1, 1, 4, 4, 4, 4, 4, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.5276190476190475,0.9176513054718448,1.974732646295837,validation
71,0.4387292221820337,-55998.11974211782,"{'pred': [4, 3, 4, 3, 3, 3, 0, 4, 1, 0, 3, 4, 4, 4, 4, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.3176470588235294,0.8859731983739162,1.9510844559405902,test
81,0.3769911117491487,-56029.100044429346,"{'pred': [0, 3, 3, 4, 1, 1, 1, 1, 4, 4, 4, 4, 4, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.5276190476190475,0.922120723127056,1.7187048890276013,validation
81,0.4051586235514093,-56029.100044429346,"{'pred': [4, 3, 4, 3, 4, 3, 1, 1, 1, 0, 3, 4, 4, 4, 4, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.41050420168067225,0.9010986413950604,1.7173319876316422,test
91,0.3886906472762919,-56091.24944151027,"{'pred': [0, 3, 3, 4, 1, 1, 1, 1, 4, 2, 4, 4, 4, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.6164102564102564,0.9316400965261853,1.6990186049308043,validation
91,0.38292057663195456,-56091.24944151027,"{'pred': [4, 3, 4, 3, 4, 4, 1, 1, 1, 0, 3, 4, 4, 4, 4, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.41495726495726504,0.9079264356940219,1.617691989641456,test
101,0.3097160537308928,-10926.238234432516,"{'pred': [0, 4, 3, 0, 1, 1, 1, 1, 2, 2, 4, 2, 4, 4, 3, 3, 4, 4, 1, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.7059163059163059,0.9147819791789923,1.2633230550863208,validation
101,0.33770211368948366,-10926.238234432516,"{'pred': [0, 4, 0, 4, 0, 1, 1, 1, 1, 0, 2, 2, 2, 2, 2, 3, 4, 4, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.8039682539682541,0.9433381709286157,1.354474025617804,test
