Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.4
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,40
scoring_method,f1_frechet_ldj:ff
max_iters,100
score_rate,10
input_dim,15
init,kernel pca:rbf
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                  value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |     1.3230426031512952  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                  (15,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                  (15,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  1.039627226448225e-06  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,linear geo
geometry,ellipse
geo params,
num_epochs,100
num_acts,5
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.Bimanual3D object at 0x0000026FD9C0D1C0>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""box_lift"", ""box_turn_cw_forward"", ""box_lateral_left"", ""bread_cutting_right"", ""jar_opening_right_open""]"
people,[1]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.27271338680432816,0,"{'pred': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",1.0,0.7515729319500739,3.8537940090033813,validation
1,0.22031947157200285,0,"{'pred': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",1.0,0.7679658108848046,3.7815163940707497,test
11,0.25371836997665326,-48658.85721410676,"{'pred': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",1.0,0.743074874897394,2.661529878695896,validation
11,0.19300357193702222,-48658.85721410676,"{'pred': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",1.0,0.7504136345108334,2.360873593242613,test
21,2.4993489867148453,-70158.87998498595,"{'pred': [0, 0, 3, 0, 1, 1, 4, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 3], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.7428571428571429,1.0537869615117108,0.7381350364293243,validation
21,0.6267959030187064,-70158.87998498595,"{'pred': [3, 1, 3, 4, 4, 3, 4, 3, 1, 1, 2, 2, 2, 0, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 3], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.4754248366013072,1.013065352384248,0.9843994601417058,test
31,0.6193431256262888,-73563.06426340135,"{'pred': [0, 0, 3, 0, 1, 1, 4, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.8025974025974026,1.018444650598602,0.9722111894694351,validation
31,0.461114856747885,-73563.06426340135,"{'pred': [4, 0, 3, 3, 4, 3, 4, 3, 2, 1, 0, 2, 2, 2, 2, 4, 3, 3, 3, 3, 3, 3, 4, 4, 3], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.4565367965367965,1.0027206558654311,0.9614979796807578,test
41,0.41547062799636575,-72895.01741937076,"{'pred': [0, 0, 3, 0, 1, 4, 4, 1, 2, 2, 2, 4, 3, 3, 3, 3, 4, 3, 4, 3], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.7105339105339106,0.9601289764229275,0.9693158457204374,validation
41,0.35164726802892793,-72895.01741937076,"{'pred': [4, 4, 3, 3, 4, 3, 4, 3, 4, 4, 3, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.316374269005848,0.9729592767911228,1.7635827683986425,test
51,0.1344772255469538,-76446.78029900345,"{'pred': [0, 0, 3, 0, 1, 4, 4, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 3], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.7502164502164502,0.9159945997816642,1.224205218120549,validation
51,0.12909889472382352,-76446.78029900345,"{'pred': [1, 0, 3, 4, 4, 3, 1, 3, 1, 3, 4, 2, 2, 2, 2, 3, 3, 3, 3, 3, 1, 3, 3, 4, 3], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.4954248366013072,0.9252256528914032,1.2288325215972593,test
61,0.23720306341373928,-77253.38481919092,"{'pred': [0, 0, 3, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 3], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.8502164502164502,0.9009864595410474,1.8418823089447507,validation
61,0.2110962644941611,-77253.38481919092,"{'pred': [1, 0, 3, 4, 0, 3, 1, 3, 4, 4, 3, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 3, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.6158730158730158,0.9105256308440561,2.0210477335963697,test
71,0.3942647525489616,-77981.85364271706,"{'pred': [0, 0, 3, 0, 1, 4, 4, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 3], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.6952380952380952,0.9622737115605055,0.9395920815040799,validation
71,0.19026590002079286,-77981.85364271706,"{'pred': [4, 4, 3, 4, 4, 3, 4, 3, 4, 4, 3, 2, 2, 2, 2, 3, 3, 3, 3, 3, 1, 3, 4, 4, 3], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.3599206349206349,0.907475721810525,1.7972598673517561,test
81,0.44060499780021606,-78166.34674432987,"{'pred': [0, 0, 3, 4, 1, 4, 4, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 3], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.6499999999999999,0.9477153763914978,1.5866847413253713,validation
81,0.2271035387598732,-78166.34674432987,"{'pred': [3, 4, 3, 4, 4, 3, 4, 3, 2, 4, 3, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 3], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.3377777777777778,0.8870897614603442,2.1339347985015054,test
91,0.4650401983275585,-78313.7691209938,"{'pred': [0, 0, 3, 4, 1, 4, 4, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 3], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.6499999999999999,0.934107416598467,1.6001314836288683,validation
91,0.25103767516304043,-78313.7691209938,"{'pred': [3, 4, 3, 4, 4, 3, 4, 3, 1, 3, 3, 4, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 3], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.38859649122807016,0.9159877428916837,1.9083148508654437,test
101,0.504775623768679,-78359.41233662397,"{'pred': [0, 0, 3, 4, 1, 4, 4, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 3], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.6499999999999999,0.9401765854726349,1.1758177417419609,validation
101,0.18872161900059295,-78359.41233662397,"{'pred': [4, 4, 3, 4, 4, 3, 4, 3, 1, 4, 3, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 3], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.4236299648064354,0.9183105836977639,1.2428565079032594,test
