Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.15
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,15
scoring_method,f1_frechet_ldj:ff
max_iters,100
score_rate,10
input_dim,9
init,umap:cosine
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                  value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |    0.19416118480050384  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                   (9,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                   (9,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.0009140544509324703  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,linear geo
geometry,fourier_basis
geo params,5
num_epochs,100
num_acts,8
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.MovementsCMU object at 0x00000240D5F84470>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""bend_down"", ""soccer_kick"", ""breaststroke"", ""flystroke"", ""jump_side"", ""left_front_kick"", ""left_lunges"", ""left_punches""]"
people,[0]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.1299219975267752,0,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.7286113985589247,55.121325498859136,validation
1,0.12657667878694664,0,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.744002322846339,22.60749255917162,test
11,0.14636472189861274,-150012.39304835442,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.765141954028856,4.615852703328473,validation
11,0.13483875017523478,-150012.39304835442,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.7787575952452465,3.5095981898500406,test
21,0.13297269462420933,-218249.0234674401,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.7866150217006627,2.1220544065719915,validation
21,0.11715752792070046,-218249.0234674401,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.7921974271060116,1.7248406517880739,test
31,10.361521927846058,-234519.38384045183,"{'pred': [0, 0, 5, 5, 2, 2, 5, 3, 4, 4, 5, 5, 6, 1, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.7380952380952381,0.8754102243169881,0.7896218689069093,validation
31,28.219284114532204,-234519.38384045183,"{'pred': [5, 0, 0, 1, 5, 5, 2, 2, 2, 3, 5, 5, 4, 4, 4, 5, 5, 4, 6, 6, 5, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.7275974025974025,0.8728813259396262,0.755863148785584,test
41,0.12112039043383174,-235672.0537112364,"{'pred': [0, 0, 5, 1, 2, 2, 5, 3, 4, 4, 3, 5, 2, 1, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6499999999999999,0.8045208771183326,1.005836844005061,validation
41,2044.4615410500885,-235672.0537112364,"{'pred': [4, 0, 0, 1, 1, 1, 2, 2, 2, 3, 5, 5, 4, 4, 4, 3, 5, 5, 6, 6, 1, 7, 3, 3], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.7089285714285715,0.892312948502396,0.7825125559723108,test
51,0.2529416164126408,-236459.04951810936,"{'pred': [0, 0, 2, 1, 2, 2, 5, 7, 4, 4, 5, 1, 6, 1, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6458333333333334,0.8036463993143582,1.1076370760559924,validation
51,0.28052473087501967,-236459.04951810936,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 1, 5, 2, 4, 4, 5, 1, 5, 6, 1, 2, 7, 7, 2], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.7000000000000001,0.8535507041276127,0.8528913255290832,test
61,0.16302549890146523,-237017.63212892396,"{'pred': [0, 0, 2, 1, 5, 7, 4, 7, 4, 4, 5, 5, 7, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.5630952380952381,0.8266623869107896,1.213231478457203,validation
61,0.20215601580667525,-237017.63212892396,"{'pred': [0, 0, 0, 1, 1, 1, 7, 7, 7, 3, 5, 4, 2, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.7113095238095237,0.899309623196683,1.1491746028353935,test
71,0.16585159015867482,-237181.90562924612,"{'pred': [0, 0, 2, 3, 2, 7, 1, 7, 4, 4, 5, 5, 7, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.5922619047619048,0.830873844673544,1.2252511423578258,validation
71,0.19104170482343785,-237181.90562924612,"{'pred': [0, 0, 0, 3, 1, 1, 7, 7, 7, 3, 5, 1, 2, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6738095238095237,0.9055805183591116,0.9680698799373052,test
81,0.15386776603408672,-237204.9940997094,"{'pred': [0, 0, 2, 3, 5, 7, 4, 7, 4, 4, 5, 5, 7, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.4797619047619048,0.7996653623047649,1.2223588880542902,validation
81,0.15014183754604327,-237204.9940997094,"{'pred': [0, 0, 0, 1, 1, 1, 7, 7, 7, 3, 5, 4, 2, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.7113095238095237,0.8961501404971423,0.9764756473213644,test
91,0.11036078738625166,-237244.46639290775,"{'pred': [0, 0, 3, 3, 5, 7, 4, 7, 4, 4, 5, 5, 7, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.4797619047619048,0.8017427429168025,1.1473724050854772,validation
91,0.16450134447851655,-237244.46639290775,"{'pred': [0, 0, 0, 1, 1, 1, 7, 7, 7, 3, 5, 4, 2, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.7113095238095237,0.9006876977833017,0.9684114466092534,test
101,0.14302208320670823,-237262.85194467468,"{'pred': [0, 0, 3, 3, 5, 7, 4, 7, 4, 4, 5, 5, 7, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.4797619047619048,0.7997805624979053,1.1547590266038281,validation
101,0.16490237372427208,-237262.85194467468,"{'pred': [0, 0, 0, 1, 1, 1, 7, 7, 7, 3, 5, 4, 2, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.7113095238095237,0.8764289590083609,1.0289910253837737,test
