Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.15
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,15
scoring_method,f1_frechet_ldj:ff
max_iters,100
score_rate,10
input_dim,9
init,umap:cosine
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                  value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |    0.17583605435398428  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                   (9,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                   (9,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  0.0006357668808149925  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,linear geo
geometry,toroid
geo params,
num_epochs,100
num_acts,8
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.MovementsCMU object at 0x000002302E253F80>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""bend_down"", ""soccer_kick"", ""breaststroke"", ""flystroke"", ""jump_side"", ""left_front_kick"", ""left_lunges"", ""left_punches""]"
people,[0]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.187283405655782,0,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.7174832509006509,1.747161722192617,validation
1,0.15983822183462068,0,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.7344675267543588,1.663542219475195,test
11,0.18751627497159995,-179946.29409376613,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.7602630094725225,1.84746883195241,validation
11,0.14876762950585254,-179946.29409376613,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.7782425862352541,1.8017831832954243,test
21,0.1849722368093524,-199072.74785552986,"{'pred': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",1.0,0.816594162664245,1.34869049949615,validation
21,0.14779863714906014,-199072.74785552986,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",1.0,0.8311263706438868,1.552865569542946,test
31,0.3144577376047138,-214488.8861712639,"{'pred': [1, 1, 1, 1, 2, 2, 4, 2, 4, 4, 7, 4, 4, 4, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.3458333333333333,0.8318009588189428,0.9160895876811836,validation
31,0.31176074399343096,-214488.8861712639,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 5, 5, 3, 3, 4, 4, 5, 5, 4, 4, 1, 1, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6616071428571428,0.9419250510075725,0.7899558271594723,test
41,0.24019722975358687,-216745.04833556473,"{'pred': [0, 0, 1, 1, 2, 2, 4, 2, 4, 4, 7, 4, 4, 4, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.5125,0.8200648119999576,1.0054225909298005,validation
41,0.1573679758110908,-216745.04833556473,"{'pred': [0, 0, 0, 1, 1, 1, 2, 2, 2, 4, 5, 3, 4, 4, 4, 5, 5, 4, 4, 1, 1, 7, 7, 7], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6979166666666666,0.8787321277433919,0.8711771270737318,test
51,0.1879478609844213,-217340.60924607684,"{'pred': [0, 0, 1, 1, 2, 2, 4, 7, 4, 4, 5, 4, 4, 5, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.6089285714285715,0.8389625383354086,1.126162191056588,validation
51,0.21790956751642818,-217340.60924607684,"{'pred': [0, 0, 0, 1, 1, 7, 2, 2, 2, 4, 4, 3, 0, 4, 4, 0, 1, 4, 4, 1, 3, 7, 7, 6], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.4790674603174603,0.8689171479325003,0.9553443795290758,test
61,0.22252656008180152,-217778.28683349202,"{'pred': [0, 0, 1, 2, 6, 6, 4, 6, 4, 4, 5, 4, 4, 5, 6, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.4255952380952381,0.766791254162506,1.185894975780652,validation
61,0.21637977825382482,-217778.28683349202,"{'pred': [0, 0, 0, 1, 1, 6, 2, 6, 2, 4, 3, 7, 0, 4, 4, 5, 5, 3, 4, 2, 6, 7, 7, 6], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6309523809523809,0.8951794859253361,1.2733518180972219,test
71,0.28520143059283476,-217277.1879238369,"{'pred': [0, 0, 1, 2, 2, 2, 4, 6, 4, 4, 5, 1, 4, 5, 7, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.5583333333333333,0.844457254932444,1.0536197812333927,validation
71,0.2290211032381108,-217277.1879238369,"{'pred': [0, 0, 0, 7, 1, 6, 2, 2, 5, 3, 3, 7, 7, 4, 4, 5, 5, 4, 4, 0, 2, 7, 7, 6], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5702380952380953,0.8868963789741011,1.0862323863773726,test
81,0.2466520561453699,-218282.0845130328,"{'pred': [0, 0, 1, 2, 2, 2, 4, 6, 4, 4, 6, 5, 4, 5, 6, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.5375,0.826143499253323,1.2027099230695257,validation
81,0.1812291464538611,-218282.0845130328,"{'pred': [0, 0, 0, 1, 1, 6, 2, 2, 5, 3, 3, 7, 7, 4, 4, 5, 6, 4, 4, 2, 2, 6, 7, 6], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5595238095238096,0.8577666587916936,1.1184849562083075,test
91,0.2255074312344638,-218314.0036037822,"{'pred': [0, 0, 1, 2, 2, 2, 4, 6, 4, 4, 6, 5, 4, 5, 6, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.5375,0.8152336070748454,1.1872260906811618,validation
91,0.16681210235322053,-218314.0036037822,"{'pred': [0, 0, 0, 1, 1, 6, 2, 6, 5, 4, 3, 7, 7, 4, 4, 5, 5, 4, 4, 0, 2, 6, 7, 6], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.5071428571428571,0.8789428885921323,1.1819911245828956,test
101,0.21635704399299738,-218339.82983037352,"{'pred': [0, 0, 1, 2, 2, 2, 4, 6, 4, 4, 5, 4, 4, 5, 6, 7], 'gt': [0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7]}",0.5255952380952381,0.8255562851152964,1.1986126498190075,validation
101,0.15783151586706087,-218339.82983037352,"{'pred': [0, 0, 0, 1, 1, 6, 2, 6, 2, 3, 3, 7, 7, 4, 4, 5, 5, 4, 4, 0, 2, 6, 7, 6], 'gt': [0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7]}",0.6035714285714286,0.9086772506372887,1.1976537326365342,test
