Parameter,Optimized Value
model_type,gpdm
pred_group,0
seq_len,100
pred_seq_len_ratio,0.4
max_iters,100
name,X1_Y1
pred_group,0
init_t,0
sub_seq_len,40
scoring_method,f1_frechet_ldj:ff
score_rate,10
input_dim,15
init,random projections
opt,lbfgsb
max_iters,100
GPNode_opt,False
kernel,"  [1msum.            [0;0m  |                   value  |  constraints  |  priors
  [1mrbf.variance    [0;0m  |     0.18777759320119766  |      +ve      |        
  [1mrbf.lengthscale [0;0m  |                   (15,)  |      +ve      |        
  [1mlinear.variances[0;0m  |                   (15,)  |      +ve      |        
  [1mbias.variance   [0;0m  |  2.1462905367562213e-05  |      +ve      |        "
num_inducing_latent,0
num_inducing_dynamics,0
type,map
geometry,none
num_epochs,100
num_acts,5
constraints-0,variance
constraints-1,A
constraints-2,R
constraints-3,n
constraints-4,r
ARD,False
mapping,GPLVM
data_set_class,<DSCs.data_set_classes.Bimanual3D object at 0x00000185D1EA4A10>
X_init,
name,GPDMM
name,ff
order,1
actions,"[""box_lift"", ""box_turn_cw_forward"", ""box_lateral_left"", ""bread_cutting_right"", ""jar_opening_right_open""]"
people,[1]

--- ITERATION RESULTS ---

iteration,score,loss,predicted classes,f1,smoothness,avg_freeze,label
1,0.24825704739673618,0,"{'pred': [1, 1, 1, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.8254545454545454,0.7938306031045483,2.0636431305068865,validation
1,0.25574848696056285,0,"{'pred': [0, 0, 4, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 4, 2, 4, 3, 3, 3, 3, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.7903540903540903,0.8118541063151158,1.9737231031758893,test
11,0.2528889983881653,50024.64716545933,"{'pred': [3, 0, 3, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.8933333333333333,0.8367159307331057,2.1141317032018847,validation
11,0.24826283706203206,50024.64716545933,"{'pred': [0, 0, 3, 3, 3, 1, 3, 1, 3, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.7670634920634921,0.8502663509093004,2.1326349451881392,test
21,0.3364127353301039,13491.993610838013,"{'pred': [0, 0, 0, 0, 4, 0, 4, 4, 4, 4, 4, 4, 0, 0, 0, 0, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.22974358974358972,0.8566708278927531,2.277748619959227,validation
21,0.2374366630818392,13491.993610838013,"{'pred': [0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 2, 2, 2, 4, 2, 0, 0, 0, 0, 0, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.4107177033492823,0.8708858262959087,2.4497843111893425,test
31,0.24416249865670525,-13315.53021828823,"{'pred': [4, 0, 0, 4, 4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 0, 0, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.2541176470588235,0.7731228264229287,2.299325686100524,validation
31,0.23624645653114693,-13315.53021828823,"{'pred': [0, 0, 4, 0, 0, 4, 0, 4, 4, 4, 2, 4, 2, 2, 4, 0, 0, 2, 0, 0, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.365266106442577,0.8162846963151772,2.7764693017135342,test
41,0.15925199675613022,-36043.78177101144,"{'pred': [1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 4, 1, 1, 1, 1, 1, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.24888888888888888,0.8066541907545355,1.2835467229967354,validation
41,0.1816336658817954,-36043.78177101144,"{'pred': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 0, 1, 1, 1, 0, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.24812030075187969,0.7877051546823675,1.3863153241771726,test
51,0.16227760276126305,-50188.24281180871,"{'pred': [1, 0, 0, 1, 1, 1, 1, 1, 4, 1, 4, 4, 0, 1, 0, 0, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.3676767676767677,0.8359563839766644,1.3947713432376345,validation
51,0.18374078124662802,-50188.24281180871,"{'pred': [4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 0, 1, 0, 0, 0, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.2583333333333333,0.8098713907767712,1.279924021522681,test
61,0.1818003839385934,-58217.49499824672,"{'pred': [1, 0, 0, 1, 1, 1, 1, 1, 4, 4, 4, 4, 0, 0, 0, 0, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.37333333333333335,0.8633393549957994,1.3848431987963576,validation
61,0.17802016751724667,-58217.49499824672,"{'pred': [4, 4, 1, 4, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 0, 0, 0, 0, 0, 0, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.2607843137254902,0.8323482046738405,1.2565434614946913,test
71,0.18645133531962166,-63591.630175448896,"{'pred': [1, 0, 0, 1, 1, 1, 1, 1, 4, 4, 4, 4, 0, 0, 0, 0, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.37333333333333335,0.8654446171754419,1.3351689482677322,validation
71,0.16120920713218337,-63591.630175448896,"{'pred': [0, 4, 4, 4, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 0, 0, 0, 0, 0, 0, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.3092691622103386,0.8468162723319343,1.1912030886153235,test
81,0.19764000424935843,-68747.36649731177,"{'pred': [1, 0, 0, 4, 1, 1, 1, 1, 4, 1, 4, 1, 0, 0, 0, 0, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.37090909090909097,0.8598548357213016,1.3211452162196646,validation
81,0.16163234324671388,-68747.36649731177,"{'pred': [0, 0, 4, 1, 0, 1, 1, 1, 1, 1, 4, 4, 4, 0, 4, 0, 0, 0, 0, 0, 0, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.37610389610389605,0.8392002149737853,1.3526519770261871,test
91,0.14605912391190792,-72036.40034442488,"{'pred': [1, 0, 0, 4, 1, 1, 1, 1, 4, 1, 4, 4, 0, 0, 0, 0, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.37333333333333335,0.8741950865375404,1.1724135568277707,validation
91,0.16544231216741684,-72036.40034442488,"{'pred': [0, 0, 4, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 0, 4, 0, 0, 0, 0, 0, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.36153846153846153,0.8395204771060433,1.2257334356152068,test
101,0.13472322617841523,-73795.7832327873,"{'pred': [1, 0, 0, 4, 1, 1, 1, 1, 4, 1, 4, 4, 0, 0, 0, 0, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4]}",0.37333333333333335,0.8822895206968923,1.1315657128285346,validation
101,0.16810810632832987,-73795.7832327873,"{'pred': [0, 0, 4, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 0, 4, 0, 0, 0, 0, 0, 4, 4, 4, 4, 4], 'gt': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]}",0.36153846153846153,0.8384304863572606,1.219062841276284,test
